Date,Open,High,Low,Close,Volume,Market Cap
2018-07-02,0.496757,0.530165,0.474749,0.479175,296945,
2018-07-03,0.480519,0.577536,0.467949,0.506107,290003,20244280.0
2018-07-04,0.50634,0.537679,0.470698,0.505993,384747,20239720.0
2018-07-05,0.507758,0.620443,0.50672,0.618253,290748,24730120.0
2018-07-06,0.619071,0.619081,0.506407,0.566018,478795,22640720.0
2018-07-07,0.565292,0.617527,0.565292,0.616456,166650,24658240.0
2018-07-08,0.616946,0.636403,0.598048,0.619802,118496,24792080.0
2018-07-09,0.619762,0.621524,0.559081,0.559081,258970,22363240.0
2018-07-10,0.560605,0.585308,0.475488,0.47617,199438,19046800.0
2018-07-11,0.476186,0.512321,0.452994,0.456427,121911,18257080.0
2018-07-12,0.456406,0.472489,0.401175,0.412095,258631,16483800.0
2018-07-13,0.413305,0.456164,0.413261,0.442263,73732,17690520.0
2018-07-14,0.443131,0.470238,0.434849,0.459086,126048,18363440.0
2018-07-15,0.458655,0.476412,0.453789,0.453789,42692,18151560.0
2018-07-16,0.45434,0.485823,0.422055,0.426821,83735,17072840.0
2018-07-17,0.426759,0.529069,0.421942,0.497478,121127,19899120.0
2018-07-18,0.497499,0.518483,0.457703,0.486524,62921,19460960.0
2018-07-19,0.486397,0.486397,0.439271,0.44024,87071,17609600.0
2018-07-20,0.440344,0.440344,0.388898,0.396128,135686,15845120.0
2018-07-21,0.396202,0.3995,0.374099,0.379937,61702,15197480.0
2018-07-22,0.379761,0.399466,0.361206,0.362533,24070,14501320.0
2018-07-23,0.364502,0.380233,0.353982,0.354144,72554,14165760.0
2018-07-24,0.354051,0.371009,0.345252,0.362269,112700,14490760.0
2018-07-25,0.362901,0.414337,0.351868,0.375305,150566,15012200.0
2018-07-26,0.374967,0.401404,0.349188,0.350847,52503,14033880.0
2018-07-27,0.350694,0.367752,0.348577,0.354703,25021,14188120.0
2018-07-28,0.354788,0.402701,0.354788,0.385882,30577,15435280.0
2018-07-29,0.386164,0.390373,0.363338,0.372135,11401,14885400.0
2018-07-30,0.372186,0.372893,0.341059,0.341732,12897,13669280.0
2018-07-31,0.34176,0.355115,0.242132,0.318836,57378,12753440.0
2018-08-01,0.320679,0.327376,0.26977,0.295425,41609,11817000.0
2018-08-02,0.291109,0.295204,0.247722,0.248602,36835,9944080.0
2018-08-03,0.248764,0.266845,0.23002,0.247991,21028,9919640.0
2018-08-04,0.248842,0.284361,0.210294,0.210294,30480,8411760.0
2018-08-05,0.210371,0.332314,0.194247,0.318665,120370,12746600.0
2018-08-06,0.318945,0.361533,0.283819,0.294857,49438,11794280.0
2018-08-07,0.294791,0.296106,0.240148,0.242914,272744,9716560.0
2018-08-08,0.242581,0.243306,0.222211,0.223756,216055,8950240.0
2018-08-09,0.224156,0.224156,0.169623,0.187,204811,7480000.0
2018-08-10,0.186796,0.193201,0.168576,0.170199,105248,6807960.0
2018-08-11,0.164115,0.169992,0.151597,0.157624,40382,6304960.0
2018-08-12,0.156946,0.179996,0.154427,0.155312,94451,6212480.0
2018-08-13,0.155653,0.190178,0.144559,0.154694,539840,6187760.0
2018-08-14,0.154736,0.17143,0.126348,0.142143,152411,5685720.0
2018-08-15,0.143212,0.160702,0.138534,0.144098,130069,5763920.0
2018-08-16,0.144272,0.156893,0.134099,0.135524,17281,5420960.0
2018-08-17,0.135725,0.168774,0.135153,0.157861,12434,6314440.0
2018-08-18,0.158482,0.192875,0.142998,0.150194,10124,6007760.0
2018-08-19,0.150302,0.192235,0.148889,0.178686,15270,7147440.0
2018-08-20,0.178709,0.190613,0.162645,0.164814,108871,6592560.0
2018-08-21,0.164072,0.185162,0.151794,0.165249,56642,6609960.0
2018-08-22,0.165208,0.172002,0.155322,0.158776,41212,6351040.0
2018-08-23,0.159108,0.161721,0.149714,0.15402,9814,6160800.0
2018-08-24,0.154113,0.155232,0.14368,0.15415,13762,6166000.0
2018-08-25,0.154045,0.166513,0.15199,0.166161,7594,6646440.0
