Date,Open,High,Low,Close,Volume,Market Cap
2015-11-09,8e-05,0.000134,7.9e-05,0.000133,1,
2015-11-10,0.000133,0.000133,6.9e-05,7.1e-05,1,1117.0
2015-11-11,7.1e-05,0.000282,5.5e-05,7.2e-05,15,1156.0
2015-11-12,7.2e-05,0.000104,6.2e-05,6.4e-05,2,1059.0
2015-11-13,6.4e-05,0.000167,5.9e-05,8.8e-05,17,1484.0
2015-11-14,8.8e-05,0.000168,8.6e-05,0.000107,32,1849.0
2015-11-15,0.000107,0.000164,9.5e-05,9.6e-05,5,1714.0
2015-11-16,9.6e-05,0.000127,6.1e-05,0.0001,65,1813.0
2015-11-17,0.0001,0.000107,9.2e-05,0.0001,60,1865.0
2015-11-18,0.0001,0.00011,8.1e-05,9.4e-05,98,1745.0
2015-11-19,9.4e-05,9.4e-05,6.6e-05,7.8e-05,46,1458.0
2015-11-20,7.8e-05,0.000107,6.5e-05,8.4e-05,11,1561.0
2015-11-21,8.4e-05,8.4e-05,5.3e-05,6.9e-05,17,1291.0
2015-11-22,6.9e-05,9e-05,5.2e-05,5.2e-05,47,977.0
2015-11-23,5.2e-05,9.6e-05,5.2e-05,9.3e-05,20,1732.0
2015-11-24,9.3e-05,9.6e-05,7.4e-05,9.3e-05,38,1728.0
2015-11-25,9.3e-05,9.8e-05,7.9e-05,8e-05,4,1495.0
2015-11-26,8e-05,0.000108,7.3e-05,0.000102,45,1895.0
2015-11-27,0.000101,0.000107,7.7e-05,9e-05,16,1669.0
2015-11-28,8.9e-05,0.000104,8.3e-05,8.3e-05,12,1553.0
2015-11-29,8.3e-05,0.000112,8.2e-05,8.9e-05,32,1653.0
2015-11-30,8.9e-05,0.000112,6.5e-05,7.5e-05,18,1403.0
2015-12-01,7.5e-05,9e-05,7.1e-05,8.5e-05,6,1588.0
2015-12-02,8.5e-05,8.8e-05,7.4e-05,8.5e-05,10,1587.0
2015-12-03,8.5e-05,0.000108,7.2e-05,7.2e-05,18,1346.0
2015-12-04,7.2e-05,9.1e-05,7.2e-05,8.7e-05,7,1625.0
2015-12-05,8.7e-05,9.2e-05,4.9e-05,8.9e-05,78,1664.0
2015-12-06,8.9e-05,9.2e-05,5.9e-05,8.2e-05,8,1521.0
2015-12-07,8.2e-05,8.3e-05,6e-05,6.4e-05,3,1192.0
2015-12-08,6.4e-05,7.5e-05,4.7e-05,7e-05,62,1310.0
2015-12-09,7e-05,7.1e-05,4.1e-05,6.2e-05,41,1152.0
2015-12-10,6.2e-05,7.3e-05,4.6e-05,7.2e-05,15,1350.0
2015-12-11,7.2e-05,7.6e-05,3.9e-05,4.9e-05,30,908.0
2015-12-12,4.9e-05,5e-05,3.4e-05,4.3e-05,13,807.0
2015-12-13,4.3e-05,4.8e-05,4e-05,4.8e-05,8,890.0
2015-12-14,4.8e-05,4.9e-05,3.5e-05,3.8e-05,32,708.0
2015-12-15,3.8e-05,5e-05,3.7e-05,4.2e-05,8,781.0
2015-12-16,4.2e-05,4.2e-05,3.6e-05,3.6e-05,10,680.0
2015-12-17,3.6e-05,9.1e-05,3.6e-05,4.1e-05,63,767.0
2015-12-18,4.1e-05,5.1e-05,3.7e-05,4.7e-05,7,868.0
2015-12-19,4.7e-05,4.7e-05,3.7e-05,4.2e-05,10,776.0
2015-12-20,4.2e-05,5.4e-05,3.1e-05,3.1e-05,58,581.0
2015-12-21,3.1e-05,3.5e-05,1.8e-05,3.1e-05,20,575.0
2015-12-22,3.1e-05,4.3e-05,2.2e-05,4.3e-05,10,801.0
2015-12-23,4.3e-05,4.3e-05,2.6e-05,3.1e-05,2,570.0
2015-12-24,3.1e-05,3.5e-05,1.8e-05,3.2e-05,7,594.0
2015-12-25,3.2e-05,4.5e-05,1.4e-05,3.6e-05,4,680.0
2015-12-26,3.6e-05,3.7e-05,1.8e-05,3.3e-05,11,618.0
2015-12-27,3.3e-05,3.3e-05,2.5e-05,3e-05,25,551.0
2015-12-28,3e-05,3e-05,2.1e-05,2.5e-05,12,472.0
2015-12-29,2.5e-05,2.6e-05,2.1e-05,2.6e-05,51,484.0
2015-12-30,2.6e-05,2.6e-05,2.1e-05,2.1e-05,13,398.0
2015-12-31,2.1e-05,2.1e-05,9e-06,9e-06,44,162.0
2016-01-01,9e-06,1.7e-05,5e-06,1.3e-05,24,243.0
2016-01-02,1.3e-05,1.7e-05,9e-06,1.3e-05,12,243.0
2016-01-03,1.3e-05,1.3e-05,8e-06,1.3e-05,11,241.0
2016-01-04,1.3e-05,1.3e-05,9e-06,9e-06,3,164.0
2016-01-05,9e-06,1.3e-05,9e-06,1.3e-05,13,242.0
2016-01-06,1.3e-05,1.3e-05,9e-06,1e-05,2,183.0
2016-01-07,1e-05,1.8e-05,1e-05,1.7e-05,27,313.0
2016-01-08,1.2e-05,1.9e-05,9e-06,1.9e-05,20,346.0
2016-01-09,1.9e-05,2.3e-05,1.8e-05,2.2e-05,16,417.0
2016-01-10,2.2e-05,0.000147,1.6e-05,1.9e-05,121,361.0
2016-01-11,1.9e-05,2.4e-05,1.8e-05,1.8e-05,18,334.0
2016-01-12,1.8e-05,1.8e-05,1.3e-05,1.5e-05,12,273.0
2016-01-13,1.5e-05,1.9e-05,1.3e-05,1.7e-05,20,322.0
2016-01-14,1.7e-05,2.5e-05,1.5e-05,2.2e-05,62,401.0
2016-01-15,2.2e-05,2.2e-05,1.7e-05,1.8e-05,14,340.0
2016-01-16,1.8e-05,2.3e-05,1.6e-05,2.3e-05,5,421.0
2016-01-17,2.3e-05,2.3e-05,1.2e-05,1.2e-05,8,218.0
2016-01-18,1.2e-05,2.2e-05,1.2e-05,2e-05,7,382.0
2016-01-19,2e-05,2.3e-05,1.9e-05,1.9e-05,17,354.0
2016-01-20,1.9e-05,2.9e-05,1.8e-05,2.9e-05,63,536.0
2016-01-21,2.9e-05,6.5e-05,2.5e-05,3.4e-05,109,627.0
2016-01-22,3.4e-05,3.4e-05,2.7e-05,3e-05,36,551.0
2016-01-23,3e-05,3.1e-05,2.3e-05,2.7e-05,30,499.0
2016-01-24,2.7e-05,3.2e-05,2.3e-05,2.4e-05,38,451.0
2016-01-25,2e-05,3.6e-05,2e-05,2.4e-05,114,440.0
2016-01-26,2.4e-05,7.2e-05,2.4e-05,7.2e-05,274,1346.0
2016-01-27,7.2e-05,7.2e-05,2.7e-05,4.7e-05,265,884.0
2016-01-28,4.2e-05,4.3e-05,2.8e-05,3.4e-05,80,638.0
2016-01-29,3.4e-05,3.8e-05,2.8e-05,3.4e-05,34,637.0
2016-01-30,3.4e-05,3.7e-05,3.1e-05,3.7e-05,13,685.0
2016-01-31,3.7e-05,3.7e-05,2.5e-05,2.7e-05,62,506.0
2016-02-01,2.7e-05,4e-05,1.9e-05,2.6e-05,65,487.0
2016-02-02,2.6e-05,3.5e-05,2.6e-05,2.8e-05,42,521.0
2016-02-03,2.5e-05,3.4e-05,2.5e-05,2.7e-05,62,497.0
2016-02-04,2.7e-05,3.1e-05,2.6e-05,3.1e-05,39,573.0
2016-02-05,3.1e-05,3.1e-05,2.4e-05,2.5e-05,19,475.0
2016-02-06,2.5e-05,3.5e-05,2.4e-05,2.9e-05,51,542.0
2016-02-07,2.9e-05,2.9e-05,2.4e-05,2.6e-05,26,476.0
2016-02-08,2.6e-05,2.8e-05,2.3e-05,2.7e-05,19,510.0
2016-02-09,2.7e-05,2.8e-05,2.3e-05,2.5e-05,42,471.0
2016-02-10,2.5e-05,3.3e-05,2.3e-05,2.3e-05,57,427.0
2016-02-11,2.3e-05,3.8e-05,2.3e-05,2.7e-05,166,496.0
2016-02-12,2.7e-05,3.6e-05,2.6e-05,3.1e-05,157,580.0
2016-02-13,3.1e-05,3.9e-05,3.1e-05,3.1e-05,61,585.0
2016-02-14,3.1e-05,3.7e-05,3.1e-05,3.7e-05,22,683.0
2016-02-15,3.7e-05,4e-05,3.2e-05,3.6e-05,92,672.0
2016-02-16,3.2e-05,3.7e-05,3.2e-05,3.7e-05,182,684.0
2016-02-17,3.7e-05,4.6e-05,3.3e-05,3.7e-05,237,699.0
2016-02-18,3.7e-05,6.3e-05,3.6e-05,3.9e-05,298,722.0
2016-02-19,3.9e-05,4.4e-05,3.8e-05,4.2e-05,64,785.0
2016-02-20,4.2e-05,4.2e-05,4e-05,4e-05,43,754.0
2016-02-21,4e-05,4.4e-05,3.5e-05,3.5e-05,149,661.0
2016-02-22,3.5e-05,4.3e-05,2.8e-05,3.5e-05,136,653.0
2016-02-23,3.5e-05,3.8e-05,2.7e-05,3.7e-05,233,682.0
2016-02-24,3.7e-05,3.8e-05,2.9e-05,3.7e-05,77,694.0
2016-02-25,3.6e-05,6.6e-05,2.6e-05,4.2e-05,300,792.0
2016-02-26,4.2e-05,5.1e-05,3e-05,3.5e-05,90,645.0
2016-02-27,3.5e-05,4e-05,3.1e-05,3.2e-05,91,599.0
2016-02-28,3.2e-05,3.8e-05,3e-05,3.7e-05,156,686.0
2016-02-29,3.7e-05,4.3e-05,2.8e-05,2.8e-05,162,519.0
2016-03-01,2.8e-05,5.5e-05,2.7e-05,3.7e-05,333,695.0
2016-03-02,3.7e-05,4.1e-05,3e-05,3e-05,212,566.0
2016-03-03,3.4e-05,3.5e-05,2.9e-05,3.3e-05,242,616.0
2016-03-04,3.3e-05,3.3e-05,2.5e-05,3.3e-05,148,608.0
2016-03-05,3.3e-05,3.3e-05,2.2e-05,2.4e-05,351,448.0
2016-03-06,2.3e-05,3.4e-05,2e-05,3.3e-05,286,608.0
2016-03-07,3.3e-05,4.2e-05,2.5e-05,3.1e-05,206,571.0
2016-03-08,3.1e-05,4.3e-05,2.7e-05,3.6e-05,174,678.0
2016-03-09,4e-05,4.3e-05,2.8e-05,2.8e-05,241,519.0
2016-03-10,2.8e-05,3.1e-05,2.6e-05,3e-05,63,564.0
2016-03-11,3e-05,3.7e-05,2.8e-05,3.3e-05,472,620.0
2016-03-12,3.3e-05,3.7e-05,2.5e-05,3e-05,1242,567.0
2016-03-13,3e-05,3e-05,2.5e-05,2.9e-05,386,536.0
2016-03-14,2.9e-05,2.9e-05,2.4e-05,2.9e-05,205,544.0
2016-03-15,2.9e-05,3.3e-05,2.3e-05,2.9e-05,167,15454.0
2016-03-16,2.9e-05,3.2e-05,2.5e-05,2.8e-05,283,14660.0
2016-03-17,2.8e-05,3.4e-05,2.5e-05,2.9e-05,187,15594.0
2016-03-18,2.6e-05,3.2e-05,2.5e-05,2.6e-05,173,15100.0
2016-03-19,2.6e-05,3.2e-05,2.4e-05,2.6e-05,250,15729.0
2016-03-20,2.6e-05,3.5e-05,2.5e-05,3.3e-05,367,20184.0
2016-03-21,3.3e-05,3.7e-05,2.5e-05,3.3e-05,245,20866.0
2016-03-22,3.3e-05,3.7e-05,2.9e-05,3.3e-05,472,21589.0
2016-03-23,3.3e-05,3.4e-05,2.9e-05,3.2e-05,858,21735.0
2016-03-24,3.2e-05,3.6e-05,2.9e-05,3.3e-05,623,23034.0
2016-03-25,3.3e-05,3.3e-05,2.9e-05,3.1e-05,201,21839.0
2016-03-26,3.1e-05,3.4e-05,2.7e-05,3.1e-05,579,22594.0
2016-03-27,3.1e-05,3.4e-05,2.6e-05,3e-05,124,22643.0
2016-03-28,3e-05,3.5e-05,3e-05,3.2e-05,264,25385.0
2016-03-29,3.2e-05,3.8e-05,2.9e-05,2.9e-05,382,23476.0
2016-03-30,3.2e-05,4.1e-05,3.1e-05,3.4e-05,729,28066.0
2016-03-31,3.4e-05,3.8e-05,3.1e-05,3.8e-05,206,32188.0
2016-04-01,3.8e-05,4.8e-05,3.3e-05,4.1e-05,831,36214.0
2016-04-02,4.1e-05,4.5e-05,3.7e-05,4.2e-05,306,38469.0
2016-04-03,4.2e-05,4.2e-05,3.7e-05,3.9e-05,331,36246.0
2016-04-04,3.9e-05,4.2e-05,3.4e-05,3.8e-05,455,36094.0
2016-04-05,3.8e-05,4.2e-05,3.4e-05,3.4e-05,248,32733.0
2016-04-06,3.4e-05,3.8e-05,3.3e-05,3.3e-05,785,32364.0
2016-04-07,3.3e-05,3.3e-05,2.6e-05,3.3e-05,899,32680.0
2016-04-08,3.3e-05,3.3e-05,2.6e-05,2.6e-05,200,26635.0
2016-04-09,2.6e-05,2.9e-05,2.5e-05,2.9e-05,242,29974.0
2016-04-10,2.9e-05,2.9e-05,2.5e-05,2.5e-05,619,26207.0
2016-04-11,2.5e-05,3e-05,2.1e-05,2.1e-05,126,22169.0
2016-04-12,2.1e-05,3.3e-05,2.1e-05,3.3e-05,282,35402.0
