Date,Open,High,Low,Close,Volume,Market Cap
2017-12-28,0.452102,0.507956,0.369992,0.473596,49234,
2017-12-29,0.47633,0.515814,0.429462,0.498706,60442,
2017-12-30,0.498014,0.509405,0.380669,0.42341,113788,
2017-12-31,0.419898,0.478297,0.378944,0.474583,178425,
2018-01-01,0.475417,0.475417,0.403799,0.433888,187550,
2018-01-02,0.432039,0.49857,0.425049,0.442971,533391,
2018-01-03,0.442563,0.644735,0.442563,0.581481,1365470,
2018-01-04,0.580546,0.765948,0.499885,0.708329,1649650,
2018-01-05,0.708323,0.826903,0.624644,0.792547,1067910,
2018-01-06,0.792919,1.06,0.655172,0.885787,1289000,
2018-01-07,0.880122,1.93,0.817,1.37,2503520,
2018-01-08,1.4,1.98,1.29,1.43,3554120,
2018-01-09,1.55,1.61,1.27,1.29,1576130,
2018-01-10,1.29,1.29,0.819198,1.1,1675960,
2018-01-11,1.09,1.19,0.690045,0.726159,711974,
2018-01-12,0.746583,1.17,0.694821,1.17,4439200,
2018-01-13,1.12,1.28,1.01,1.12,2050950,
2018-01-14,1.12,1.14,0.717505,0.901544,681550,
2018-01-15,0.826684,1.15,0.744268,1.05,722762,
2018-01-16,0.994115,1.0,0.513488,0.612106,398962,2275828.0
2018-01-17,0.61101,0.612451,0.418732,0.528239,221785,1964008.0
2018-01-18,0.554024,0.712031,0.537271,0.61236,304178,2276773.0
2018-01-19,0.60962,0.702975,0.548768,0.646326,194509,2403059.0
2018-01-20,0.65315,0.704944,0.611764,0.691951,126951,2572695.0
2018-01-21,0.682355,0.685875,0.487992,0.494701,107970,1839313.0
2018-01-22,0.495909,0.563811,0.408875,0.45723,165982,1699995.0
2018-01-23,0.456732,0.478543,0.420501,0.437698,71226,1627374.0
2018-01-24,0.440825,0.537345,0.427282,0.516986,338729,1922169.0
2018-01-25,0.522521,0.602509,0.473205,0.590359,900302,2194972.0
2018-01-26,0.583956,0.59684,0.455106,0.538987,457532,2003970.0
2018-01-27,0.538759,0.565484,0.481226,0.526677,144335,1958201.0
2018-01-28,0.528124,0.628548,0.527691,0.581098,763490,2220983.0
2018-01-29,0.579577,0.587269,0.493863,0.529283,414101,2022944.0
2018-01-30,0.529427,0.531717,0.460154,0.462539,195963,1767845.0
2018-01-31,0.463158,0.53611,0.436515,0.523915,593219,2004455.0
2018-02-01,0.524489,0.557287,0.473805,0.519455,528688,1987392.0
2018-02-02,0.518599,0.518599,0.341364,0.433611,293149,1658960.0
2018-02-03,0.44374,0.561383,0.373198,0.490518,386050,1876681.0
2018-02-04,0.490723,0.499389,0.396604,0.415236,331086,1591215.0
2018-02-05,0.411515,0.428958,0.287702,0.336934,485693,1291156.0
2018-02-06,0.337322,0.406668,0.258362,0.399471,304757,1530802.0
2018-02-07,0.403657,0.407993,0.297008,0.324266,439920,1242611.0
2018-02-08,0.323052,0.404221,0.323052,0.354794,499397,1359597.0
2018-02-09,0.355806,0.397924,0.341249,0.379368,393102,1453766.0
2018-02-10,0.379634,0.407777,0.27984,0.358973,980672,1375611.0
2018-02-11,0.360366,0.386191,0.344034,0.359186,1268710,1376427.0
2018-02-12,0.361454,0.382962,0.35066,0.374204,250642,1433977.0
2018-02-13,0.376942,0.376942,0.312913,0.326909,390248,1252739.0
2018-02-14,0.327258,0.363366,0.326039,0.360485,884101,1381405.0
2018-02-15,0.360603,0.374602,0.347164,0.363456,170604,1397105.0
2018-02-16,0.363023,0.381442,0.355918,0.381369,487377,1465961.0
2018-02-17,0.381014,0.4032,0.369154,0.386879,934869,1487141.0
2018-02-18,0.388228,0.405818,0.364463,0.368022,928470,1414656.0
2018-02-19,0.366446,0.413404,0.366446,0.40643,922059,1562294.0
2018-02-20,0.406569,0.415516,0.351553,0.358014,756614,1378681.0
2018-02-21,0.357578,0.382204,0.331244,0.342295,754713,1318149.0
2018-02-22,0.340822,0.364957,0.309249,0.311777,706954,1200626.0
2018-02-23,0.314259,0.3253,0.293013,0.300884,697262,1158678.0
2018-02-24,0.301096,0.339835,0.286277,0.315952,726118,1216704.0
2018-02-25,0.315485,0.323323,0.292803,0.302949,666763,1166631.0
2018-02-26,0.303327,0.3178,0.260974,0.285734,555204,1100337.0
2018-02-27,0.285936,0.301369,0.275374,0.301296,736177,1160265.0
2018-02-28,0.29602,0.300597,0.258012,0.26011,644613,1001661.0
2018-03-01,0.260375,0.278103,0.258576,0.26508,104207,1020800.0
2018-03-02,0.264423,0.287766,0.26167,0.284741,807312,1096513.0
2018-03-03,0.285574,0.291827,0.268595,0.276753,911075,1065752.0
2018-03-04,0.278857,0.284757,0.263293,0.272051,917542,1047645.0
2018-03-05,0.271855,0.288595,0.26981,0.273935,899865,1054900.0
2018-03-06,0.270006,0.277636,0.247727,0.251563,802039,968747.0
2018-03-07,0.251346,0.256453,0.220695,0.230391,531309,887216.0
2018-03-08,0.230071,0.24099,0.215666,0.221374,484613,852492.0
2018-03-09,0.219978,0.223031,0.173783,0.186285,615286,717368.0
2018-03-10,0.186364,0.221248,0.185914,0.199634,640599,768773.0
2018-03-11,0.195019,0.203,0.174456,0.203,652098,781736.0
2018-03-12,0.20208,0.20413,0.161,0.171722,576387,661802.0
2018-03-13,0.170752,0.177776,0.135955,0.151575,461243,585976.0
2018-03-14,0.151428,0.154865,0.127603,0.131469,549412,508695.0
2018-03-15,0.13109,0.134007,0.117594,0.121915,419345,471727.0
2018-03-16,0.121846,0.138701,0.119974,0.131423,422443,508517.0
2018-03-17,0.131718,0.131899,0.122484,0.12736,530980,492796.0
2018-03-18,0.123039,0.123039,0.106704,0.117103,185486,453108.0
2018-03-19,0.117103,0.120825,0.106552,0.107051,222465,414214.0
2018-03-20,0.108229,0.116332,0.106003,0.11092,344012,437093.0
2018-03-21,0.111211,0.119851,0.110123,0.119851,472957,472287.0
2018-03-22,0.119637,0.121956,0.109311,0.113659,495534,447886.0
2018-03-23,0.113993,0.345533,0.105032,0.298197,1497430,1175080.0
2018-03-24,0.302163,0.686096,0.268318,0.292739,2009920,1153572.0
2018-03-25,0.289926,0.360635,0.268191,0.280053,680192,1103581.0
2018-03-26,0.280156,0.311145,0.259902,0.287894,161283,1134479.0
2018-03-27,0.290587,0.305744,0.213003,0.238762,322559,940869.0
2018-03-28,0.23806,0.303906,0.227664,0.277374,197979,1093302.0
2018-03-29,0.281562,0.282806,0.212146,0.218182,282376,859989.0
2018-03-30,0.214049,0.216714,0.176026,0.187371,310571,738544.0
2018-03-31,0.187468,0.2034,0.151887,0.191681,317311,755533.0
2018-04-01,0.191615,0.326256,0.191615,0.291712,983780,1149816.0
2018-04-02,0.292384,0.304668,0.225916,0.251507,539900,991344.0
2018-04-03,0.251108,0.261046,0.226839,0.229656,453713,905216.0
2018-04-04,0.229698,0.242784,0.204577,0.224759,277156,885913.0
2018-04-05,0.22533,0.238901,0.205014,0.20996,361187,827581.0
2018-04-06,0.208249,0.208249,0.186362,0.190635,255265,751410.0
2018-04-07,0.190825,0.222652,0.190411,0.196946,189694,776285.0
2018-04-08,0.196824,0.206535,0.193543,0.198638,80998,782955.0
2018-04-09,0.199109,0.230282,0.18808,0.229129,320441,903138.0
2018-04-10,0.227785,0.228087,0.187524,0.196296,245042,773723.0
2018-04-11,0.196486,0.199805,0.190922,0.199466,281766,787163.0
2018-04-12,0.198956,0.239101,0.189314,0.227086,263099,897252.0
2018-04-13,0.225343,0.538289,0.218576,0.372181,3622540,1544981.0
2018-04-14,0.369478,0.426784,0.262114,0.307283,1730210,1275579.0
2018-04-15,0.307985,0.329486,0.301158,0.329222,506348,1366651.0
2018-04-16,0.329134,0.330942,0.273764,0.290514,340659,1205968.0
2018-04-17,0.290452,0.299551,0.273713,0.278433,187374,1155818.0
2018-04-18,0.278482,0.294931,0.274306,0.280125,188096,1163061.0
2018-04-19,0.280671,0.321942,0.280125,0.301875,320211,1253366.0
