Date,Open,High,Low,Close,Volume,Market Cap
2019-01-17,0.050724,0.050724,0.050379,0.050379,173889,
2019-01-18,0.050844,0.060293,0.040899,0.052129,223004,
2019-01-19,0.060276,0.061261,0.045621,0.055579,173815,
2019-01-20,0.05449,0.057478,0.048047,0.049311,145833,
2019-01-21,0.048303,0.053727,0.046859,0.047179,157793,
2019-01-22,0.047769,0.056211,0.046177,0.051734,153393,
2019-01-23,0.05324,0.055104,0.045084,0.045733,160556,
2019-01-24,0.046981,0.050192,0.045093,0.04682,132191,
2019-01-25,0.047077,0.049159,0.045916,0.047682,135356,
2019-01-26,0.047443,0.047756,0.042398,0.044334,94079,
2019-01-27,0.044301,0.046243,0.040703,0.043061,148670,
2019-01-28,0.043619,0.043839,0.034895,0.038608,109855,
2019-01-29,0.037031,0.049908,0.030298,0.039316,125949,
2019-01-30,0.037152,0.040538,0.034912,0.039287,107146,
2019-01-31,0.03928,0.041461,0.031834,0.037024,106636,
2019-02-01,0.036703,0.041849,0.03248,0.039145,151433,
2019-02-02,0.040432,0.041049,0.032155,0.036489,111793,
2019-02-03,0.034374,0.042829,0.034374,0.036107,112627,
2019-02-04,0.03542,0.039961,0.034841,0.039697,85737,
2019-02-05,0.039516,0.04006,0.03407,0.039082,108283,3151428.0
2019-02-06,0.039322,0.039796,0.035184,0.035427,91717,2857035.0
2019-02-07,0.035168,0.036789,0.034945,0.035756,118497,2883833.0
2019-02-08,0.0359,0.036068,0.031818,0.032358,80679,2610040.0
2019-02-09,0.03314,0.034121,0.028247,0.031145,97364,2512470.0
2019-02-10,0.030376,0.034029,0.022827,0.024936,72501,2011840.0
2019-02-11,0.023805,0.042659,0.020553,0.036671,113636,2958926.0
2019-02-12,0.036225,0.04056,0.031645,0.033257,100921,2683698.0
2019-02-13,0.032326,0.034039,0.024888,0.028749,84166,2320213.0
2019-02-14,0.030323,0.031726,0.026576,0.030614,75239,2471006.0
2019-02-15,0.030623,0.030631,0.022123,0.029035,84254,2343786.0
2019-02-16,0.028488,0.029527,0.021995,0.022944,50794,1852288.0
2019-02-17,0.02315,0.025152,0.01976,0.022316,51580,1801773.0
2019-02-18,0.022657,0.028569,0.019664,0.022715,62720,1834217.0
2019-02-19,0.022157,0.027086,0.020149,0.022765,61799,1838411.0
2019-02-20,0.024407,0.02524,0.02023,0.021854,49148,1765032.0
2019-02-21,0.022156,0.023968,0.020319,0.020698,57458,1671895.0
2019-02-22,0.02188,0.022699,0.019516,0.020537,74998,1659009.0
2019-02-23,0.021075,0.021195,0.01424,0.01886,51776,1523698.0
2019-02-24,0.01614,0.018759,0.014391,0.016108,28726,1301548.0
2019-02-25,0.016081,0.016117,0.013326,0.013798,13319,1114973.0
2019-02-26,0.015199,0.015393,0.013667,0.01489,33192,1203335.0
2019-02-27,0.014978,0.016218,0.014357,0.014657,38010,1184636.0
2019-02-28,0.01465,0.014674,0.012535,0.013838,32838,1118605.0
2019-03-01,0.013228,0.013936,0.01239,0.012594,27816,1018140.0
2019-03-02,0.01369,0.013872,0.012478,0.012948,31478,1046880.0
2019-03-03,0.012614,0.013937,0.012494,0.013332,29299,1078007.0
2019-03-04,0.013617,0.014382,0.012514,0.013768,33750,1113418.0
2019-03-05,0.013756,0.014336,0.012846,0.013864,33871,1121298.0
2019-03-06,0.013955,0.015531,0.005866,0.009321,28592,753939.0
2019-03-07,0.01091,0.011,0.008687,0.008774,23359,709795.0
2019-03-08,0.009483,0.011302,0.008053,0.011274,30180,912080.0
2019-03-09,0.011144,0.011478,0.008078,0.008078,10000,653577.0
2019-03-10,0.0081,0.081526,0.007065,0.008004,20004,647668.0
2019-03-11,0.00793,0.011087,0.007762,0.008585,19950,694775.0
2019-03-12,0.008677,0.009712,0.007866,0.008158,19207,660288.0
2019-03-13,0.008063,0.017091,0.007778,0.00937,23641,758448.0
2019-03-14,0.009743,0.019952,0.009266,0.019136,52570,1549135.0
2019-03-15,0.01956,0.019679,0.011846,0.014155,39833,1146050.0
2019-03-16,0.013375,0.018492,0.013283,0.016885,41938,1367184.0
2019-03-17,0.015666,0.024374,0.015666,0.023365,57998,1892077.0
2019-03-18,0.02366,0.02394,0.019217,0.022443,53060,1817627.0
2019-03-19,0.022449,0.028743,0.020484,0.027903,46486,2260083.0
2019-03-20,0.026957,0.028641,0.025334,0.027234,68869,2206136.0
2019-03-21,0.02769,0.0357,0.022693,0.035311,106755,2860671.0
2019-03-22,0.032569,0.043642,0.028573,0.042084,108248,3409699.0
2019-03-23,0.04211,0.048208,0.035632,0.039352,81775,3188670.0
2019-03-24,0.03999,0.041357,0.036541,0.03955,106491,3205052.0
2019-03-25,0.040199,0.041749,0.020096,0.034199,90336,2771689.0
2019-03-26,0.03254,0.034209,0.023948,0.030012,75013,2432525.0
2019-03-27,0.030525,0.039439,0.028674,0.036122,97960,2928052.0
2019-03-28,0.036134,0.036301,0.025299,0.032856,92709,2663606.0
2019-03-29,0.032852,0.033169,0.024593,0.026396,70520,2140118.0
2019-03-30,0.027258,0.027316,0.022444,0.025403,68351,2059754.0
2019-03-31,0.025403,0.026047,0.020202,0.022602,55532,1832867.0
2019-04-01,0.022318,0.029384,0.022057,0.027463,76956,2227228.0
2019-04-02,0.02746,0.035471,0.023917,0.029546,78597,2396423.0
2019-04-03,0.029328,0.038644,0.027608,0.029558,79102,2397604.0
2019-04-04,0.029315,0.034575,0.027785,0.029066,78825,2357896.0
2019-04-05,0.029052,0.037709,0.028344,0.035543,100648,2883657.0
2019-04-06,0.033941,0.04026,0.029928,0.0374,103020,3034576.0
2019-04-07,0.03742,0.037826,0.028224,0.031855,57653,2584876.0
2019-04-08,0.03185,0.033141,0.026574,0.030371,64468,2464744.0
2019-04-09,0.030371,0.040412,0.022388,0.031951,89785,2593218.0
2019-04-10,0.031446,0.045544,0.030813,0.042763,153131,3471007.0
2019-04-11,0.042132,0.043146,0.030941,0.032279,87461,2620300.0
2019-04-12,0.031974,0.041958,0.031152,0.03787,81202,3074489.0
2019-04-13,0.037567,0.040941,0.02842,0.040468,108589,3285665.0
2019-04-14,0.040468,0.04373,0.032588,0.039447,127210,3203068.0
2019-04-15,0.039447,0.04337,0.031437,0.032296,73750,2622703.0
2019-04-16,0.031892,0.038267,0.029224,0.032037,76039,2601907.0
2019-04-17,0.03235,0.035086,0.030885,0.03412,93563,2771363.0
2019-04-18,0.034308,0.034869,0.029655,0.03296,73593,2677341.0
2019-04-19,0.032863,0.036254,0.027912,0.035756,108217,2904779.0
2019-04-20,0.035756,0.035768,0.028775,0.032977,82354,2679280.0
2019-04-21,0.032969,0.035263,0.031985,0.032173,46167,2614209.0
2019-04-22,0.032272,0.035304,0.023154,0.033029,73162,2683981.0
2019-04-23,0.033029,0.033774,0.017527,0.02371,44122,1926905.0
2019-04-24,0.02371,0.031804,0.019965,0.026971,63753,2192112.0
2019-04-25,0.026964,0.029181,0.020798,0.026952,78385,2190734.0
2019-04-26,0.026978,0.031996,0.020863,0.031076,82514,2526198.0
2019-04-27,0.031076,0.031665,0.022357,0.029746,66151,2418340.0
2019-04-28,0.029635,0.030213,0.023342,0.029684,66180,2413517.0
2019-04-29,0.029489,0.030858,0.029432,0.030642,72349,2491664.0
2019-04-30,0.030637,0.034432,0.027,0.029031,54122,2360870.0
2019-05-01,0.029034,0.029459,0.026049,0.026966,61322,2193193.0
2019-05-02,0.026959,0.027212,0.026164,0.026452,24267,2151580.0
2019-05-03,0.026452,0.033895,0.026075,0.0333,68720,2708795.0
2019-05-04,0.033301,0.033487,0.02903,0.031786,43342,2585904.0
2019-05-05,0.031801,0.033469,0.028669,0.030886,38177,2512900.0
2019-05-06,0.030886,0.03188,0.028661,0.031302,61505,2547037.0
2019-05-07,0.031295,0.031533,0.02811,0.028737,68895,2338530.0
2019-05-08,0.028749,0.029109,0.028166,0.028446,61159,2315058.0
2019-05-09,0.02844,0.03147,0.025495,0.031367,68820,2553032.0
2019-05-10,0.031363,0.031472,0.024018,0.030247,29244,2462148.0
2019-05-11,0.030033,0.030636,0.024474,0.02929,58226,2384437.0
2019-05-12,0.029316,0.030604,0.027375,0.0291,74116,2369160.0
2019-05-13,0.0291,0.030964,0.028169,0.02995,64607,2438643.0
2019-05-14,0.029907,0.030987,0.028194,0.029003,53643,2361722.0
2019-05-15,0.028898,0.065088,0.026344,0.054531,111929,4440988.0
2019-05-16,0.05431,0.054312,0.028973,0.041021,102482,3341024.0
2019-05-17,0.041123,0.049868,0.039645,0.046958,100140,3824910.0
