Date,Open,High,Low,Close,Volume,Market Cap
2018-01-16,0.118283,0.118792,0.09061,0.091843,949705,48958586
2018-01-17,0.091377,0.10475,0.076135,0.099534,206244,53058404
2018-01-18,0.094683,0.140487,0.092988,0.125363,893050,66826887
2018-01-19,0.124045,0.137292,0.108362,0.114899,863984,61248873
2018-01-20,0.116148,0.129045,0.097553,0.113835,420674,60681690
2018-01-21,0.1141,0.130231,0.089468,0.113255,1053310,60372511
2018-01-22,0.114803,0.116858,0.097358,0.107486,78896,57297247
2018-01-23,0.107201,0.133656,0.102835,0.106833,310417,56949154
2018-01-24,0.106555,0.113728,0.104137,0.111374,291708,59369812
2018-01-25,0.113206,0.138902,0.111011,0.112684,958395,60068130
2018-01-26,0.112385,0.125814,0.10275,0.115005,930137,61305379
2018-01-27,0.114928,0.120175,0.106627,0.108252,557871,57705577
2018-01-28,0.108806,0.121803,0.102007,0.118548,596863,63194035
2018-01-29,0.118435,0.119968,0.106768,0.115319,441178,61472762
2018-01-30,0.114573,0.116173,0.088517,0.09191,1110380,48994248
2018-01-31,0.092054,0.104199,0.087189,0.102787,1214630,54792365
2018-02-01,0.103026,0.103416,0.08357,0.087362,799230,46570019
2018-02-02,0.087182,0.088541,0.06853,0.081083,931533,43222677
2018-02-03,0.08136,0.089288,0.072828,0.084912,803459,45263578
2018-02-04,0.085417,0.087874,0.072522,0.075881,2215800,40449716
2018-02-05,0.075145,0.07702,0.060974,0.062245,1469890,33180973
2018-02-06,0.062324,0.07025,0.052426,0.069608,282270,37105839
2018-02-07,0.068912,0.073391,0.062919,0.06305,136061,33609666
2018-02-08,0.062343,0.078708,0.062343,0.067401,141370,35929307
2018-02-09,0.067608,0.07543,0.063989,0.073888,106673,39387473
2018-02-10,0.073942,0.081112,0.071355,0.077099,76188,41098938
2018-02-11,0.077033,0.077033,0.067028,0.069998,40342,37313682
2018-02-12,0.070444,0.077506,0.070444,0.075403,51645,40194803
2018-02-13,0.07554,0.075973,0.065739,0.066148,31129,35261534
2018-02-14,0.065951,0.071674,0.063128,0.066194,30640,35285895
2018-02-15,0.06623,0.069749,0.063606,0.064653,34497,34464545
2018-02-16,0.064377,0.068401,0.056149,0.064132,42432,34186551
2018-02-17,0.064117,0.068616,0.053772,0.067795,98962,36139495
2018-02-18,0.068003,0.068003,0.055352,0.06084,104621,32431694
2018-02-19,0.060041,0.065918,0.059855,0.061276,62796,32664058
2018-02-20,0.061331,0.068558,0.059441,0.060083,57634,32028322
2018-02-21,0.060008,0.062367,0.052601,0.053328,33242,28427614
2018-02-22,0.053274,0.055184,0.044219,0.047792,72024,25476555
2018-02-23,0.047748,0.061823,0.046873,0.060652,125950,32331744
2018-02-24,0.060576,0.065738,0.054,0.058264,71801,31058833
2018-02-25,0.058176,0.067404,0.053657,0.054286,33511,28938132
2018-02-26,0.054356,0.06155,0.053502,0.060766,34619,32392514
2018-02-27,0.060942,0.071399,0.053633,0.063101,112433,33637119
2018-02-28,0.063027,0.070349,0.052533,0.05258,133042,28028613
2018-03-01,0.052657,0.055871,0.05156,0.053565,22692,28554004
2018-03-02,0.053428,0.060697,0.048603,0.049317,71863,26289215
2018-03-03,0.049257,0.059532,0.045139,0.047557,117346,25351231
2018-03-04,0.047475,0.056965,0.044395,0.049361,87045,26312617
2018-03-05,0.050014,0.050014,0.046131,0.046149,19493,24600352
2018-03-06,0.046021,0.051858,0.041537,0.042609,34837,22713668
2018-03-07,0.042554,0.0445,0.032184,0.03635,97852,19376935
2018-03-08,0.036298,0.038686,0.031088,0.032828,55087,17499366
2018-03-09,0.03262,0.035756,0.026846,0.033506,57375,17860732
2018-03-10,0.033335,0.034795,0.029134,0.030908,6294,16475930
2018-03-11,0.030801,0.032583,0.028693,0.032075,8353,17097913
2018-03-12,0.031973,0.036294,0.028728,0.0298,7910,15885612
2018-03-13,0.029629,0.032125,0.027344,0.030463,7288,16238875
2018-03-14,0.030467,0.031704,0.022137,0.023565,32518,12561672
2018-03-15,0.023554,0.024082,0.020017,0.021572,11788,11499483
2018-03-16,0.02156,0.028787,0.020614,0.024035,20056,12812001
2018-03-17,0.024074,0.026533,0.019368,0.019764,15300,10535804
2018-03-18,0.019716,0.024849,0.016065,0.01793,6178,9558106
2018-03-19,0.017855,0.026765,0.017501,0.022002,23973,11728808
2018-03-20,0.022248,0.027663,0.021784,0.022843,7407,12176744
2018-03-21,0.022884,0.028017,0.022298,0.027448,35655,14631785
2018-03-22,0.027398,0.027398,0.01926,0.019666,21350,10483030
2018-03-23,0.019665,0.020937,0.017629,0.018798,6765,10020435
2018-03-24,0.019071,0.024505,0.018921,0.021554,18721,11489888
2018-03-25,0.021258,0.023127,0.018109,0.020271,13116,10846452
2018-03-26,0.020256,0.021717,0.018948,0.021354,4624,11425608
2018-03-27,0.021321,0.021344,0.016838,0.019861,2534,10626914
2018-03-28,0.019856,0.02113,0.016772,0.019751,37883,10567896
2018-03-29,0.019774,0.021089,0.015928,0.017754,46529,9499367
2018-03-30,0.017709,0.018438,0.014906,0.0175,51486,9363941
2018-03-31,0.017503,0.020489,0.015361,0.018711,27049,10011640
2018-04-01,0.01871,0.019473,0.017088,0.017998,38620,9630244
2018-04-02,0.018087,0.019755,0.015944,0.018949,9351,10138879
2018-04-03,0.019033,0.020976,0.018604,0.020409,36244,10920237
2018-04-04,0.020395,0.020395,0.016918,0.01833,18836,9807833
2018-04-05,0.018338,0.018466,0.016023,0.017436,6877,9329643
2018-04-06,0.017347,0.01798,0.014478,0.01693,91602,9058900
2018-04-07,0.016951,0.017953,0.016584,0.01759,936,9411830
2018-04-08,0.017606,0.017953,0.016082,0.017464,1088,9344625
2018-04-09,0.017493,0.018087,0.015749,0.016955,11866,9071955
2018-04-10,0.016969,0.016989,0.015357,0.016788,9648,8982706
2018-04-11,0.016804,0.016887,0.01525,0.016851,18294,9016362
2018-04-12,0.01681,0.019138,0.014518,0.019138,83464,10240167
2018-04-13,0.019162,0.019585,0.017559,0.017935,10805,9596267
2018-04-14,0.018958,0.023139,0.018423,0.020458,53294,10946295
2018-04-15,0.020479,0.021256,0.018488,0.021206,37100,11346632
2018-04-16,0.021197,0.021316,0.019663,0.019872,12686,10632960
2018-04-17,0.019882,0.020556,0.019265,0.019328,4348,10341509
2018-04-18,0.019345,0.02025,0.018293,0.019906,61302,10651152
2018-04-19,0.019921,0.020573,0.018038,0.01851,54227,9904091
2018-04-20,0.018522,0.021589,0.017831,0.02139,34484,11445299
2018-04-21,0.021398,0.023834,0.020329,0.020624,51307,11035384
2018-04-22,0.020624,0.025795,0.02034,0.023933,97832,12805707
2018-04-23,0.023885,0.041397,0.023858,0.035592,196221,19043893
2018-04-24,0.035622,0.060926,0.035606,0.052022,495969,27835420
2018-04-25,0.051828,0.052437,0.04378,0.04533,520077,24254590
2018-04-26,0.045748,0.049038,0.041591,0.048881,301005,26154614
2018-04-27,0.048964,0.050507,0.044124,0.044464,788013,23791008
2018-04-28,0.044099,0.046388,0.043236,0.046305,1104930,24776495
2018-04-29,0.047212,0.047888,0.035186,0.04727,1200620,25292781
2018-04-30,0.046299,0.046299,0.035379,0.035379,227266,18929924
2018-05-01,0.035391,0.040068,0.029964,0.033086,671933,17703443
2018-05-02,0.032992,0.045532,0.032073,0.043409,553925,23226726
2018-05-03,0.043405,0.046233,0.037005,0.041692,2112630,22308016
2018-05-04,0.041228,0.04482,0.038163,0.041268,1683820,22081308
2018-05-05,0.042408,0.04592,0.038767,0.042292,1558290,22629271
2018-05-06,0.04239,0.043966,0.031815,0.034933,1617970,18691712
2018-05-07,0.034898,0.040797,0.031636,0.03613,1638830,19332134
2018-05-08,0.038255,0.043578,0.03229,0.035532,1646000,19012217
2018-05-09,0.035423,0.036461,0.031878,0.036015,2392610,19270334
2018-05-10,0.036029,0.04282,0.030512,0.039617,2029460,21197966
2018-05-11,0.036208,0.039776,0.03048,0.033754,1698440,18060814
2018-05-12,0.033374,0.039943,0.026433,0.032787,1667340,17543405
2018-05-13,0.033242,0.03854,0.031171,0.038168,1511370,20422600
2018-05-14,0.038105,0.040081,0.033639,0.038582,1357860,20644172
2018-05-15,0.038519,0.040869,0.037165,0.038156,1284260,20415966
2018-05-16,0.038003,0.039119,0.033093,0.036288,1466380,19416567
2018-05-17,0.036373,0.03843,0.034648,0.034916,1656530,18682295
2018-05-18,0.034911,0.037313,0.029566,0.034857,1348850,18650779
2018-05-19,0.035121,0.037782,0.031734,0.03666,1952370,19615773
2018-05-20,0.036381,0.037661,0.030762,0.035395,1616990,18938699
2018-05-21,0.035387,0.036296,0.031388,0.033847,1294740,18110362
2018-05-22,0.033955,0.038004,0.025478,0.030146,1409170,16130346
2018-05-23,0.030112,0.030567,0.026418,0.027924,817301,14941106
2018-05-24,0.027779,0.030468,0.025502,0.029654,1272180,15866879
2018-05-25,0.029091,0.031281,0.027719,0.028272,991758,15127256
2018-05-26,0.028409,0.035674,0.025596,0.026035,848701,13930257
2018-05-27,0.025863,0.027971,0.024974,0.02583,687086,13820889
2018-05-28,0.025836,0.035958,0.022696,0.024851,1235380,13296684
2018-05-29,0.024819,0.026935,0.022625,0.025192,1690940,13479463
2018-05-30,0.025208,0.025811,0.024662,0.025072,1645930,13415041
2018-05-31,0.025061,0.026623,0.024245,0.024838,1582240,13289996
2018-06-01,0.025689,0.030527,0.024414,0.025418,1698690,13600281
