Date,Open,High,Low,Close,Volume,Market Cap
2018-09-05,0.00569,0.005761,0.005437,0.005437,5563970,
2018-09-06,0.005437,0.005437,0.004945,0.005169,6367160,6481299.0
2018-09-07,0.005177,0.005199,0.004423,0.004777,4588330,5990366.0
2018-09-08,0.004777,0.004997,0.00424,0.004286,3711600,5374591.0
2018-09-09,0.004269,0.005012,0.004094,0.004996,5012100,6265081.0
2018-09-10,0.004999,0.005155,0.004224,0.004484,4706680,5622659.0
2018-09-11,0.00449,0.004629,0.004201,0.004328,5529960,5427570.0
2018-09-12,0.004328,0.004913,0.004,0.004761,7148050,5969438.0
2018-09-13,0.004766,0.004937,0.003877,0.004255,5916230,5393947.0
2018-09-14,0.004239,0.004818,0.003959,0.004599,4163030,5829472.0
2018-09-15,0.004592,0.00463,0.003991,0.004467,3045620,5662220.0
2018-09-16,0.004469,0.00464,0.00423,0.004249,2602450,5385568.0
2018-09-17,0.004244,0.004558,0.003477,0.003653,2775000,5068459.0
2018-09-18,0.003652,0.004076,0.003409,0.003897,2856290,5445763.0
2018-09-19,0.00389,0.004217,0.003645,0.003789,2330170,5295360.0
2018-09-20,0.003788,0.003946,0.0037,0.003793,2843210,5301229.0
2018-09-21,0.00372,0.003972,0.002762,0.003165,1058390,4423801.0
2018-09-22,0.00301,0.003201,0.002006,0.002454,693063,3429426.0
2018-09-23,0.002484,0.002938,0.002269,0.002846,657151,3977120.0
2018-09-24,0.002835,0.002984,0.002372,0.002404,463792,3359410.0
2018-09-25,0.002404,0.002647,0.002139,0.002369,1413200,3429848.0
2018-09-26,0.002371,0.00245,0.002239,0.002314,1203560,3354790.0
2018-09-27,0.002317,0.002623,0.002303,0.002497,1348330,3619621.0
2018-09-28,0.002528,0.002616,0.00235,0.00245,979176,3551753.0
2018-09-29,0.002447,0.002636,0.002238,0.002584,886926,3848900.0
2018-09-30,0.002458,0.002541,0.002306,0.002382,76658,4014426.0
2018-10-01,0.002405,0.002459,0.00193,0.001948,82558,3283677.0
2018-10-02,0.001946,0.002012,0.001892,0.001925,297856,3244339.0
2018-10-03,0.001922,0.001959,0.001822,0.001872,306407,3154337.0
2018-10-04,0.001843,0.001899,0.001692,0.001823,520033,3072325.0
2018-10-05,0.001822,0.00186,0.001765,0.001803,324314,3057018.0
2018-10-06,0.001826,0.001847,0.001624,0.00165,437377,2796872.0
2018-10-07,0.00165,0.001652,0.001439,0.0015,243511,2543729.0
2018-10-08,0.001488,0.001592,0.001455,0.001495,177042,2534387.0
2018-10-09,0.001496,0.001576,0.001266,0.001274,132106,2164403.0
2018-10-10,0.001412,0.001428,0.001202,0.001304,163832,2216153.0
2018-10-11,0.001276,0.001277,0.000805,0.000805,88228,1368365.0
2018-10-12,0.00081,0.001078,0.00081,0.00104,104938,1766782.0
2018-10-13,0.001031,0.001093,0.001021,0.001057,105746,1795359.0
2018-10-14,0.001056,0.001079,0.001009,0.001017,77028,1727248.0
2018-10-15,0.001023,0.001076,0.000904,0.000941,84656,1598804.0
2018-10-16,0.00094,0.000976,0.000884,0.000923,71199,1568064.0
2018-10-17,0.000913,0.001028,0.000785,0.000912,64968,1549786.0
2018-10-18,0.00091,0.000927,0.000773,0.000821,71831,1394593.0
2018-10-19,0.000821,0.000834,0.000719,0.000762,66128,1295086.0
2018-10-20,0.000756,0.000809,0.000722,0.000777,62871,1319275.0
2018-10-21,0.00078,0.0008,0.000642,0.000659,55140,1118905.0
2018-10-22,0.000661,0.000701,0.000629,0.000655,53676,1112161.0
2018-10-23,0.000651,0.000653,0.000595,0.000604,36770,1029716.0
2018-10-24,0.000604,0.000674,0.000601,0.000669,36410,1141439.0
2018-10-25,0.000668,0.000716,0.000621,0.000637,52245,1086370.0
2018-10-26,0.000646,0.000825,0.000622,0.000794,62173,1353301.0
2018-10-27,0.000809,0.000809,0.000751,0.00077,60187,1312847.0
2018-10-28,0.000771,0.000788,0.000721,0.000739,64546,1260593.0
2018-10-29,0.000739,0.000783,0.000674,0.000768,51380,1309898.0
2018-10-30,0.00077,0.000813,0.000767,0.0008,63742,1364342.0
2018-10-31,0.000804,0.000848,0.000791,0.000835,60092,1437942.0
2018-11-01,0.000832,0.005335,0.000766,0.001055,36051,1821911.0
2018-11-02,0.001052,0.001236,0.000971,0.00109,27442,1882406.0
2018-11-03,0.001092,0.001097,0.000965,0.000988,31223,1706230.0
2018-11-04,0.000987,0.001122,0.000727,0.000958,29364,1654317.0
2018-11-05,0.00096,0.00126,0.000771,0.001222,40496,2109144.0
2018-11-06,0.001218,0.001261,0.001122,0.001261,39537,2023183.0
2018-11-07,0.001261,0.001303,0.00115,0.001226,54860,2117172.0
2018-11-08,0.001227,0.00126,0.001079,0.001099,63711,1930415.0
2018-11-09,0.001095,0.001151,0.001055,0.001144,60473,2008789.0
2018-11-10,0.001142,0.00115,0.001067,0.001087,57753,1908582.0
2018-11-11,0.001133,0.001146,0.000778,0.000852,58053,1616541.0
2018-11-12,0.000851,0.000888,0.000714,0.000804,48649,1524535.0
2018-11-13,0.000798,0.000916,0.000744,0.000874,57774,1657914.0
2018-11-14,0.000874,0.000886,0.000734,0.000765,49067,1451040.0
2018-11-15,0.000768,0.000781,0.000689,0.000736,48821,1395613.0
2018-11-16,0.000744,0.000765,0.000702,0.000716,45554,1357563.0
2018-11-17,0.000705,0.000744,0.000694,0.000735,31616,1393626.0
2018-11-18,0.000739,0.000771,0.000728,0.00075,46506,1437267.0
2018-11-19,0.000759,0.000759,0.000627,0.000643,40419,1248866.0
2018-11-20,0.000637,0.000739,0.000604,0.000631,32403,1231883.0
2018-11-21,0.00063,0.000666,0.0006,0.000636,34589,1241588.0
2018-11-22,0.000634,0.000665,0.000599,0.000607,22705,1185835.0
2018-11-23,0.000601,0.000611,0.000561,0.000586,31201,1143554.0
2018-11-24,0.000584,0.000605,0.000515,0.000526,26651,1026309.0
2018-11-25,0.000527,0.000531,0.000461,0.000514,26220,1003077.0
2018-11-26,0.00051,0.000519,0.000447,0.000457,21053,901149.0
2018-11-27,0.000458,0.000482,0.000434,0.000456,11143,900439.0
