Date,Open,High,Low,Close,Volume,Market Cap
2017-11-02,5.51,6.64,5.33,5.43,14983,483116.0
2017-11-03,5.43,6.81,5.16,5.22,14228,470652.0
2017-11-04,5.2,6.14,5.12,5.67,9792,519573.0
2017-11-05,5.67,5.94,5.53,5.59,9490,519797.0
2017-11-06,5.6,5.7,4.26,4.29,9292,404990.0
2017-11-07,4.31,5.32,3.85,4.57,6831,437664.0
2017-11-08,4.55,5.43,4.17,4.35,5771,422262.0
2017-11-09,4.34,4.9,4.15,4.34,12241,427029.0
2017-11-10,4.35,5.7,4.18,4.18,7484,417154.0
2017-11-11,4.15,4.74,3.88,3.93,3571,397979.0
2017-11-12,3.92,3.92,2.83,2.93,4166,301277.0
2017-11-13,2.94,3.79,2.91,3.26,3838,339514.0
2017-11-14,3.27,3.62,2.96,3.04,3380,320629.0
2017-11-15,3.04,4.3,3.04,3.35,5493,357295.0
2017-11-16,3.36,4.02,3.29,3.93,3262,424204.0
2017-11-17,3.84,4.03,3.56,3.69,3486,404219.0
2017-11-18,3.61,3.78,2.65,2.66,3859,294334.0
2017-11-19,3.28,3.32,2.61,3.32,4414,372808.0
2017-11-20,3.32,5.69,3.18,3.51,4229,398190.0
2017-11-21,3.51,4.91,2.99,3.01,3886,345798.0
2017-11-22,3.01,3.78,3.0,3.25,3043,377489.0
2017-11-23,3.25,3.55,3.03,3.16,2097,371203.0
2017-11-24,3.15,3.38,3.09,3.29,3347,391408.0
2017-11-25,3.28,4.3,3.27,3.48,3822,418589.0
2017-11-26,3.48,3.93,2.62,3.03,2961,368386.0
2017-11-27,3.03,3.65,0.339804,2.56,5967,315205.0
2017-11-28,2.57,3.21,2.14,3.2,2917,397787.0
2017-11-29,3.2,4.28,2.69,2.8,1821,352066.0
2017-11-30,2.85,3.71,2.63,3.01,1989,381507.0
2017-12-01,2.99,3.48,2.71,3.48,2203,446412.0
2017-12-02,3.06,3.33,1.46,2.3,7299,298230.0
2017-12-03,2.31,3.09,2.09,2.13,4454,278446.0
2017-12-04,2.14,2.55,2.13,2.33,1930,307169.0
2017-12-05,2.33,4.59,2.3,3.17,3868,422034.0
2017-12-06,3.33,5.31,2.36,5.06,24040,681599.0
2017-12-07,5.05,6.47,3.1,4.87,17690,662388.0
2017-12-08,4.88,5.84,3.97,4.72,4892,649024.0
2017-12-09,4.72,6.11,4.44,4.68,6169,649815.0
2017-12-10,4.7,5.5,3.96,4.7,8880,659639.0
2017-12-11,4.67,5.6,4.26,4.31,10819,610721.0
2017-12-12,4.32,6.33,4.28,5.32,15641,760861.0
2017-12-13,5.32,5.54,4.86,4.93,8026,712471.0
2017-12-14,4.92,5.8,4.07,4.73,11302,689748.0
2017-12-15,4.74,5.36,4.06,4.2,4636,617567.0
2017-12-16,4.2,4.89,3.57,4.77,11373,708750.0
2017-12-17,4.77,4.84,3.67,3.87,6019,581025.0
2017-12-18,3.89,4.65,3.71,4.03,2742,609263.0
2017-12-19,4.03,5.3,3.79,4.24,12841,647980.0
2017-12-20,4.23,5.44,3.85,5.35,23844,823606.0
2017-12-21,5.36,5.64,5.03,5.17,15721,803216.0
2017-12-22,5.18,5.23,3.3,3.55,4592,556957.0
2017-12-23,3.59,4.85,3.56,3.85,1497,608778.0
2017-12-24,3.89,4.54,3.35,3.73,2487,594849.0
2017-12-25,3.77,3.86,3.37,3.57,2508,575000.0
2017-12-26,3.57,4.75,3.53,4.75,2967,770153.0
2017-12-27,4.75,4.75,3.84,4.1,2571,670461.0
2017-12-28,4.09,4.2,3.56,3.71,3232,611985.0
2017-12-29,3.75,5.15,3.38,5.01,7707,832790.0
2017-12-30,4.78,8.12,4.2,5.39,12891,904376.0
2017-12-31,5.33,7.2,4.18,4.34,26571,733671.0
2018-01-01,4.35,5.45,4.16,4.61,2758,786019.0
2018-01-02,4.61,5.86,4.45,5.29,4990,909499.0
2018-01-03,5.27,7.14,5.04,5.23,6953,907125.0
2018-01-04,5.26,6.3,4.99,5.77,4094,1008731.0
2018-01-05,5.77,8.22,5.36,6.83,9599,1205179.0
2018-01-06,6.84,10.35,6.65,9.02,21682,1603671.0
2018-01-07,9.02,9.02,6.86,7.26,12376,1300818.0
2018-01-08,7.25,9.9,7.01,9.51,11499,1719483.0
2018-01-09,9.48,10.33,7.92,9.14,8717,1666683.0
2018-01-10,9.15,9.95,7.95,9.95,7424,1829462.0
2018-01-11,9.93,10.12,7.87,8.9,7350,1652782.0
2018-01-12,8.96,11.16,8.4,9.97,17629,1866559.0
2018-01-13,9.96,19.88,9.96,17.76,37903,3354838.0
2018-01-14,17.77,26.39,14.96,21.22,77398,4043162.0
2018-01-15,21.06,24.01,4.03,19.82,39638,3808669.0
2018-01-16,20.59,20.59,11.18,14.53,16263,2815897.0
2018-01-17,14.45,16.18,11.96,15.06,10722,2943380.0
2018-01-18,15.12,16.09,10.6,15.76,10823,3105479.0
2018-01-19,15.6,22.06,15.49,21.24,22474,4220411.0
2018-01-20,21.47,25.17,11.68,19.14,39879,3835088.0
2018-01-21,19.19,19.19,14.4,15.48,34793,3126769.0
2018-01-22,15.7,16.12,15.3,15.97,35884,3233740.0
2018-01-23,12.89,14.1,11.93,11.93,28340,2445113.0
2018-01-24,11.93,12.81,11.64,11.91,14248,2457081.0
2018-01-25,12.11,12.4,6.91,11.19,17328,2322451.0
2018-01-26,11.16,12.56,8.44,9.02,17589,1881918.0
2018-01-27,9.01,11.37,3.36,4.54,27683,948135.0
2018-01-28,4.57,7.16,2.91,2.91,25743,607736.0
2018-01-29,2.91,4.72,2.24,2.38,15044,497449.0
2018-01-30,2.38,3.36,2.16,2.41,5187,502499.0
2018-01-31,2.41,3.07,2.17,2.28,5863,476411.0
2018-02-01,2.29,2.38,1.9,2.0,3497,417797.0
2018-02-02,2.0,2.0,0.974355,1.07,5455,223552.0
2018-02-03,1.07,1.44,0.994742,1.18,2202,245267.0
2018-02-04,1.18,1.62,1.01,1.04,3895,216334.0
2018-02-05,1.03,1.11,0.813175,0.84565,3303,176465.0
2018-02-06,0.84672,0.889555,0.724393,0.8642,3376,180336.0
2018-02-08,0.587423,0.714079,0.528234,0.539373,1527,112553.0
2018-02-09,0.541032,2.32,0.514402,2.08,4660,434927.0
2018-02-10,2.09,2.45,0.87317,0.953084,5229,198884.0
2018-02-11,0.952268,1.44,0.920863,1.21,6472,251963.0
2018-02-12,1.22,1.29,0.904401,1.17,6748,244230.0
2018-02-13,1.17,1.32,1.03,1.15,2931,240501.0
2018-02-14,1.15,2.26,0.90512,1.55,12653,322994.0
2018-02-15,1.55,2.1,1.46,1.54,6268,321892.0
2018-02-16,1.54,1.96,1.31,1.38,8480,288440.0
2018-02-17,1.38,1.83,1.37,1.51,4341,314653.0
2018-02-18,1.51,1.53,1.09,1.1,2058,228652.0
2018-02-19,1.09,1.62,0.776825,1.08,2742,224825.0
2018-02-20,1.08,1.59,0.803395,0.812076,3491,169459.0
2018-02-21,0.811065,0.8924,0.731878,0.743873,2010,155227.0
2018-02-22,0.743118,0.85164,0.651519,0.652637,1817,136188.0
2018-02-23,0.652027,0.775554,0.560292,0.660876,1178,137908.0
2018-02-24,0.660649,0.849186,0.526862,0.619254,1551,129222.0
2018-02-25,0.618315,0.62478,0.422588,0.439076,1358,91624.0
2018-02-26,0.439638,0.838456,0.428825,0.678814,1459,141651.0
2018-02-27,0.639941,0.845538,0.483142,0.49979,2950,104293.0
2018-02-28,0.499202,0.550152,0.496266,0.500644,1334,104471.0
2018-03-01,0.501381,0.544014,0.497476,0.524723,1199,109496.0
2018-03-02,0.523375,0.533084,0.507828,0.529137,1056,110417.0
2018-03-03,0.528489,0.53811,0.433591,0.445778,1253,93022.0
2018-03-04,0.445009,0.501093,0.285377,0.294094,910,61370.0
2018-03-05,0.344928,0.408531,0.291863,0.328809,563,68614.0
2018-03-06,0.328475,0.3296,0.161331,0.204032,516,42576.0
2018-03-07,0.203767,0.701118,0.175192,0.274457,2521,57272.0
2018-03-08,0.274068,0.446798,0.209266,0.317896,693,66337.0
2018-03-09,0.315883,0.600754,0.21825,0.308029,3552,64278.0
2018-03-10,0.324366,0.567782,0.323878,0.373271,715,77892.0
2018-03-11,0.371983,0.542505,0.36515,0.440427,1590,91906.0
2018-03-12,0.43904,0.530626,0.418613,0.438688,707,91543.0
2018-03-13,0.436169,0.478213,0.299033,0.322835,508,67367.0
2018-03-14,0.32288,0.371188,0.249727,0.271284,477,56610.0
2018-03-15,0.270834,0.327691,0.254061,0.29383,398,61315.0
2018-03-16,0.293664,0.323717,0.273662,0.273662,269,57106.0
2018-03-17,0.274113,0.530522,0.237174,0.237174,2059,49492.0
2018-03-18,0.236597,0.303275,0.222025,0.271505,1295,56656.0
2018-03-19,0.311231,0.400418,0.22483,0.243136,1239,50736.0
2018-03-20,0.23369,0.299068,0.226185,0.248959,653,51951.0
2018-03-21,0.24941,0.284515,0.246007,0.250421,324,52256.0
2018-03-22,0.249964,0.262368,0.23887,0.243817,264,50878.0
2018-03-23,0.243811,0.245694,0.216365,0.244985,263,51122.0
2018-03-24,0.248552,0.26307,0.22389,0.224338,742,46813.0
2018-03-25,0.22125,0.242614,0.212588,0.214537,622,44768.0
2018-03-26,0.214373,0.227622,0.199288,0.207727,271,43347.0
2018-03-27,0.207413,0.211965,0.196991,0.197674,328,41249.0
2018-03-28,0.197629,0.205533,0.095853,0.111444,672,23255.0
2018-03-29,0.111574,0.171055,0.110537,0.136987,315,28586.0
2018-03-30,0.136646,0.163252,0.123749,0.128656,302,26847.0
2018-03-31,0.128675,0.135665,0.128367,0.1307,209,27274.0
