Date,Open,High,Low,Close,Volume,Market Cap
2019-03-06,0.012778,0.013561,0.012675,0.013437,20081499,
2019-03-07,0.013179,0.013446,0.011865,0.01202,8152240,
2019-03-08,0.012009,0.012232,0.010992,0.011466,10472811,
2019-03-09,0.011452,0.012183,0.010981,0.011248,5878355,
2019-03-10,0.011165,0.012666,0.010422,0.012576,9126855,
2019-03-11,0.012554,0.016253,0.011408,0.012042,34474779,
2019-03-12,0.012153,0.012205,0.011014,0.011437,8063042,
2019-03-13,0.011491,0.012699,0.011244,0.011637,7896265,
2019-03-14,0.011646,0.013525,0.011383,0.012076,10135125,
2019-03-15,0.01209,0.013278,0.011907,0.013087,6593776,
2019-03-16,0.013123,0.014153,0.012653,0.01372,6316158,
2019-03-17,0.013751,0.014629,0.013619,0.01404,8938684,
2019-03-18,0.014033,0.015665,0.013574,0.013744,14049487,
2019-03-19,0.013735,0.014367,0.013373,0.014356,8897721,
2019-03-20,0.014251,0.01495,0.01401,0.014251,12242650,
2019-03-21,0.014311,0.014371,0.012518,0.013577,9679466,
2019-03-22,0.013463,0.013612,0.012532,0.012956,6737514,
2019-03-23,0.013,0.01379,0.012791,0.013149,4508066,
2019-03-24,0.013153,0.013245,0.012701,0.013112,4119353,
2019-03-25,0.01308,0.013333,0.012745,0.013333,4221175,
2019-03-26,0.013276,0.014177,0.013019,0.01376,7609259,
2019-03-27,0.013771,0.015253,0.013579,0.014556,14483742,
2019-03-28,0.014562,0.015469,0.013401,0.013737,18209570,
2019-03-29,0.013694,0.013908,0.012672,0.012988,8030521,
2019-03-30,0.012979,0.013353,0.011406,0.012698,8142123,
2019-03-31,0.012698,0.013336,0.012615,0.01322,6147041,
2019-04-01,0.013231,0.016989,0.012945,0.013357,84005773,
2019-04-02,0.013352,0.013354,0.011645,0.012228,33042102,
2019-04-03,0.012228,0.0123,0.010928,0.010928,11260803,24158218.0
2019-04-04,0.011031,0.011448,0.01073,0.011448,8544994,25307954.0
2019-04-05,0.011456,0.011481,0.010705,0.010949,7290444,24205665.0
2019-04-06,0.01097,0.011201,0.010477,0.010797,5868329,23870363.0
2019-04-07,0.010834,0.010923,0.010238,0.010405,5616949,23002282.0
2019-04-08,0.010415,0.01048,0.009744,0.010024,6653855,22160309.0
2019-04-09,0.010024,0.010684,0.009726,0.010453,6544160,23108628.0
2019-04-10,0.010497,0.010722,0.010132,0.010191,4966648,22529117.0
2019-04-11,0.010197,0.010409,0.008861,0.009277,4883542,20508533.0
2019-04-12,0.009274,0.00936,0.008349,0.008932,4178497,19745961.0
2019-04-13,0.00892,0.009213,0.008625,0.008779,2753740,19408213.0
2019-04-14,0.008779,0.00933,0.008579,0.00918,3968849,20295439.0
2019-04-15,0.00918,0.009232,0.008521,0.008575,3079878,18956160.0
2019-04-16,0.008562,0.009241,0.00852,0.00903,2849302,19962470.0
2019-04-17,0.009061,0.009952,0.008922,0.009379,6489321,20734171.0
2019-04-18,0.009372,0.009468,0.009035,0.009123,6267452,20169123.0
2019-04-19,0.009123,0.009656,0.00912,0.009511,8346386,21026417.0
2019-04-20,0.00948,0.009545,0.009176,0.009237,3059985,20420630.0
2019-04-21,0.009237,0.009362,0.008444,0.008932,10365081,19745934.0
2019-04-22,0.008929,0.009059,0.008481,0.00883,7384973,19520375.0
2019-04-23,0.00883,0.008894,0.008544,0.008764,23349287,19374289.0
2019-04-24,0.008764,0.008981,0.00805,0.008195,31578251,18117080.0
2019-04-25,0.008207,0.00857,0.007918,0.008056,2965992,17810951.0
2019-04-26,0.008036,0.008332,0.007936,0.008159,2893713,18038508.0
2019-04-27,0.008159,0.008821,0.008111,0.008621,2705407,19058927.0
2019-04-28,0.008626,0.009047,0.008449,0.008973,2743752,19838197.0
2019-04-29,0.008989,0.009831,0.008806,0.00946,4595331,20912731.0
2019-04-30,0.009458,0.009938,0.008756,0.009005,8459177,19907774.0
2019-05-01,0.009017,0.009205,0.008937,0.009045,3151948,19997339.0
2019-05-02,0.00904,0.009603,0.008752,0.009284,4576555,20523734.0
2019-05-03,0.009333,0.009842,0.008847,0.008907,8532737,19690433.0
2019-05-04,0.008958,0.009042,0.008095,0.008382,3678292,18530533.0
2019-05-05,0.008378,0.008504,0.00794,0.008123,2850023,17958625.0
2019-05-06,0.008101,0.008137,0.007712,0.007753,2752633,17139884.0
2019-05-07,0.007787,0.007949,0.007256,0.007284,2972184,16103734.0
2019-05-08,0.00732,0.007322,0.006898,0.007082,3178920,15655721.0
2019-05-09,0.007082,0.007211,0.006795,0.007023,3734709,15525742.0
2019-05-10,0.007,0.007698,0.006601,0.007171,5279268,15854381.0
2019-05-11,0.007173,0.007503,0.006833,0.007227,4026864,15977073.0
2019-05-12,0.007228,0.007293,0.006642,0.006686,4112835,14966821.0
2019-05-13,0.006686,0.006937,0.006581,0.00666,4403847,14907242.0
2019-05-14,0.006652,0.006894,0.006595,0.006894,4481701,15476123.0
2019-05-15,0.006886,0.007217,0.006788,0.007193,5187074,16145888.0
2019-05-16,0.007177,0.007598,0.006711,0.006867,5901972,15414918.0
2019-05-17,0.006897,0.006997,0.006255,0.006606,3905012,14830895.0
