Date,Open,High,Low,Close,Volume,Market Cap
2018-05-23,0.003707,0.003755,0.003668,0.003702,4766240,
2018-05-24,0.003692,0.009151,0.003629,0.00914,21950,
2018-05-25,0.00915,0.012563,0.008126,0.010901,21909,
2018-05-26,0.010903,0.010963,0.006337,0.008434,15508,
2018-05-27,0.008451,0.008451,0.00578,0.005826,6550,
2018-05-28,0.00712,0.007121,0.005355,0.006933,8538,
2018-05-29,0.006913,0.007225,0.00522,0.006046,3742370,
2018-05-30,0.006045,0.007099,0.006039,0.00686,2735370,
2018-05-31,0.006858,0.010874,0.006766,0.010687,2921160,
2018-06-01,0.010762,0.012332,0.010641,0.011883,4651040,
2018-06-02,0.011879,0.012106,0.010274,0.011538,2410070,
2018-06-03,0.011539,0.014596,0.011464,0.012694,3947210,
2018-06-04,0.01288,0.013752,0.01129,0.011704,3069570,
2018-06-05,0.011779,0.012118,0.010835,0.011934,2536790,
2018-06-06,0.011929,0.011942,0.010845,0.011244,8757710,
2018-06-07,0.011329,0.011447,0.009952,0.01136,8990600,
2018-06-08,0.011293,0.013773,0.009818,0.010231,7199560,
2018-06-09,0.01023,0.011008,0.010171,0.010346,9231410,
2018-06-10,0.010359,0.010425,0.007364,0.007785,15672400,
2018-06-11,0.007527,0.008312,0.007368,0.00827,10709500,36492621.0
2018-06-12,0.008197,0.008927,0.007433,0.007945,24230000,35058678.0
2018-06-13,0.007965,0.008347,0.006576,0.006891,18564200,30410267.0
2018-06-14,0.006888,0.007992,0.006878,0.007919,28427900,34945534.0
2018-06-15,0.007906,0.007914,0.006927,0.007347,26073100,32420347.0
2018-06-16,0.007256,0.007609,0.00712,0.007487,23272500,33039376.0
2018-06-17,0.007507,0.007586,0.006699,0.007214,20152400,31834723.0
2018-06-18,0.007319,0.007398,0.006318,0.006868,18354200,30306875.0
2018-06-19,0.006931,0.007779,0.006897,0.007561,27102700,33390746.0
2018-06-20,0.007633,0.007903,0.006411,0.007762,33171000,34281745.0
2018-06-21,0.007764,0.007857,0.007102,0.007192,23240000,31763851.0
2018-06-22,0.007184,0.007261,0.005367,0.005447,15453300,24053742.0
2018-06-23,0.005447,0.006012,0.005028,0.00549,17370000,24244572.0
2018-06-24,0.005489,0.005659,0.004652,0.005362,18476500,23678308.0
