Date,Open,High,Low,Close,Volume,Market Cap
2018-07-27,3.95,5.62,3.54,4.41,49495.0,
2018-07-28,3.97,4.35,3.24,4.04,73980.0,
2018-07-29,4.04,4.22,3.73,4.21,31765.0,
2018-07-30,3.88,4.12,3.8,3.81,65668.0,
2018-07-31,3.81,3.98,3.62,3.89,55032.0,
2018-08-01,3.88,4.67,1.18,4.47,219033.0,15821374.0
2018-08-02,4.47,4.67,3.42,4.45,108996.0,15756712.0
2018-08-03,4.45,4.45,3.49,3.71,101316.0,12503127.0
2018-08-04,3.71,3.9,2.91,2.99,33403.0,10177266.0
2018-08-05,2.99,3.35,2.67,3.03,22783.0,10297202.0
2018-08-06,3.03,3.65,3.0,3.22,47105.0,10874976.0
2018-08-07,3.22,3.58,3.12,3.15,34445.0,10688969.0
2018-08-08,3.17,3.42,2.88,3.0,41850.0,10074785.0
2018-08-09,3.0,3.19,2.9,2.94,15561.0,9839116.0
2018-08-10,2.94,3.28,2.74,2.77,31208.0,9186210.0
2018-08-11,2.77,2.78,2.46,2.48,11414.0,8218028.0
2018-08-12,2.47,2.65,2.29,2.49,13912.0,8361375.0
2018-08-13,2.5,2.63,2.16,2.28,7105.0,7566462.0
2018-08-14,2.28,2.28,1.95,2.17,24765.0,7278356.0
2018-08-15,2.19,2.3,2.07,2.22,7828.0,7393351.0
2018-08-16,2.15,2.21,1.65,1.9,39833.0,6385938.0
2018-08-17,1.9,2.99,1.88,2.99,52499.0,10007149.0
2018-08-18,3.0,3.0,2.1,2.3,23683.0,7946621.0
2018-08-19,2.3,2.33,2.1,2.11,26847.0,7562997.0
2018-08-20,2.11,2.26,2.01,2.02,7736.0,7311032.0
2018-08-21,2.01,2.45,2.01,2.17,33905.0,7824251.0
2018-08-22,2.17,2.49,2.01,2.05,40723.0,7348209.0
2018-08-23,2.05,2.26,2.05,2.11,29968.0,7723625.0
2018-08-24,2.11,2.28,2.1,2.22,27997.0,8147189.0
2018-08-25,2.21,2.24,2.11,2.21,21840.0,7935029.0
2018-08-26,2.21,2.21,2.1,2.15,25364.0,7702994.0
2018-08-27,2.16,2.22,2.06,2.19,36477.0,7813629.0
2018-08-28,2.2,2.32,2.16,2.28,37100.0,8263792.0
2018-08-29,2.28,2.35,2.19,2.22,30281.0,8079846.0
2018-08-30,2.25,2.53,2.12,2.4,20574.0,8743227.0
2018-08-31,2.4,2.41,2.2,2.26,19013.0,8235679.0
2018-09-01,2.26,2.5,2.26,2.42,29094.0,8804084.0
2018-09-02,2.42,2.5,2.22,2.25,26061.0,8525403.0
2018-09-03,2.25,2.31,2.08,2.11,31691.0,9208339.0
2018-09-04,2.11,2.76,1.96,2.01,43835.0,8768111.0
2018-09-05,2.01,2.07,1.55,1.8,38419.0,7852870.0
2018-09-06,1.8,1.83,1.52,1.54,11737.0,6698618.0
2018-09-07,1.54,1.65,1.14,1.43,29191.0,6234939.0
2018-09-08,1.43,1.65,1.3,1.37,18505.0,5961491.0
2018-09-09,1.36,1.48,1.31,1.31,6266.0,5731111.0
2018-09-10,1.32,1.4,1.15,1.28,11114.0,5583294.0
2018-09-11,1.28,1.39,1.21,1.33,10852.0,5817902.0
2018-09-12,1.33,1.42,1.2,1.28,27786.0,5562413.0
2018-09-13,1.28,1.46,1.27,1.44,17604.0,6263709.0
2018-09-14,1.43,1.92,1.42,1.88,34498.0,8203344.0
2018-09-15,1.88,2.09,1.67,2.09,28930.0,9107251.0
2018-09-16,2.09,2.09,1.77,1.78,23488.0,7743761.0
2018-09-17,1.77,1.8,1.47,1.49,11202.0,6499537.0
2018-09-18,1.49,1.66,1.47,1.61,8789.0,7014524.0
2018-09-19,1.61,1.64,1.47,1.64,11655.0,7137015.0
2018-09-20,1.64,1.82,1.57,1.81,7844.0,7895459.0
2018-09-21,1.81,1.89,1.7,1.75,8751.0,7632212.0
2018-09-22,1.76,1.83,1.63,1.76,43222.0,7656928.0
2018-09-23,1.76,1.77,1.61,1.77,31076.0,7719525.0
2018-09-24,1.77,1.77,1.44,1.45,17890.0,6319288.0
2018-09-25,1.45,1.45,1.11,1.31,22024.0,5715462.0
2018-09-26,1.31,1.44,1.22,1.22,11044.0,5305530.0
2018-09-27,1.22,1.7,1.1,1.68,31231.0,7339322.0
2018-09-28,1.68,2.21,1.44,2.09,57088.0,9115708.0
2018-09-29,2.09,2.09,1.73,1.94,23356.0,8457393.0
2018-09-30,1.94,1.98,1.7,1.77,10567.0,7710981.0
2018-10-01,1.77,1.93,1.69,1.85,12255.0,8063198.0
2018-10-02,1.85,1.99,1.83,1.96,6853.0,8536773.0
2018-10-03,1.96,2.17,1.77,2.11,9127.0,9218278.0
2018-10-04,2.12,2.21,2.04,2.19,8320.0,9563172.0
2018-10-05,2.19,4.01,2.12,3.83,62909.0,16697571.0
2018-10-06,3.83,8.88,3.58,4.35,154851.0,18948273.0
2018-10-07,4.35,5.85,2.65,3.99,59522.0,17411116.0
2018-10-08,4.0,5.1,3.83,4.6,26618.0,20038359.0
2018-10-09,4.6,4.61,4.1,4.38,46908.0,19085280.0
2018-10-10,4.31,4.58,3.85,3.9,37723.0,17011777.0
2018-10-11,3.9,3.92,3.37,3.5,12941.0,15264249.0
2018-10-12,3.5,5.68,3.49,4.26,78653.0,18588253.0
2018-10-13,4.26,4.69,3.92,4.68,21877.0,20419520.0
2018-10-14,4.68,4.99,4.14,4.88,21643.0,21251502.0
2018-10-15,4.88,5.06,4.43,4.73,46955.0,20602560.0
2018-10-16,4.73,4.9,4.34,4.89,46808.0,21325346.0
2018-10-17,4.9,4.91,4.48,4.68,18378.0,20404045.0
2018-10-18,4.67,5.06,4.32,4.67,45366.0,20368344.0
2018-10-19,4.7,6.07,4.4,5.77,83314.0,25154136.0
2018-10-20,5.77,7.85,4.92,6.07,144649.0,26463442.0
2018-10-21,6.07,6.56,5.35,5.57,64870.0,24291684.0
