Date,Open,High,Low,Close,Volume,Market Cap
2013-07-04,0.00778,0.008337,0.007225,0.007455,,2503
2013-07-05,0.007405,0.013132,0.0064,0.01095,,3703
2013-07-06,0.010961,0.0126,0.01029,0.010893,,3720
2013-07-07,0.010711,0.013048,0.010438,0.013048,,4478
2013-07-08,0.013388,0.015196,0.011772,0.015066,,5264
2013-07-09,0.014964,0.015099,0.012118,0.013806,,4872
2013-07-10,0.014888,0.033106,0.014888,0.019963,,7103
2013-07-11,0.020249,0.048347,0.020249,0.037372,,13392
2013-07-12,0.036659,0.044588,0.030225,0.037438,,13478
2013-07-13,0.037596,0.052965,0.031145,0.040235,,14560
2013-07-14,0.040615,0.060319,0.0396,0.047346,,17298
2013-07-15,0.046802,0.049108,0.039473,0.044479,,16269
2013-07-16,0.04475,0.0488,0.000228,0.044209,,16223
2013-07-17,0.043844,0.057015,0.042098,0.052255,,19213
2013-07-18,0.052255,0.085836,0.052255,0.072555,,26973
2013-07-19,0.072146,0.10023,0.057295,0.075951,,28424
2013-07-20,0.075812,0.110496,0.068868,0.082241,,31065
2013-07-21,0.082637,0.117845,0.080461,0.08395,,31939
2013-07-22,0.085097,0.089672,0.074156,0.081533,,31156
2013-07-23,0.081525,0.083423,0.062318,0.06283,,24105
2013-07-24,0.06283,0.066034,0.043062,0.053513,,20532
2013-07-25,0.057473,0.065619,0.053538,0.062985,,24340
2013-07-26,0.063018,0.063498,0.043202,0.056652,,21914
2013-07-27,0.052829,0.060736,0.045121,0.047062,,18258
2013-07-28,0.047204,0.059519,0.040198,0.043894,,17088
2013-07-29,0.043385,0.053365,0.043321,0.04554,,17737
2013-07-30,0.04567,0.061378,0.044269,0.059396,,23144
2013-07-31,0.059372,0.060063,0.050427,0.051266,,19984
2013-08-01,0.051325,0.052188,0.048415,0.048798,,19067
2013-08-02,0.045193,0.045469,0.038087,0.043888,,17152
2013-08-03,0.043888,0.048037,0.037399,0.047675,,18637
2013-08-04,0.047946,0.049338,0.042077,0.04312,,16857
2013-08-05,0.043111,0.051938,0.043062,0.044613,,17440
2013-08-06,0.044824,0.05154,0.044017,0.044803,,17514
2013-08-07,0.044801,0.048418,0.04218,0.04367,,17072
2013-08-08,0.04367,0.044765,0.041821,0.04223,,16509
2013-08-09,0.042259,0.04698,0.037406,0.039989,,15633
2013-08-10,0.039989,0.040335,0.035845,0.036163,,14137
2013-08-11,0.036163,0.038288,0.031425,0.031606,,12398
2013-08-12,0.031606,0.03947,0.02615,0.034796,,13653
2013-08-13,0.034912,0.041053,0.031031,0.040922,,16057
2013-08-14,0.04113,0.042889,0.029171,0.041074,,16117
2013-08-15,0.041074,0.041205,0.031773,0.035925,,14098
2013-08-16,0.035927,0.035927,0.028215,0.02834,,11079
2013-08-17,0.02834,0.035563,0.02776,0.029286,,11449
2013-08-18,0.029093,0.035781,0.029028,0.035179,,13752
2013-08-19,0.035142,0.03859,0.029068,0.031059,,12142
2013-08-20,0.031059,0.036662,0.03067,0.035149,,13741
2013-08-21,0.035151,0.037038,0.031136,0.032077,,12539
2013-08-22,0.032077,0.03309,0.031374,0.032709,,12787
2013-08-23,0.032939,0.035082,0.030944,0.031996,,12508
2013-08-24,0.031999,0.033922,0.031208,0.031332,,12248
2013-08-25,0.031216,0.034466,0.031106,0.031872,,12460
2013-08-26,0.031872,0.034775,0.0288,0.028825,,11269
2013-08-27,0.028829,0.035623,0.028323,0.029097,,11375
2013-08-28,0.029093,0.036163,0.027645,0.033311,,13022
2013-08-29,0.033311,0.033604,0.027508,0.027538,,10765
2013-08-30,0.027529,0.028643,0.023879,0.024032,,9395
2013-08-31,0.02396,0.02503,0.014113,0.014909,,5828
2013-09-01,0.024318,0.024779,0.014226,0.015219,,5949
2013-09-02,0.015251,0.026131,0.014568,0.01509,,5899
2013-09-03,0.015064,0.016375,0.014508,0.015045,,5881
2013-09-04,0.015018,0.025512,0.014992,0.025348,,9909
2013-09-05,0.025352,0.028012,0.019402,0.019602,,7663
2013-09-06,0.019611,0.019743,0.017311,0.017342,,6780
2013-09-07,0.017304,0.020061,0.017303,0.018082,,7069
