Date,Open,High,Low,Close,Volume,Market Cap
2014-06-12,0.000197,0.00046,0.00019,0.000295,414,81066
2014-06-13,0.000282,0.000288,0.000189,0.000222,139,61060
2014-06-14,0.000222,0.000222,0.00017,0.00018,54,49732
2014-06-15,0.000179,0.000189,0.000177,0.000189,103,52305
2014-06-16,0.00019,0.000236,0.000172,0.000172,118,47511
2014-06-17,0.000172,0.000232,9.6e-05,0.000232,199,64431
2014-06-18,0.000232,0.000234,0.000133,0.000225,105,62536
2014-06-19,0.000225,0.000285,0.000122,0.000221,467,61730
2014-06-20,0.000221,0.000275,0.000155,0.000178,162,49702
2014-06-21,0.000178,0.000178,0.000153,0.000167,21,46713
2014-06-22,0.000167,0.000168,0.000156,0.000163,26,45616
2014-06-23,0.000163,0.000187,0.000153,0.000154,40,43385
2014-06-24,0.000154,0.000226,0.000148,0.000158,35,44452
2014-06-25,0.000157,0.000218,0.000142,0.000199,66,56210
2014-06-26,0.000198,0.000201,0.000143,0.000191,98,54115
2014-06-27,0.000192,0.000192,0.000145,0.000161,58,45682
2014-06-28,0.000126,0.000126,0.000113,0.000125,90,35562
2014-06-29,0.000125,0.000151,0.000119,0.000151,19,42829
2014-06-30,0.000151,0.000187,0.00012,0.000185,57,52863
2014-07-01,0.000186,0.000228,0.000117,0.000224,512,64002
2014-07-02,0.000224,0.000276,0.000148,0.000163,332,46576
2014-07-03,0.000169,0.000285,0.000167,0.000252,244,72121
2014-07-04,0.000252,0.000292,0.000164,0.000164,91,47114
2014-07-05,0.000164,0.000246,0.000139,0.000177,122,50884
2014-07-06,0.000177,0.000197,0.000165,0.000165,64,47648
2014-07-07,0.000165,0.000231,0.000143,0.000144,385,41485
2014-07-08,0.000143,0.000257,0.000143,0.000212,611,8413
2014-07-09,0.000213,0.000294,0.000212,0.000269,1254,10791
2014-07-10,0.000269,0.000269,0.000216,0.000216,220,8799
2014-07-11,0.000216,0.000335,0.000216,0.000316,628,13062
2014-07-12,0.000316,0.000395,0.000245,0.000253,1064,10624
2014-07-13,0.000254,0.000258,0.000176,0.000188,40,7984
2014-07-14,0.000188,0.000298,0.000167,0.000272,434,11733
2014-07-15,0.000242,0.000368,0.000212,0.000367,1195,16002
2014-07-16,0.000367,0.000367,0.000204,0.000247,52,10907
2014-07-17,0.000247,0.000247,0.0002,0.000206,22,9206
2014-07-18,0.000205,0.000249,0.000169,0.000176,67,7984
2014-07-19,0.000176,0.000182,0.000163,0.000163,64,7504
2014-07-20,0.000163,0.00017,0.000156,0.000156,105,7252
2014-07-21,0.000156,0.000224,0.00013,0.000156,98,7321
2014-07-22,0.000224,0.000224,0.000124,0.000124,59,5922
2014-07-23,0.000124,0.00018,0.000118,0.00018,43,8661
2014-07-24,0.00018,0.000181,0.000138,0.000181,210,8807
2014-07-25,0.00018,0.000192,0.000161,0.000174,159,8605
2014-07-26,0.000174,0.000191,0.000143,0.000179,98,8927
2014-07-27,0.000179,0.00018,0.000148,0.000148,10,7499
2014-07-28,0.000149,0.000289,0.000121,0.000287,770,14661
2014-07-29,0.000287,0.000321,0.000233,0.000287,684,14801
2014-07-30,0.000304,0.000304,0.000231,0.000233,140,12148
2014-07-31,0.000233,0.000276,0.000231,0.000258,58,13958
2014-08-01,0.000258,0.000278,0.000153,0.000208,219,11387
2014-08-02,0.000208,0.000208,0.00017,0.000177,48,9769
2014-08-03,0.000177,0.000177,0.000169,0.00017,50,9500
2014-08-04,0.00017,0.000207,0.000169,0.0002,167,11293
2014-08-05,0.0002,0.000201,0.000169,0.000181,46,10343
2014-08-06,0.000182,0.000182,0.000163,0.000181,91,10431
2014-08-07,0.000181,0.000183,0.000146,0.000183,332,10612
2014-08-08,0.000206,0.000209,0.000148,0.000172,130,10089
2014-08-09,0.000172,0.000172,0.000118,0.000171,91,10133
2014-08-10,0.000177,0.000177,0.000118,0.00013,27,7783
2014-08-11,0.00013,0.000182,0.000118,0.000127,59,7662
2014-08-12,0.000127,0.000149,0.000113,0.000114,27,6950
2014-08-13,0.000114,0.00016,0.000107,0.000159,50,9761
2014-08-14,0.000164,0.000164,0.000105,0.000111,131,6918
2014-08-15,0.000112,0.000135,9.8e-05,0.000134,32,8418
2014-08-16,0.000134,0.000134,9.9e-05,0.00013,18,8225
2014-08-17,0.00013,0.00013,9.7e-05,9.8e-05,12,6282
2014-08-18,9.8e-05,0.00012,8.9e-05,0.00012,102,7732
2014-08-19,0.00012,0.000141,0.000101,0.000141,107,9150
2014-08-20,0.000141,0.000171,0.000108,0.000154,273,10076
2014-08-21,0.000158,0.000162,0.000104,0.00014,98,9241
2014-08-22,0.00014,0.000165,0.00012,0.000164,57,10979
2014-08-23,0.000164,0.000165,0.000133,0.000154,17,10394
2014-08-24,0.000154,0.000157,0.000129,0.000132,15,8972
2014-08-25,0.000132,0.000151,0.00013,0.000151,26,10321
2014-08-26,0.000161,0.000164,0.000136,0.000164,108,11302
2014-08-27,0.000164,0.000165,0.000138,0.000138,34,9607
2014-08-28,0.000138,0.000152,0.000137,0.000152,11,10692
2014-08-29,0.000158,0.000158,0.000122,0.000122,42,8635
2014-08-30,0.000122,0.000131,0.000115,0.000116,28,8274
2014-08-31,0.000116,0.000116,0.000109,0.00011,18,7902
2014-09-01,0.00011,0.000185,9.6e-05,0.000185,419,13424
2014-09-02,0.000209,0.000226,0.000142,0.000205,629,14999
2014-09-03,0.000224,0.000235,0.000153,0.000215,556,15824
2014-09-04,0.00021,0.00023,0.000162,0.000181,187,13443
2014-09-05,0.000181,0.000286,0.000179,0.000256,597,19158
2014-09-06,0.000256,0.000303,0.000256,0.000291,237,21922
2014-09-07,0.000291,0.000291,0.000265,0.000265,68,20140
2014-09-08,0.000265,0.00031,0.000246,0.000304,195,23238
2014-09-09,0.000304,0.000304,0.000234,0.000257,153,19782
2014-09-10,0.000257,0.000267,0.000238,0.000264,98,20474
2014-09-11,0.000264,0.000286,0.000196,0.000283,175,22141
2014-09-12,0.000283,0.000305,0.000199,0.000287,271,22590
2014-09-13,0.000287,0.000287,0.00021,0.000263,86,20913
2014-09-14,0.000264,0.000264,0.000214,0.000215,45,17195
2014-09-15,0.000215,0.000286,0.000204,0.000285,252,22969
2014-09-16,0.000285,0.000348,0.000202,0.00034,760,27593
2014-09-17,0.00034,0.000352,0.000245,0.000352,389,28762
2014-09-18,0.000352,0.000352,0.000215,0.000297,126,24438
2014-09-19,0.000297,0.000297,0.000206,0.000257,125,21254
2014-09-20,0.00026,0.000283,0.000246,0.00027,113,22509
2014-09-21,0.000269,0.000272,0.000237,0.000243,63,20425
2014-09-22,0.000243,0.000365,0.00024,0.000358,756,30262
2014-09-23,0.000358,0.000428,0.000297,0.000418,1366,35613
2014-09-24,0.000414,0.000414,0.00032,0.000368,655,31552
2014-09-25,0.000368,0.00043,0.000314,0.000428,860,36931
2014-09-26,0.000387,0.000756,0.00036,0.000744,1261,64627
2014-09-27,0.000743,0.000758,0.00061,0.000679,570,59379
2014-09-28,0.000679,0.00068,0.000528,0.000532,221,46801
2014-09-29,0.000531,0.000657,0.000525,0.000541,719,47887
2014-09-30,0.000542,0.000574,0.000423,0.000449,490,40012
2014-10-01,0.000449,0.000534,0.000438,0.000457,157,40949
2014-10-02,0.000442,0.000584,0.000389,0.000551,456,49783
2014-10-03,0.000552,0.000552,0.000424,0.000489,387,44418
2014-10-04,0.000468,0.000478,0.000375,0.000391,184,35774
2014-10-05,0.000391,0.000394,0.000318,0.000356,71,32734
2014-10-06,0.000356,0.000487,0.000301,0.000459,200,42464
2014-10-07,0.00046,0.000462,0.000332,0.000444,144,41339
2014-10-08,0.000444,0.000569,0.000336,0.000568,879,53259
2014-10-09,0.000476,0.000694,0.000454,0.00054,540,50951
2014-10-10,0.00054,0.000797,0.000484,0.000795,824,75459
2014-10-11,0.000791,0.000792,0.000623,0.000743,425,70873
2014-10-12,0.000743,0.000744,0.000625,0.000662,222,63619
2014-10-13,0.000661,0.000783,0.000602,0.000773,818,74667
2014-10-14,0.000776,0.000808,0.000654,0.00079,747,76728
2014-10-15,0.00079,0.000792,0.000594,0.000726,313,71006
2014-10-16,0.000726,0.000728,0.000566,0.000708,439,69589
2014-10-17,0.000708,0.000708,0.000567,0.000672,463,66419
2014-10-18,0.000672,0.000672,0.000582,0.000626,399,62298
2014-10-19,0.000626,0.000626,0.000599,0.0006,335,60013
2014-10-20,0.000599,0.000769,0.000488,0.000747,1221,75119
2014-10-21,0.000746,0.000746,0.000594,0.000599,661,60619
2014-10-22,0.000687,0.000737,0.0006,0.000717,443,72919
2014-10-23,0.000716,0.000716,0.000595,0.000631,283,64556
2014-10-24,0.000595,0.000632,0.000572,0.000573,492,59008
2014-10-25,0.000574,0.00059,0.000548,0.000552,127,57141
2014-10-26,0.000573,0.000574,0.000537,0.000553,212,195197
2014-10-27,0.000553,0.000597,0.000487,0.000494,370,174615
2014-10-28,0.000583,0.000599,0.000496,0.00059,129,208832
2014-10-29,0.000589,0.00059,0.000463,0.000477,360,168923
2014-10-30,0.000477,0.000547,0.000367,0.000546,223,193711
2014-10-31,0.000545,0.000657,0.000426,0.000595,789,211762
2014-11-01,0.000596,0.000611,0.000467,0.000506,368,180221
2014-11-02,0.000507,0.000552,0.000458,0.000477,188,170238
2014-11-03,0.000477,0.000618,0.00047,0.000614,1096,219291
2014-11-04,0.000613,0.000613,0.000513,0.000537,247,192135
2014-11-05,0.000537,0.000549,0.000364,0.000421,586,150936
2014-11-06,0.000421,0.000471,0.00042,0.000464,657,166712
2014-11-07,0.000465,0.00052,0.000342,0.000342,357,123148
2014-11-08,0.000342,0.000427,0.000279,0.00036,384,129838
2014-11-09,0.00036,0.000377,0.000284,0.000335,77,120745
2014-11-10,0.000334,0.000435,0.000301,0.000419,382,151237
2014-11-11,0.000417,0.000418,0.000247,0.000374,260,135513
2014-11-12,0.000324,0.000417,0.000261,0.000413,274,149631
2014-11-13,0.000416,0.000422,0.000294,0.000418,222,151890
2014-11-14,0.000416,0.000417,0.000271,0.000271,118,98727
2014-11-15,0.000273,0.000327,0.000235,0.000241,214,87733
2014-11-16,0.00024,0.000284,0.000236,0.000237,136,86354
2014-11-17,0.000237,0.000379,0.000237,0.000355,597,129589
2014-11-18,0.000374,0.000526,0.000254,0.000423,448,154853
2014-11-19,0.000422,0.00043,0.000251,0.00032,343,117437
2014-11-20,0.000329,0.000331,0.000231,0.000277,128,101551
2014-11-21,0.000277,0.000277,0.000216,0.000216,152,79262
2014-11-22,0.000216,0.000252,0.000216,0.00025,128,92126
2014-11-23,0.00025,0.000251,0.000181,0.000187,45,68894
2014-11-24,0.000186,0.00023,0.000186,0.00021,83,77643
2014-11-25,0.00021,0.000225,0.00018,0.000214,378,79236
2014-11-26,0.000215,0.000215,0.000181,0.000189,168,69921
2014-11-27,0.00019,0.000191,0.000188,0.000189,83,69966
2014-11-28,0.000188,0.000285,0.000183,0.000198,77,73705
2014-11-29,0.000198,0.00021,0.000191,0.000192,50,71286
2014-11-30,0.000192,0.000194,0.000188,0.000191,60,71162
2014-12-01,0.000191,0.000199,0.000179,0.000179,172,66952
2014-12-02,0.000179,0.000199,0.000176,0.000197,24,73858
2014-12-03,0.000198,0.000225,0.000188,0.000198,85,74152
2014-12-04,0.000198,0.000218,0.000186,0.000207,365,77643
2014-12-05,0.000207,0.00021,0.000179,0.000209,69,78411
2014-12-06,0.000209,0.000209,0.000179,0.000198,31,74335
2014-12-07,0.000198,0.000199,0.000187,0.000194,36,73007
2014-12-08,0.000194,0.000196,0.000183,0.000194,241,73033
2014-12-09,0.000193,0.000196,0.000149,0.000149,42,56505
2014-12-10,0.000149,0.000258,0.000147,0.000204,120,77112
2014-12-11,0.000247,0.000252,0.00018,0.000249,105,94422
2014-12-12,0.000214,0.000287,0.000185,0.000201,123,76483
2014-12-13,0.000211,0.000225,0.000169,0.000169,96,64229
2014-12-14,0.000169,0.000214,0.000146,0.000147,67,56017
2014-12-15,0.000147,0.000195,0.000125,0.000149,175,56932
2014-12-16,0.000149,0.00015,0.0001,0.000121,328,46269
2014-12-17,0.000121,0.000127,8.8e-05,0.00012,247,45907
2014-12-18,0.00012,0.000122,8.5e-05,0.00011,261,42269
2014-12-19,0.00011,0.00011,8.1e-05,8.2e-05,276,31553
2014-12-20,8.2e-05,0.0001,8.1e-05,8.4e-05,147,32198
2014-12-21,8.4e-05,8.4e-05,8e-05,8e-05,35,30871
2014-12-22,8e-05,0.000113,8e-05,0.000113,175,43495
2014-12-23,0.000113,0.000113,8.7e-05,8.9e-05,41,34459
2014-12-24,8.9e-05,9.3e-05,7.9e-05,8.8e-05,66,34130
2014-12-25,9.1e-05,9.2e-05,7.6e-05,8e-05,189,30877
2014-12-26,8e-05,0.000105,7.8e-05,8.3e-05,40,32357
2014-12-27,8.3e-05,0.000301,8.3e-05,0.000187,520,72759
2014-12-28,0.000188,0.000188,9.7e-05,0.000123,158,47843
2014-12-29,0.000123,0.000124,9.4e-05,9.6e-05,208,37203
2014-12-30,9.6e-05,0.000126,8.7e-05,0.0001,156,38820
2014-12-31,0.0001,0.000112,8.6e-05,0.000108,177,42166
2015-01-01,0.000108,0.000108,8.2e-05,8.7e-05,107,33887
2015-01-02,8.7e-05,0.0001,8.3e-05,8.7e-05,142,33905
2015-01-03,8.7e-05,0.000101,7.9e-05,7.9e-05,148,30859
2015-01-04,7.9e-05,7.9e-05,6.9e-05,7.1e-05,24,28028
2015-01-05,7.2e-05,0.000111,7.1e-05,0.0001,158,39401
2015-01-06,8.9e-05,9.7e-05,7.5e-05,8.2e-05,96,32153
2015-01-07,8.2e-05,0.000115,7.4e-05,0.000115,174,45389
2015-01-08,0.000125,0.000125,8.6e-05,0.0001,113,39524
2015-01-09,9.8e-05,0.000111,8.7e-05,9.3e-05,149,36774
2015-01-10,9.3e-05,0.000112,8.9e-05,9.5e-05,85,37639
2015-01-11,9.5e-05,9.8e-05,8.4e-05,8.4e-05,12,33300
2015-01-12,8.7e-05,0.000111,8.4e-05,9e-05,151,35755
2015-01-13,9e-05,9.6e-05,7e-05,8.3e-05,69,32858
2015-01-14,8.2e-05,8.2e-05,5.5e-05,5.9e-05,58,23431
2015-01-15,5.8e-05,8.3e-05,5.8e-05,7.3e-05,130,29121
2015-01-16,7.3e-05,7.5e-05,6.4e-05,7e-05,8,27964
2015-01-17,7e-05,7.4e-05,6.5e-05,6.7e-05,14,26758
2015-01-18,6.7e-05,7e-05,6.2e-05,6.5e-05,16,26144
2015-01-19,6.6e-05,8.4e-05,6.3e-05,7.2e-05,203,28799
2015-01-20,7.1e-05,7.8e-05,6.8e-05,7.8e-05,83,31261
2015-01-21,7.8e-05,8.6e-05,7.2e-05,7.9e-05,150,31977
2015-01-22,8e-05,9.7e-05,7.9e-05,9.7e-05,153,39227
2015-01-23,9.7e-05,0.000118,8e-05,0.000102,312,41107
2015-01-24,0.000102,0.000119,9.6e-05,0.000106,23,42745
2015-01-25,0.000106,0.000108,9.9e-05,0.000101,11,41099
2015-01-26,0.000102,0.000142,0.000102,0.00014,85,56592
2015-01-27,0.000139,0.00014,9.2e-05,0.000102,129,41399
2015-01-28,0.000102,0.000118,9.2e-05,9.3e-05,108,37724
2015-01-29,9.3e-05,0.000105,8.3e-05,9.8e-05,86,39737
2015-01-30,9.7e-05,0.000101,7.7e-05,8e-05,93,32764
2015-01-31,8e-05,0.000105,7.4e-05,7.4e-05,57,30197
2015-02-01,7.4e-05,8.2e-05,7.1e-05,7.6e-05,6,30945
2015-02-02,7.6e-05,9.8e-05,6.9e-05,7.3e-05,99,30099
2015-02-03,7.3e-05,9.2e-05,7.1e-05,8.2e-05,112,33742
2015-02-04,8.2e-05,9.1e-05,7.1e-05,8.8e-05,58,36332
2015-02-05,8.8e-05,9e-05,7.6e-05,8e-05,67,32967
2015-02-06,8e-05,9.2e-05,7.5e-05,8.6e-05,75,35269
2015-02-07,8.6e-05,8.9e-05,7.4e-05,7.7e-05,76,31930
2015-02-08,7.7e-05,8.1e-05,6.9e-05,7e-05,3,28816
2015-02-09,7e-05,8.2e-05,6e-05,7e-05,101,29092
2015-02-10,7e-05,8.4e-05,6.9e-05,8e-05,104,33120
2015-02-11,8e-05,8.6e-05,6.9e-05,8.5e-05,111,35420
2015-02-12,7.8e-05,8.4e-05,6.9e-05,6.9e-05,120,28747
2015-02-13,6.9e-05,9e-05,6.9e-05,8.8e-05,101,36507
2015-02-14,8.8e-05,9.3e-05,7.4e-05,8.2e-05,72,34346
