Date,Open,High,Low,Close,Volume,Market Cap
2018-01-12,1.17,1.26,1.15,1.25,603047,
2018-01-13,1.24,1.31,1.09,1.27,413639,
2018-01-14,1.27,1.3,1.05,1.12,222996,
2018-01-15,1.15,1.27,1.09,1.2,647220,
2018-01-16,1.2,1.2,0.805248,0.944466,560436,
2018-01-17,0.925247,1.06,0.731466,0.840738,338817,
2018-01-18,0.846384,1.17,0.835135,1.1,502264,
2018-01-19,1.09,1.2,0.941157,1.13,417160,
2018-01-20,1.13,1.37,1.1,1.37,307491,
2018-01-21,1.38,1.38,1.01,1.19,387769,
2018-01-22,1.17,1.25,1.05,1.15,596221,
2018-01-23,1.14,1.16,0.970027,0.984637,343736,
2018-01-24,1.12,1.19,1.01,1.07,371328,
2018-01-25,1.08,1.23,1.06,1.11,389458,
2018-01-26,1.11,1.21,1.03,1.11,378882,
2018-01-27,1.11,1.13,0.964715,1.11,314867,
2018-01-28,1.12,1.22,1.11,1.19,368507,
2018-01-29,1.19,1.4,1.12,1.39,737263,
2018-01-30,1.43,2.1,1.37,2.1,990579,
2018-01-31,2.01,2.13,1.59,1.94,943108,
2018-02-01,1.94,2.0,1.54,1.66,602874,
2018-02-02,1.65,1.66,1.18,1.45,498528,
2018-02-03,1.46,1.63,1.27,1.63,370679,
2018-02-04,1.69,1.7,1.35,1.46,371061,
2018-02-05,1.49,1.5,1.06,1.12,435222,
2018-02-06,1.12,1.37,0.953568,1.36,563004,
2018-02-07,1.36,1.48,1.21,1.31,544606,
2018-02-08,1.3,1.47,1.28,1.44,608278,
2018-02-09,1.43,1.54,1.36,1.46,619979,
2018-02-10,1.46,1.63,1.38,1.43,610552,
2018-02-11,1.43,1.45,1.32,1.32,565252,
2018-02-12,1.32,1.51,1.32,1.43,417528,
2018-02-13,1.43,1.47,1.35,1.43,428012,
2018-02-14,1.43,1.44,1.32,1.44,310386,
2018-02-15,1.43,1.54,1.39,1.49,341938,
2018-02-16,1.49,1.58,1.46,1.55,249404,
2018-02-17,1.55,1.6,1.47,1.48,198982,
2018-02-18,1.49,1.54,1.23,1.34,184799,
2018-02-19,1.33,1.52,1.31,1.47,444309,
2018-02-20,1.47,1.54,1.43,1.43,279947,
2018-02-21,1.43,1.43,1.25,1.36,436212,
2018-02-22,1.36,1.38,1.19,1.23,412066,
2018-02-23,1.23,1.32,1.19,1.32,465557,
2018-02-24,1.32,1.36,1.16,1.25,381861,
2018-02-25,1.25,1.28,1.17,1.22,402056,
2018-02-26,1.22,1.36,1.19,1.25,391923,
2018-02-27,1.26,1.3,1.23,1.26,419367,
2018-02-28,1.26,1.28,1.2,1.21,279451,
2018-03-01,1.21,1.22,1.17,1.21,344796,
2018-03-02,1.21,1.22,1.1,1.17,306020,
2018-03-03,1.17,1.19,1.07,1.16,308276,
2018-03-04,1.15,1.19,1.12,1.19,339505,
2018-03-05,1.19,1.2,1.14,1.18,337272,
2018-03-06,1.18,1.18,1.06,1.09,194790,
2018-03-07,1.09,1.1,0.906347,0.941421,165564,
2018-03-08,0.940406,0.982954,0.87481,0.887971,186850,
2018-03-09,0.885689,0.904673,0.797063,0.896372,200736,
2018-03-10,0.895515,0.922884,0.843443,0.848859,151120,
