Date,Open,High,Low,Close,Volume,Market Cap
2016-10-09,0.000783,0.000784,0.000783,0.000783,5.0,5195
2016-10-10,0.000783,0.002452,0.000783,0.001424,1218.0,9461
2016-10-11,0.001424,0.035078,0.001026,0.005686,3231.0,37862
2016-10-12,0.005684,0.005688,0.002014,0.003105,1080.0,20729
2016-10-13,0.003104,0.004936,0.001535,0.002496,198.0,16681
2016-10-14,0.002497,0.002511,0.000832,0.001422,2044.0,9508
2016-10-15,0.001422,0.00224,0.000838,0.002219,2206.0,14891
2016-10-16,0.00222,0.005578,0.001712,0.002696,2142.0,18124
2016-10-17,0.002697,0.00342,0.00159,0.00206,3264.0,13860
2016-10-18,0.00206,0.002062,0.00075,0.00075,370.0,5057
2016-10-19,0.00075,0.001392,0.000292,0.001382,166.0,9332
2016-10-20,0.001382,0.001527,0.000816,0.000816,69.0,5519
2016-10-21,0.000816,0.002457,0.000707,0.001365,456.0,9265
2016-10-22,0.001366,0.001501,0.000531,0.000533,334.0,3620
2016-10-23,0.000533,0.00116,0.000533,0.000771,229.0,5241
2016-10-24,0.000771,0.00151,0.000502,0.001366,1533.0,9297
2016-10-25,0.001367,0.001504,0.000691,0.00088,259.0,5999
2016-10-26,0.000881,0.001007,0.000362,0.000678,4225.0,4644
2016-10-27,0.000678,0.000911,0.000412,0.000811,629.0,5560
2016-10-28,0.000811,0.000817,0.000301,0.000328,809.0,2252
2016-10-29,0.000328,0.000697,0.000328,0.000566,234.0,3885
2016-10-30,0.000565,0.000666,0.000458,0.000623,121.0,4283
2016-10-31,0.000624,0.000625,0.000604,0.000606,120.0,4174
2016-11-01,0.000606,0.000624,0.000439,0.00045,7.0,3101
2016-11-02,0.00045,0.00051,0.000391,0.00051,40.0,3519
2016-11-03,0.000512,0.000537,0.000422,0.000482,23.0,3329
2016-11-04,0.000482,0.000492,0.000344,0.000464,36.0,3208
2016-11-05,0.000464,0.001058,0.000462,0.000616,181.0,4263
2016-11-06,0.000617,0.000626,0.000508,0.000596,11.0,4124
2016-11-07,0.000596,0.000596,0.000495,0.000502,6.0,3476
2016-11-08,0.000502,0.000631,0.000495,0.000502,5.0,3480
2016-11-09,0.000502,0.000561,0.000221,0.000222,141.0,1543
2016-11-10,0.000222,0.0004,0.000111,0.000185,132.0,1287
2016-11-11,0.000185,0.000256,0.000157,0.00025,16.0,1737
2016-11-12,0.00025,0.004882,0.000221,0.004837,108.0,33632
2016-11-13,0.004838,0.004839,0.00031,0.002203,39.0,15319
2016-11-14,0.002203,0.002213,0.000104,0.000208,20.0,1445
2016-11-15,0.000208,0.000307,0.000208,0.000293,157.0,2042
2016-11-16,0.000293,0.000338,0.000201,0.000201,7.0,1399
2016-11-17,0.000201,0.000419,0.000201,0.000419,108.0,2918
