Date,Open,High,Low,Close,Volume,Market Cap
2019-01-04,0.036948,0.052453,0.036932,0.052253,289.0,
2019-01-05,0.052142,0.053955,0.039074,0.051897,421.0,
2019-01-06,0.051823,0.052036,0.037584,0.037856,501.0,
2019-01-07,0.037891,0.07515,0.037891,0.073509,1272.0,
2019-01-08,0.073486,0.075741,0.046754,0.05431,1098.0,
2019-01-09,0.054333,0.069059,0.033368,0.049713,3518.0,
2019-01-10,0.049713,0.050028,0.036788,0.037264,509.0,
2019-01-11,0.037174,0.037663,0.031522,0.03183,114.0,
2019-01-12,0.031851,0.03847,0.031255,0.031297,43.0,
2019-01-13,0.031264,0.033218,0.027405,0.031351,117.0,
2019-01-14,0.031377,0.033833,0.024994,0.033335,106.0,
2019-01-15,0.033339,0.033649,0.025275,0.025631,98.0,
2019-01-16,0.025603,0.036994,0.025527,0.028384,1013.0,
2019-01-17,0.028357,0.031512,0.026038,0.029753,170.0,
2019-01-18,0.029739,0.029752,0.026041,0.028889,100.0,
2019-01-19,0.029021,0.030424,0.026536,0.029449,102.0,
2019-01-20,0.029429,0.032401,0.025649,0.030426,996.0,
2019-01-21,0.030415,0.030488,0.025801,0.029514,85.0,
2019-01-22,0.029481,0.029754,0.025692,0.025699,18.0,
2019-01-23,0.025699,0.027126,0.025003,0.025373,89.0,
2019-01-24,0.025385,0.028185,0.024913,0.02809,137.0,
2019-01-25,0.028128,0.029258,0.025004,0.025149,1023.0,
2019-01-26,0.025148,0.02925,0.025069,0.02855,157.0,
2019-01-27,0.028553,0.031819,0.025785,0.031353,432.0,
2019-01-28,0.031325,0.032394,0.023483,0.02772,500.0,
2019-01-29,0.02775,0.028438,0.021091,0.02111,330.0,
2019-01-30,0.021077,0.028486,0.020368,0.028273,238.0,
2019-01-31,0.028276,0.028687,0.020396,0.022125,64.0,
2019-02-01,0.022143,0.025394,0.021714,0.022533,41.0,
2019-02-02,0.022504,0.026281,0.021035,0.026249,53.0,
2019-02-03,0.026237,0.026317,0.020799,0.020815,,
2019-02-04,0.020815,0.025832,0.020815,0.02564,42.0,
2019-02-05,0.025619,0.025732,0.020647,0.025577,54.0,
2019-02-06,0.025603,0.025603,0.0245,0.024932,,
2019-02-07,0.024932,0.025053,0.020749,0.024877,94.0,
2019-02-08,0.024909,0.031496,0.023541,0.02385,390.0,
2019-02-09,0.023829,0.02654,0.023768,0.025087,40.0,
