Date,Open,High,Low,Close,Volume,Market Cap
2019-02-06,5.4e-05,6.2e-05,5.4e-05,6.2e-05,2,
2019-02-07,6.2e-05,0.0002,6.1e-05,0.000197,2,
2019-02-08,0.000197,0.000199,7.3e-05,7.8e-05,7,
2019-02-09,7.8e-05,7.8e-05,7.5e-05,7.6e-05,0,
2019-02-10,7.6e-05,8.4e-05,7e-05,8.4e-05,0,
2019-02-11,8.4e-05,8.4e-05,8e-05,8.1e-05,31,
2019-02-12,8.1e-05,8.1e-05,6.8e-05,7.3e-05,37,
2019-02-13,7.3e-05,8.7e-05,6e-05,6.3e-05,33,
2019-02-14,6.3e-05,7.1e-05,5.7e-05,7e-05,36,
2019-02-15,7e-05,7.5e-05,6.4e-05,6.9e-05,35,
2019-02-16,6.9e-05,0.000202,6.3e-05,9.4e-05,70,
2019-02-17,9.3e-05,0.000105,8.3e-05,0.0001,75,
2019-02-18,0.0001,0.000114,0.0001,0.000113,85,
2019-02-19,0.000113,0.000116,7e-05,7.1e-05,12,
2019-02-20,7e-05,7.7e-05,7e-05,7.6e-05,13,
2019-02-21,7.6e-05,7.6e-05,7.3e-05,7.4e-05,13,
2019-02-22,7.4e-05,7.5e-05,7.1e-05,7.2e-05,12,
2019-02-23,7.2e-05,8.1e-05,7.2e-05,8e-05,14,
2019-02-24,8e-05,8.5e-05,7.1e-05,7.1e-05,12,
2019-02-25,6.9e-05,7.4e-05,6.9e-05,7.1e-05,12,
2019-02-26,7e-05,7.3e-05,6.8e-05,6.9e-05,12,
2019-02-27,6.9e-05,6.9e-05,5.2e-05,5.4e-05,19,
2019-02-28,5.4e-05,5.5e-05,2.7e-05,2.7e-05,145,
2019-03-01,2.7e-05,0.000115,2.7e-05,3.3e-05,90,
2019-03-02,3.3e-05,9.1e-05,3.2e-05,9e-05,206,
2019-03-03,8.9e-05,9.2e-05,5.2e-05,5.2e-05,168,
2019-03-04,5.2e-05,5.4e-05,4e-05,4.1e-05,145,
2019-03-05,4.1e-05,4.3e-05,3.9e-05,4.3e-05,153,
2019-03-06,4.3e-05,4.3e-05,3.7e-05,3.9e-05,163,
2019-03-07,3.9e-05,3.9e-05,3.6e-05,3.9e-05,160,
2019-03-08,3.9e-05,3.9e-05,2.7e-05,2.8e-05,95,
2019-03-09,2.8e-05,3.2e-05,2.7e-05,2.8e-05,3,
2019-03-10,2.8e-05,2.9e-05,1.9e-05,2.4e-05,34,
2019-03-11,2.4e-05,5.7e-05,2.1e-05,5.7e-05,277,
2019-03-12,5.7e-05,5.7e-05,2.4e-05,5.7e-05,112,
2019-03-13,5.7e-05,6.4e-05,5.3e-05,5.3e-05,90,
2019-03-14,5.3e-05,6.1e-05,5.3e-05,6.1e-05,153,
2019-03-15,6.1e-05,6.2e-05,4.1e-05,4.2e-05,114,
2019-03-16,4.2e-05,4.5e-05,4.2e-05,4.4e-05,509,
2019-03-17,4.4e-05,5.1e-05,4.2e-05,5e-05,616,
2019-03-18,5e-05,5e-05,4.1e-05,4.2e-05,60,
2019-03-19,4.2e-05,4.2e-05,3.7e-05,3.8e-05,104,
2019-03-20,3.8e-05,3.8e-05,3.8e-05,3.8e-05,104,
2019-03-21,3.8e-05,5.4e-05,3.6e-05,5.3e-05,10,
2019-03-22,5.3e-05,7.3e-05,5.3e-05,7e-05,577,
2019-03-23,7e-05,8.3e-05,7e-05,8.3e-05,683,
2019-03-24,8.3e-05,8.9e-05,7.2e-05,8.7e-05,228,
2019-03-25,8.7e-05,9e-05,2.6e-05,2.6e-05,44,
2019-03-26,2.6e-05,7.8e-05,2.6e-05,7.7e-05,255,
2019-03-27,7.7e-05,8.4e-05,7.7e-05,8.2e-05,270,
2019-03-28,8.2e-05,8.2e-05,3.8e-05,3.8e-05,163,
2019-03-29,3.8e-05,5.2e-05,3.8e-05,4.7e-05,73,
2019-03-30,4.7e-05,4.9e-05,4.6e-05,4.6e-05,72,
2019-03-31,4.6e-05,4.8e-05,4.5e-05,4.6e-05,71,
2019-04-01,4.6e-05,4.8e-05,3.7e-05,3.7e-05,40,
2019-04-02,3.7e-05,0.000109,3.7e-05,0.000109,277,
2019-04-03,0.000109,0.000117,9.4e-05,0.0001,510,
2019-04-04,0.0001,0.0001,3.5e-05,3.7e-05,460,
2019-04-05,3.7e-05,3.8e-05,3.6e-05,3.7e-05,461,
2019-04-06,3.7e-05,8e-05,3.6e-05,3.8e-05,163,
2019-04-07,3.8e-05,4e-05,3.7e-05,4e-05,170,
2019-04-08,4e-05,4.3e-05,3.7e-05,3.7e-05,159,
2019-04-09,3.7e-05,6e-05,8e-06,5.9e-05,588,
2019-04-10,5.9e-05,6.2e-05,5.7e-05,5.7e-05,29,
2019-04-11,5.7e-05,5.8e-05,5.2e-05,5.3e-05,27,
2019-04-12,5.3e-05,5.5e-05,4.6e-05,4.7e-05,101,
2019-04-13,4.7e-05,4.7e-05,4.5e-05,4.5e-05,97,
2019-04-14,4.5e-05,4.8e-05,4.5e-05,4.8e-05,102,
2019-04-15,4.8e-05,4.8e-05,3.7e-05,3.7e-05,28,
2019-04-16,3.7e-05,4.5e-05,3.7e-05,4.5e-05,5,
2019-04-17,4.5e-05,4.5e-05,2.5e-05,2.6e-05,36,
2019-04-18,2.6e-05,3.8e-05,2.6e-05,3.7e-05,37,
2019-04-19,3.7e-05,4.8e-05,3.7e-05,4.8e-05,15,
2019-04-20,4.7e-05,5e-05,4.7e-05,4.8e-05,15,
2019-04-21,4.8e-05,5.2e-05,3.3e-05,3.4e-05,117,
2019-04-22,3.4e-05,5e-05,3.3e-05,3.4e-05,465,
2019-04-23,3.4e-05,3.5e-05,2.9e-05,2.9e-05,11,
2019-04-24,2.9e-05,3e-05,2.6e-05,2.8e-05,10,
2019-04-25,2.8e-05,3.3e-05,2.7e-05,3e-05,9,
2019-04-26,3e-05,3.1e-05,2.2e-05,2.3e-05,62,
2019-04-27,2.3e-05,4.2e-05,1.8e-05,3.9e-05,128,
