Date,Open,High,Low,Close,Volume,Market Cap
2018-07-11,0.286401,0.303155,0.203121,0.227746,10956600,
2018-07-12,0.227054,0.238087,0.199002,0.222989,10068700,
2018-07-13,0.225269,0.226216,0.197668,0.197668,8133820,
2018-07-14,0.197797,0.210018,0.179673,0.19787,7758220,
2018-07-15,0.196422,0.233458,0.192502,0.2321,9440310,
2018-07-16,0.233655,0.246593,0.22083,0.240955,11127200,
2018-07-17,0.241405,0.251272,0.22864,0.239946,8891660,
2018-07-18,0.243761,0.258691,0.235767,0.246367,13020600,
2018-07-19,0.246042,0.268276,0.24315,0.264791,16425600,
2018-07-20,0.264802,0.265244,0.237578,0.238308,10322000,
2018-07-21,0.238263,0.242581,0.233896,0.235977,11533600,
2018-07-22,0.236034,0.238627,0.226702,0.227313,12328000,
2018-07-23,0.227162,0.23518,0.224302,0.22558,10930100,
2018-07-24,0.225514,0.231557,0.218613,0.229152,12895600,
2018-07-25,0.229915,0.229915,0.209393,0.210837,11798900,5005809.0
2018-07-26,0.210646,0.231558,0.209939,0.219803,11921500,5218685.0
2018-07-27,0.221013,0.22276,0.209575,0.214706,13289300,5097669.0
2018-07-28,0.214738,0.216882,0.208753,0.212767,9815180,5051632.0
2018-07-29,0.212496,0.216638,0.202559,0.205237,11847500,4872851.0
2018-07-30,0.205182,0.21762,0.20311,0.215913,27913100,5342663.0
2018-07-31,0.215307,0.215635,0.202076,0.203155,18512200,5128913.0
2018-08-01,0.203042,0.20386,0.194725,0.19667,18810600,4965191.0
2018-08-02,0.196271,0.199152,0.192379,0.194602,21283500,4913224.0
2018-08-03,0.194746,0.195867,0.189976,0.195426,18160700,5033695.0
2018-08-04,0.195306,0.204682,0.192168,0.193626,19324700,4987331.0
2018-08-05,0.193745,0.196059,0.191267,0.19583,14121100,5044101.0
2018-08-06,0.194876,0.208006,0.193368,0.197019,21240600,5074726.0
2018-08-07,0.197017,0.207935,0.19352,0.195101,19190400,5610626.0
2018-08-08,0.195357,0.195357,0.177984,0.17933,16702500,5157091.0
2018-08-09,0.179575,0.180218,0.166409,0.173312,15440600,4993502.0
2018-08-10,0.172751,0.173589,0.161338,0.161792,16681100,4662358.0
2018-08-11,0.162421,0.162515,0.149982,0.156045,15183200,4496747.0
2018-08-12,0.155744,0.156674,0.152472,0.154155,17862700,4477890.0
2018-08-13,0.154399,0.166829,0.14799,0.148601,14285900,4319540.0
2018-08-14,0.148562,0.167497,0.131029,0.153437,17357100,4460113.0
2018-08-15,0.158933,0.174621,0.146207,0.153212,14418700,4457452.0
2018-08-16,0.153315,0.154378,0.147152,0.149112,13296000,4338169.0
2018-08-17,0.149506,0.160255,0.147406,0.15883,15786000,4652664.0
2018-08-18,0.158522,0.159689,0.149079,0.152061,14285300,4454377.0
2018-08-19,0.15172,0.153142,0.1482,0.150002,11381100,4400810.0
2018-08-20,0.149993,0.158387,0.147974,0.150188,17975200,3993858.0
2018-08-21,0.150093,0.155012,0.14773,0.150432,12752400,4056778.0
2018-08-22,0.150424,0.153473,0.138202,0.140457,15187200,3787777.0
2018-08-23,0.139674,0.142023,0.136336,0.140649,15949100,3905328.0
2018-08-24,0.140805,0.141172,0.136505,0.138279,13058600,3839521.0
2018-08-25,0.138013,0.139063,0.133571,0.134686,12811500,3740902.0
2018-08-26,0.134143,0.135313,0.128708,0.129561,17336000,3659196.0
2018-08-27,0.129428,0.135123,0.127855,0.135123,24554600,3816339.0
