Date,Open,High,Low,Close,Volume,Market Cap
2018-08-13,0.056512,0.056512,0.056376,0.056376,1775,
2018-08-14,0.056325,0.105867,0.046808,0.102724,8237,
2018-08-15,0.102641,0.1062,0.069435,0.082506,5845,
2018-08-16,0.08239,0.098403,0.070505,0.080167,19036,
2018-08-17,0.080174,0.097358,0.072251,0.097358,7437,
2018-08-18,0.097582,0.097968,0.073209,0.084714,2798,
2018-08-19,0.084741,0.084741,0.050609,0.08102,3586,
2018-08-20,0.080888,0.082537,0.057411,0.073471,4165,
2018-08-21,0.073364,0.075806,0.063926,0.075634,2324,
2018-08-22,0.075649,0.078595,0.063542,0.07272,2412,
2018-08-23,0.072785,0.079349,0.061403,0.064292,2536,
2018-08-24,0.064343,0.07696,0.057626,0.067367,1485,
2018-08-25,0.067165,0.067435,0.04791,0.059285,2712,
2018-08-26,0.059412,0.068315,0.053464,0.055826,930,
2018-08-27,0.055799,0.05982,0.045485,0.046599,781,
2018-08-28,0.046508,0.090265,0.046491,0.067818,4335,
2018-08-29,0.067877,0.076413,0.064379,0.068727,3582,
2018-08-30,0.068765,0.075762,0.059622,0.061568,2650,
2018-08-31,0.061629,0.073369,0.061229,0.068055,2865,
2018-09-01,0.069648,0.069823,0.040706,0.067837,1690,
2018-09-02,0.068067,0.069203,0.056514,0.065257,2207,
2018-09-03,0.065242,0.073353,0.055808,0.063774,3544,
2018-09-04,0.063774,0.064631,0.047904,0.055546,1424,
2018-09-05,0.055592,0.066319,0.042015,0.049913,1981,
2018-09-06,0.050001,0.052313,0.044654,0.048146,765,
2018-09-07,0.048104,0.048253,0.043468,0.043819,712,
2018-09-08,0.043873,0.055257,0.04196,0.042005,3105,
2018-09-09,0.041986,0.073669,0.041884,0.06027,6057,
2018-09-10,0.060237,0.085134,0.053524,0.075606,6276,
2018-09-11,0.075732,0.084882,0.066749,0.070842,4685,
2018-09-12,0.07085,0.091234,0.067628,0.080074,5877,528736.0
2018-09-13,0.080144,0.081235,0.068143,0.076384,6130,505453.0
2018-09-14,0.076337,0.086383,0.070138,0.074732,1757,495587.0
2018-09-15,0.083645,0.099344,0.07516,0.078281,4223,520242.0
2018-09-16,0.078501,0.102437,0.076591,0.08327,3399,554588.0
2018-09-17,0.083475,0.10728,0.082068,0.099046,5449,661074.0
2018-09-18,0.099056,0.103423,0.087536,0.100888,3713,674812.0
2018-09-19,0.100945,0.138996,0.093941,0.113244,4949,759069.0
