Date,Open,High,Low,Close,Volume,Market Cap
2019-04-04,16.75,16.78,16.08,16.4,7545,
2019-04-05,16.4,19.7,15.65,18.9,36789,
2019-04-06,18.9,19.08,16.69,17.22,6190,
2019-04-07,17.2,18.85,15.18,18.24,5120,
2019-04-08,18.24,18.64,14.16,14.98,21428,
2019-04-09,14.98,17.0,11.49,13.74,22911,
2019-04-10,13.74,16.88,4.81,16.46,19343,
2019-04-11,16.47,16.63,10.18,11.56,15493,
2019-04-12,11.56,23.74,10.14,23.68,67208,
2019-04-13,23.68,23.93,15.02,22.02,62268,
2019-04-14,22.02,49.32,16.33,25.74,102806,
2019-04-15,25.74,30.97,22.33,25.15,29341,
2019-04-16,25.15,30.63,22.67,28.9,20839,
2019-04-17,28.89,30.59,24.06,27.51,17211,
2019-04-18,27.52,27.8,21.05,21.2,54983,
2019-04-19,21.2,25.88,21.2,22.14,27223,
2019-04-20,22.15,25.61,18.87,20.74,33534,
2019-04-21,20.65,25.2,17.53,21.31,18981,
2019-04-22,21.3,21.89,17.33,19.02,17480,
2019-04-23,19.02,28.36,18.25,24.65,37930,
2019-04-24,24.65,24.8,17.0,20.2,13231,
2019-04-25,20.2,21.42,15.91,15.93,21496,
2019-04-26,15.99,17.75,14.78,14.97,5763,
2019-04-27,14.97,16.54,11.92,11.94,13637,
2019-04-28,11.93,17.33,11.93,15.17,9782,
2019-04-29,15.18,17.49,12.41,15.63,17490,
2019-04-30,15.63,18.81,11.86,14.32,10878,
2019-05-01,14.31,18.52,12.9,16.13,6272,
2019-05-02,16.14,16.72,14.52,16.61,17347,
2019-05-03,16.61,17.65,14.06,16.33,3191,
2019-05-04,16.33,16.96,11.56,13.5,7859,
2019-05-05,13.49,16.3,11.27,16.18,14424,
2019-05-06,16.17,20.4,13.35,20.2,14662,
2019-05-07,20.19,22.95,14.94,21.93,21088,
2019-05-08,21.91,23.04,15.31,22.97,23719,
2019-05-09,22.97,23.49,18.09,21.09,1999,
2019-05-10,21.08,25.51,19.57,25.27,12136,
2019-05-11,25.31,27.91,22.29,25.49,7423,
2019-05-12,25.48,25.59,20.07,20.46,38632,
2019-05-13,20.46,20.46,11.89,16.22,6073,
2019-05-14,16.22,20.56,16.0,17.72,2135,
2019-05-15,17.71,17.93,13.33,16.34,13944,
2019-05-16,16.33,16.6,10.18,13.78,16532,
2019-05-17,13.77,13.85,9.47,11.33,3940,
