Date,Open,High,Low,Close,Volume,Market Cap
2018-12-28,7e-05,8.3e-05,6.6e-05,8.3e-05,182590,
2018-12-29,8.3e-05,0.000179,7.9e-05,0.000172,354520,
2018-12-30,0.000172,0.000173,0.000121,0.000146,465320,
2018-12-31,0.000149,0.00017,0.000128,0.000142,500652,
2019-01-01,0.000142,0.000142,0.000126,0.000135,407672,
2019-01-02,0.000131,0.000138,9.1e-05,0.000106,125393,
2019-01-03,0.000118,0.000119,0.000101,0.000115,177396,
2019-01-04,0.000115,0.000116,0.000106,0.000116,154980,
2019-01-05,0.000115,0.000116,0.000107,0.000107,177493,
2019-01-06,0.000107,0.000119,9.8e-05,0.000102,110816,
2019-01-07,0.000102,0.000117,9.7e-05,0.000114,233347,
2019-01-08,0.000111,0.000114,9.6e-05,0.000101,74750,
2019-01-09,0.000101,0.00011,0.000101,0.000105,184946,124444.0
2019-01-10,0.000105,0.000106,7.7e-05,8.4e-05,1333,100014.0
2019-01-11,8.4e-05,0.000141,8.1e-05,9.4e-05,133245,111817.0
2019-01-12,9.6e-05,0.0001,8e-05,8.8e-05,94698,104158.0
2019-01-13,8.8e-05,8.8e-05,7.8e-05,7.8e-05,483,92595.0
2019-01-14,7.8e-05,8.5e-05,7.5e-05,7.8e-05,505,92940.0
2019-01-15,7.8e-05,8.5e-05,6.5e-05,6.9e-05,1462,82230.0
2019-01-16,6.9e-05,7.7e-05,6.6e-05,6.9e-05,333,82390.0
2019-01-17,6.9e-05,8.5e-05,6.9e-05,7.2e-05,76834,85809.0
2019-01-18,7.2e-05,9.2e-05,6.7e-05,7.4e-05,85833,87334.0
2019-01-19,7.3e-05,7.6e-05,7.3e-05,7.3e-05,20213,86452.0
2019-01-20,7.3e-05,8.6e-05,7.3e-05,7.5e-05,22328,88916.0
2019-01-21,7.5e-05,7.5e-05,6.6e-05,6.6e-05,543,78732.0
2019-01-22,6.6e-05,7.2e-05,6.1e-05,6.2e-05,599,73227.0
2019-01-23,6.2e-05,6.9e-05,5.4e-05,5.7e-05,839,68131.0
2019-01-24,5.7e-05,6.7e-05,5e-05,6.6e-05,631,77833.0
2019-01-25,6.6e-05,9.2e-05,5.7e-05,6.1e-05,254,71985.0
2019-01-26,6.1e-05,6.9e-05,5.8e-05,6.1e-05,427,72679.0
2019-01-27,6.1e-05,7.5e-05,5.7e-05,7.2e-05,1267,85024.0
2019-01-28,7.5e-05,7.9e-05,6.2e-05,6.4e-05,168,76074.0
2019-01-29,6.4e-05,7.2e-05,6.3e-05,6.5e-05,152,77397.0
2019-01-30,6.5e-05,7e-05,6e-05,6.9e-05,500,83251.0
2019-01-31,6e-05,6.7e-05,5.5e-05,5.9e-05,364,70567.0
2019-02-01,5.9e-05,6.9e-05,5.2e-05,6.1e-05,613,73672.0
2019-02-02,6.1e-05,8.5e-05,3.1e-05,6.5e-05,16727,77363.0
2019-02-03,6.4e-05,6.5e-05,4.8e-05,5.9e-05,55564,70526.0
2019-02-04,5.9e-05,5.9e-05,5.2e-05,5.6e-05,485,67069.0
2019-02-05,5.6e-05,5.9e-05,5.5e-05,5.5e-05,311,66337.0
2019-02-06,5.5e-05,6.2e-05,5.4e-05,5.8e-05,197,69692.0
2019-02-07,5.8e-05,6.2e-05,5.4e-05,5.4e-05,246,65453.0
2019-02-08,5.4e-05,6.7e-05,5.4e-05,6.1e-05,141,72812.0
2019-02-09,6.1e-05,6.7e-05,5.9e-05,6e-05,164,72248.0
2019-02-10,6.3e-05,6.5e-05,4.7e-05,5.1e-05,178,61763.0
2019-02-11,5.1e-05,6.2e-05,5.1e-05,5.8e-05,158,69993.0
2019-02-12,5.8e-05,7.3e-05,5.8e-05,6.2e-05,653,74700.0
2019-02-13,6.2e-05,6.6e-05,5.8e-05,5.8e-05,195,69972.0
2019-02-14,5.8e-05,6.5e-05,5.8e-05,6.5e-05,194,78256.0
2019-02-15,6.5e-05,7.3e-05,5.8e-05,6.5e-05,355,78525.0
2019-02-16,6.5e-05,6.5e-05,5.8e-05,5.8e-05,163,69960.0
2019-02-17,5.8e-05,6.5e-05,5.8e-05,6.2e-05,224,75437.0
2019-02-18,5.9e-05,6.7e-05,5.6e-05,6.2e-05,182,75187.0
2019-02-19,6.2e-05,6.6e-05,5.6e-05,5.9e-05,206,71129.0
2019-02-20,6.2e-05,6.4e-05,5.5e-05,5.7e-05,146,68680.0
2019-02-21,5.7e-05,6e-05,4.7e-05,4.8e-05,167,57623.0
2019-02-22,4.8e-05,5.6e-05,4.8e-05,5.5e-05,38,66748.0
2019-02-23,5.2e-05,6e-05,4.9e-05,5e-05,261,60205.0
2019-02-24,5e-05,5.4e-05,4.2e-05,4.2e-05,151,50588.0
2019-02-25,4.2e-05,4.7e-05,3.5e-05,4.3e-05,157,51826.0
2019-02-26,4.6e-05,4.7e-05,3.8e-05,4.6e-05,65,55874.0
2019-02-27,4.6e-05,4.6e-05,3.5e-05,4.2e-05,407,51311.0
2019-02-28,4.2e-05,4.6e-05,3.8e-05,4.2e-05,49,51333.0
