Date,Open,High,Low,Close,Volume,Market Cap
2018-08-02,0.004228,0.004479,0.004179,0.004471,2671,
2018-08-03,0.004472,0.058294,0.003419,0.035927,15043,331953.0
2018-08-04,0.034257,0.174797,0.024241,0.050418,10826,466056.0
2018-08-05,0.050252,0.071216,0.024179,0.037464,3690,346457.0
2018-08-06,0.037509,0.041298,0.028775,0.031327,5571,289825.0
2018-08-07,0.031316,0.031466,0.018815,0.02045,4733,189273.0
2018-08-08,0.020459,0.023208,0.016845,0.020682,7702,191509.0
2018-08-09,0.020813,0.099023,0.020327,0.045304,6564,419680.0
2018-08-10,0.045328,0.068442,0.032319,0.037308,2109,345744.0
2018-08-11,0.035036,0.053574,0.033399,0.033399,475,309662.0
2018-08-12,0.033285,0.046727,0.032638,0.045603,445,422987.0
2018-08-13,0.045591,0.057378,0.036248,0.04042,8376,375072.0
2018-08-14,0.040395,0.040395,0.026873,0.02859,7837,265408.0
2018-08-15,0.028732,0.031374,0.027078,0.030614,7067,284315.0
2018-08-16,0.030584,0.03143,0.027585,0.027747,8075,257798.0
2018-08-17,0.02776,0.030574,0.025626,0.027617,8902,256693.0
2018-08-18,0.030348,0.030698,0.025998,0.027025,6462,251302.0
2018-08-19,0.027038,0.027038,0.020699,0.022096,82,205546.0
2018-08-20,0.022125,0.024019,0.019691,0.021101,5096,196377.0
2018-08-21,0.02122,0.021451,0.013206,0.017532,3723,163227.0
2018-08-22,0.017525,0.018788,0.011873,0.014927,3667,139036.0
2018-08-23,0.014949,0.020956,0.014502,0.01791,2754,166887.0
2018-08-24,0.018334,0.020386,0.016888,0.017793,3782,165860.0
2018-08-25,0.017031,0.019757,0.013466,0.016708,3734,155814.0
2018-08-26,0.01672,0.017361,0.012491,0.016285,1196,151930.0
2018-08-27,0.016314,0.016827,0.012346,0.015416,2769,143883.0
2018-08-28,0.015452,0.016371,0.011584,0.01366,2492,127538.0
2018-08-29,0.013664,0.016877,0.011591,0.016276,3456,152029.0
2018-08-30,0.016285,0.016316,0.013973,0.014401,5074,134567.0
2018-08-31,0.01441,0.016519,0.013854,0.015728,1438,147031.0
2018-09-01,0.015727,0.016021,0.009918,0.01594,235,149068.0
2018-09-02,0.015944,0.03948,0.008096,0.015328,1663,143406.0
2018-09-03,0.015337,0.041425,0.015152,0.020371,743,190649.0
