Date,Open,High,Low,Close,Volume,Market Cap
2018-10-19,0.013567,0.025251,0.008318,0.025157,1097,
2018-10-20,0.025159,0.031061,0.016301,0.021094,1859,
2018-10-21,0.021099,0.023586,0.014183,0.023336,1688,
2018-10-22,0.023324,0.023329,0.019587,0.022703,1880,
2018-10-23,0.022702,0.022819,0.019337,0.022015,876,52879.0
2018-10-24,0.021913,0.023907,0.020661,0.023789,1374,61130.0
2018-10-25,0.02379,0.02379,0.014606,0.019618,1277,53754.0
2018-10-26,0.019586,0.026659,0.013612,0.019294,2060,56149.0
2018-10-27,0.021904,0.024959,0.014264,0.017822,2049,54820.0
2018-10-28,0.018122,0.022017,0.009838,0.013183,2095,42735.0
2018-10-29,0.013164,0.020865,0.012119,0.015751,2135,53647.0
2018-10-30,0.015712,0.01981,0.011643,0.016563,2381,59159.0
2018-10-31,0.016615,0.019658,0.012928,0.016515,2350,61712.0
2018-11-01,0.016515,0.016821,0.014637,0.016711,1700,65205.0
2018-11-02,0.016127,0.017813,0.011926,0.013553,1437,55116.0
2018-11-03,0.013553,0.013913,0.009799,0.011665,1809,49388.0
2018-11-04,0.012706,0.013226,0.009239,0.011751,1760,51704.0
2018-11-05,0.011344,0.016327,0.011344,0.014937,1841,68221.0
2018-11-06,0.014997,0.015369,0.011038,0.011864,1765,58056.0
2018-11-07,0.011859,0.023447,0.011592,0.016001,3330,79125.0
2018-11-08,0.015955,0.017797,0.012945,0.016431,3771,86862.0
2018-11-09,0.016428,0.021656,0.01447,0.019827,4546,111875.0
2018-11-10,0.019824,0.039427,0.018181,0.034002,6132,203555.0
2018-11-11,0.033468,0.051576,0.024239,0.026111,6604,165222.0
2018-11-12,0.026061,0.027447,0.021803,0.023408,2588,156137.0
2018-11-13,0.021895,0.029314,0.019532,0.024626,3873,172654.0
2018-11-14,0.023507,0.025786,0.015722,0.020924,3710,153885.0
2018-11-15,0.02104,0.02106,0.013879,0.01914,2821,147319.0
2018-11-16,0.019706,0.019706,0.01412,0.018664,2481,150069.0
2018-11-17,0.018569,0.018706,0.015221,0.015752,1352,132117.0
2018-11-18,0.015802,0.018341,0.014521,0.016495,2219,144038.0
2018-11-19,0.015072,0.016852,0.010162,0.012301,1803,111673.0
2018-11-20,0.01223,0.013937,0.008414,0.011485,2672,108253.0
2018-11-21,0.011155,0.016094,0.009466,0.014136,3337,138284.0
2018-11-22,0.014078,0.014706,0.011534,0.013273,2438,139037.0
2018-11-23,0.013298,0.015088,0.009541,0.013052,2851,145722.0
2018-11-24,0.012978,0.014726,0.010955,0.011806,2713,139965.0
2018-11-25,0.011861,0.014907,0.009369,0.012119,3340,152019.0
2018-11-26,0.012127,0.013227,0.010528,0.012506,2911,165529.0
2018-11-27,0.012498,0.013153,0.010468,0.01158,3256,161345.0
2018-11-28,0.011601,0.013962,0.011191,0.012683,2766,185385.0
2018-11-29,0.012651,0.01391,0.011892,0.013584,3364,208137.0
2018-11-30,0.013488,0.013488,0.011071,0.011373,1892,182033.0
2018-12-01,0.011441,0.013386,0.010731,0.012055,2106,201347.0
2018-12-02,0.011891,0.013916,0.011446,0.011592,4222,201626.0
2018-12-03,0.012357,0.012428,0.010481,0.01161,2361,209939.0
2018-12-04,0.011646,0.011911,0.009367,0.00992,2886,186393.0
2018-12-05,0.00993,0.011073,0.006594,0.009203,2180,179303.0
2018-12-06,0.009051,0.00957,0.005172,0.00712,2959,143699.0
2018-12-07,0.007108,0.007179,0.004857,0.005014,948,104657.0
2018-12-08,0.005019,0.007513,0.003536,0.005252,1463,113258.0
2018-12-09,0.005236,0.007558,0.004118,0.005164,1554,114951.0
2018-12-10,0.005095,0.005328,0.003393,0.004082,1343,93695.0
2018-12-11,0.004113,0.004375,0.002454,0.003586,1043,84825.0
2018-12-12,0.003547,0.004321,0.002263,0.002709,2684,65956.0
2018-12-13,0.002671,0.003889,0.00232,0.003394,1173,86259.0
2018-12-14,0.003277,0.003883,0.003043,0.003758,854,98114.0
2018-12-15,0.003915,0.004354,0.002844,0.003285,790,88070.0
2018-12-16,0.002972,0.003663,0.002966,0.002966,666,81390.0
2018-12-17,0.002968,0.003712,0.002922,0.003618,1004,99289.0
