Date,Open,High,Low,Close,Volume,Market Cap
2018-06-20,0.016319,0.01649,0.015367,0.016216,82763.0,
2018-06-21,0.016207,0.028508,0.015321,0.026605,18157.0,
2018-06-22,0.026608,0.027583,0.018726,0.021241,8883.0,
2018-06-23,0.021247,0.021974,0.015371,0.020152,77034.0,
2018-06-24,0.02015,0.026036,0.01549,0.022474,16596.0,
2018-06-25,0.022423,0.024257,0.017482,0.019919,582051.0,
2018-06-26,0.019919,0.030381,0.019772,0.021686,191010.0,
2018-06-27,0.021672,0.058989,0.02047,0.054472,340990.0,
2018-06-28,0.05451,0.054553,0.026956,0.027311,10548.0,
2018-06-29,0.027323,0.034553,0.023051,0.024324,2572.0,
2018-06-30,0.024355,0.032075,0.021502,0.024269,2313.0,
2018-07-01,0.024286,0.024644,0.020579,0.020631,344.0,
2018-07-02,0.020644,0.028973,0.019321,0.025398,10912.0,
2018-07-03,0.025397,0.029214,0.022202,0.026213,21914.0,
2018-07-04,0.026218,0.02818,0.021318,0.026069,32707.0,
2018-07-05,0.026155,0.02853,0.020024,0.02853,28350.0,
2018-07-06,0.028524,0.028534,0.023229,0.02335,35547.0,
2018-07-07,0.023313,0.026835,0.023031,0.026789,16042.0,
2018-07-08,0.026783,0.03034,0.025069,0.027288,64917.0,
2018-07-09,0.027283,0.032231,0.025391,0.029188,50868.0,
2018-07-10,0.029168,0.03275,0.028588,0.029405,8179.0,
2018-07-11,0.029402,0.034883,0.028523,0.033669,18939.0,
2018-07-12,0.033665,0.039686,0.032125,0.039125,52259.0,
2018-07-13,0.039183,0.040524,0.033854,0.040054,39480.0,
2018-07-14,0.039981,0.042125,0.03185,0.038353,13160.0,
2018-07-15,0.038333,0.042148,0.027882,0.029396,57328.0,
2018-07-16,0.029428,0.043873,0.029277,0.043873,61711.0,
2018-07-17,0.043781,0.046407,0.034122,0.044981,50880.0,
2018-07-18,0.044974,0.046739,0.034845,0.03697,11265.0,
2018-07-19,0.036957,0.041547,0.033254,0.037875,63636.0,
2018-07-20,0.037891,0.042339,0.033895,0.035156,26307.0,
2018-07-21,0.035154,0.040266,0.032216,0.035008,17416.0,
2018-07-22,0.034994,0.037256,0.032449,0.033876,13573.0,
2018-07-23,0.033849,0.035991,0.032427,0.035253,4273.0,
