Date,Open,High,Low,Close,Volume,Market Cap
2018-11-28,0.00822,0.008324,0.00822,0.008317,5760.0,
2018-11-29,0.008345,0.008385,0.007188,0.007862,8456.0,
2018-11-30,0.007877,0.00805,0.007508,0.007616,4144.0,
2018-12-01,0.007635,0.007664,0.006577,0.007057,5019.0,
2018-12-02,0.007028,0.007311,0.006405,0.006415,3711.0,
2018-12-03,0.00641,0.007657,0.006235,0.006821,3468.0,
2018-12-04,0.006811,0.00758,0.00673,0.007061,3873.0,
2018-12-05,0.007069,0.007232,0.005704,0.005704,1672.0,
2018-12-06,0.005697,0.006179,0.005342,0.005342,3443.0,166327.0
2018-12-07,0.005332,0.005881,0.004858,0.005719,2608.0,178077.0
2018-12-08,0.00571,0.00627,0.004818,0.005818,7576.0,181151.0
2018-12-09,0.005796,0.006739,0.005636,0.006472,41494.0,201529.0
2018-12-10,0.006461,0.006577,0.006142,0.006208,40.0,193315.0
2018-12-11,0.006202,0.006284,0.005859,0.00591,,184024.0
2018-12-12,0.00591,0.006166,0.00591,0.006052,8.0,188446.0
2018-12-13,0.006055,0.00606,0.00344,0.004061,677.0,126465.0
2018-12-14,0.00407,0.004215,0.004038,0.004043,,125878.0
2018-12-15,0.004043,0.004214,0.004043,0.004189,105.0,130440.0
2018-12-16,0.004189,0.004346,0.004189,0.004313,,134311.0
2018-12-17,0.004313,0.005339,0.003472,0.004483,1296.0,139596.0
2018-12-18,0.004482,0.004538,0.002965,0.004462,728.0,138932.0
2018-12-19,0.004483,0.006471,0.004443,0.005067,545.0,157784.0
2018-12-20,0.005058,0.006564,0.005031,0.006502,200.0,202446.0
2018-12-21,0.006491,0.007681,0.006286,0.007294,11.0,227110.0
2018-12-22,0.007285,0.00762,0.006218,0.006534,95.0,203444.0
2018-12-23,0.006538,0.007455,0.006538,0.007316,51.0,227800.0
2018-12-24,0.007315,0.008464,0.006885,0.007347,101.0,228786.0
2018-12-25,0.007394,0.007394,0.0044,0.006821,149.0,212407.0
2018-12-26,0.006825,0.007968,0.006773,0.007907,18.0,246212.0
2018-12-27,0.007924,0.007952,0.0059,0.005945,1226.0,185131.0
2018-12-28,0.005959,0.006912,0.005895,0.006836,,212864.0
2018-12-29,0.006836,0.007497,0.006836,0.007057,198.0,219737.0
2018-12-30,0.007027,0.007175,0.004743,0.004755,767.0,148058.0
2018-12-31,0.004762,0.007735,0.004334,0.004334,603.0,134960.0
2019-01-01,0.004334,0.007063,0.004313,0.007035,106.0,219047.0
2019-01-02,0.007071,0.008593,0.004499,0.008345,297.0,259833.0
2019-01-03,0.008336,0.008387,0.003024,0.003028,178.0,94272.0
2019-01-04,0.003028,0.01002,0.003003,0.009163,185.0,285313.0
2019-01-05,0.009143,0.009534,0.00758,0.007597,34.0,236547.0
2019-01-06,0.007586,0.007617,0.007416,0.007437,,231580.0
2019-01-07,0.007437,0.007437,0.007437,0.007437,,231580.0
2019-01-08,0.007437,0.009217,0.005275,0.005282,62.0,164480.0
2019-01-09,0.005285,0.005394,0.00528,0.005315,,165492.0
