Date,Open,High,Low,Close,Volume,Market Cap
2018-06-27,0.081857,0.083544,0.080795,0.081224,69191,
2018-06-28,0.08162,0.084967,0.077277,0.078754,103933,
2018-06-29,0.078454,0.081633,0.074633,0.080288,59472,
2018-06-30,0.080001,0.08786,0.073641,0.077047,66709,
2018-07-01,0.077235,0.077721,0.073168,0.074369,63964,
2018-07-02,0.074978,0.08087,0.073801,0.076466,64948,
2018-07-03,0.0779,0.086762,0.076449,0.078791,58058,
2018-07-04,0.078784,0.082246,0.077168,0.078283,43738,
2018-07-05,0.077746,0.079792,0.075759,0.076666,42861,
2018-07-06,0.076668,0.090578,0.076482,0.083211,108872,
2018-07-07,0.083202,0.087534,0.077525,0.082018,45886,
2018-07-08,0.082028,0.08624,0.076122,0.078686,50533,
2018-07-09,0.078698,0.081347,0.076232,0.076392,39386,
2018-07-10,0.0766,0.078859,0.062999,0.062999,34506,
2018-07-11,0.06304,0.067151,0.061233,0.063373,31119,
2018-07-12,0.063373,0.067812,0.058669,0.061537,23991,
2018-07-13,0.072161,0.072416,0.061584,0.061584,17382,
2018-07-14,0.062203,0.065866,0.059147,0.060739,18309,
2018-07-15,0.060911,0.06322,0.060238,0.061917,31059,
2018-07-16,0.061961,0.067811,0.0596,0.067697,29400,
2018-07-17,0.067671,0.074174,0.063428,0.069726,48984,
2018-07-18,0.069603,0.074014,0.066055,0.066881,32419,
2018-07-19,0.066755,0.068977,0.062748,0.065256,42983,
2018-07-20,0.064999,0.069584,0.062623,0.064782,47464,
2018-07-21,0.064759,0.066645,0.062708,0.06661,30367,
2018-07-22,0.0666,0.068778,0.065446,0.066261,26861,
2018-07-23,0.066876,0.071857,0.065438,0.066593,36693,
2018-07-24,0.065504,0.071965,0.062108,0.065034,32642,
2018-07-25,0.065326,0.066432,0.062149,0.062523,34011,
2018-07-26,0.064329,0.064796,0.059776,0.06122,22334,
2018-07-27,0.061696,0.062834,0.059422,0.062081,10118,
2018-07-28,0.062374,0.063529,0.060808,0.062563,15171,
2018-07-29,0.062527,0.064562,0.062132,0.064088,17147,
2018-07-30,0.064325,0.064365,0.056599,0.058265,27348,
2018-07-31,0.058289,0.061808,0.056514,0.057522,14790,
2018-08-01,0.057316,0.058527,0.054996,0.057629,21496,
2018-08-02,0.057078,0.059657,0.05681,0.057535,28143,
2018-08-03,0.057618,0.059218,0.050567,0.05282,69302,
2018-08-04,0.052453,0.055926,0.048798,0.050719,22412,
2018-08-05,0.050919,0.052966,0.048632,0.052029,33512,
2018-08-06,0.053682,0.054082,0.048764,0.04882,32092,
2018-08-07,0.0488,0.050212,0.04286,0.045004,26791,
2018-08-08,0.04505,0.048198,0.042133,0.04239,27607,
2018-08-09,0.042075,0.044605,0.040395,0.040395,40610,
2018-08-10,0.040425,0.042642,0.037213,0.038662,26782,
2018-08-11,0.038654,0.043498,0.035008,0.038593,30482,
2018-08-12,0.03881,0.039153,0.032958,0.033903,19013,
2018-08-13,0.034032,0.035635,0.031608,0.035148,18295,
2018-08-14,0.035114,0.035114,0.02949,0.032642,16583,
2018-08-15,0.03272,0.035742,0.032132,0.034125,14420,
2018-08-16,0.034941,0.037343,0.033444,0.0348,18868,
2018-08-17,0.034869,0.038388,0.033816,0.038384,22908,
2018-08-18,0.038546,0.041943,0.033948,0.035313,22623,
2018-08-19,0.035328,0.036384,0.033503,0.034721,17241,
2018-08-20,0.0348,0.034982,0.032656,0.033351,13670,
2018-08-21,0.033318,0.034873,0.032032,0.032769,11997,
2018-08-22,0.032713,0.036291,0.0326,0.034347,20463,
2018-08-23,0.034282,0.034827,0.032225,0.034023,17283,
2018-08-24,0.033571,0.034638,0.032662,0.034638,13633,
2018-08-25,0.034611,0.035453,0.034339,0.034642,6927,
2018-08-26,0.034661,0.035956,0.034419,0.034659,7657,
2018-08-27,0.03468,0.044175,0.034226,0.040054,53360,
2018-08-28,0.040076,0.045575,0.039129,0.042474,22565,
2018-08-29,0.042438,0.044181,0.039503,0.040563,14203,
2018-08-30,0.040533,0.041082,0.038321,0.038414,28736,
2018-08-31,0.038408,0.041225,0.037777,0.038313,21089,
2018-09-01,0.038421,0.043355,0.038421,0.041693,17244,
2018-09-02,0.041713,0.043495,0.040951,0.042175,15180,
2018-09-03,0.042221,0.04244,0.040346,0.040428,18158,
2018-09-04,0.040814,0.042567,0.040288,0.041569,18066,
2018-09-05,0.041499,0.042295,0.036267,0.036267,29599,
2018-09-06,0.036193,0.036503,0.034532,0.036273,23920,
2018-09-07,0.036304,0.037173,0.034816,0.035089,11202,
2018-09-08,0.035081,0.036379,0.033294,0.034676,17735,
2018-09-09,0.034619,0.036788,0.034043,0.03419,6334,
2018-09-10,0.034166,0.035647,0.033582,0.034456,19809,
2018-09-11,0.034456,0.035239,0.033283,0.033643,11485,
2018-09-12,0.033608,0.034568,0.033216,0.034568,13626,
2018-09-13,0.034855,0.038648,0.033595,0.038648,29468,
2018-09-14,0.03867,0.039213,0.036736,0.037595,12057,
2018-09-15,0.037582,0.039717,0.036071,0.038391,13591,
2018-09-16,0.03835,0.038715,0.03719,0.038004,12375,
2018-09-17,0.037949,0.038562,0.034985,0.035126,12917,
2018-09-18,0.035119,0.03761,0.034595,0.036661,25077,
2018-09-19,0.036247,0.038386,0.034563,0.036077,19070,
2018-09-20,0.036048,0.038158,0.035332,0.037664,29292,
2018-09-21,0.037885,0.039931,0.03634,0.038905,40800,
2018-09-22,0.039179,0.039678,0.036693,0.038027,26681,
2018-09-23,0.038079,0.039586,0.037433,0.038222,20275,
2018-09-24,0.038291,0.039012,0.03581,0.036391,6260,
2018-09-25,0.036035,0.036245,0.032594,0.034211,9160,
2018-09-26,0.034174,0.035324,0.033199,0.035106,28535,
2018-09-27,0.034497,0.03588,0.034108,0.035627,15817,
2018-09-28,0.035431,0.047733,0.034498,0.041899,86373,
2018-09-29,0.041559,0.051732,0.040795,0.049117,148226,
2018-09-30,0.048177,0.049172,0.041653,0.043231,50192,
2018-10-01,0.043086,0.044581,0.042966,0.044167,23584,
2018-10-02,0.04412,0.044563,0.041999,0.042662,38375,
2018-10-03,0.04253,0.043216,0.041095,0.042428,34956,
2018-10-04,0.042329,0.043645,0.041957,0.042732,48088,
2018-10-05,0.042758,0.043453,0.041678,0.042193,45021,
2018-10-06,0.04242,0.042621,0.03995,0.040283,36064,
2018-10-07,0.040352,0.040533,0.03939,0.039676,38743,
2018-10-08,0.039964,0.040334,0.038015,0.039261,44694,
2018-10-09,0.039428,0.039634,0.038361,0.0387,36160,
2018-10-10,0.038628,0.047206,0.038138,0.042939,113171,
2018-10-11,0.043177,0.044249,0.036934,0.037106,46765,
2018-10-12,0.037183,0.042205,0.035375,0.039795,46884,
2018-10-13,0.039807,0.049944,0.037827,0.04358,92342,
2018-10-14,0.043592,0.046476,0.040145,0.043159,59876,
2018-10-15,0.043161,0.046333,0.040627,0.043333,58274,
2018-10-16,0.042983,0.047995,0.039433,0.046345,84537,
2018-10-17,0.046455,0.047133,0.041377,0.042447,30911,
2018-10-18,0.042479,0.044295,0.041904,0.044027,8609,
2018-10-19,0.044027,0.044852,0.042035,0.043368,19898,
2018-10-20,0.043615,0.047885,0.043002,0.046498,42178,
2018-10-21,0.046437,0.046701,0.041755,0.044896,40633,
2018-10-22,0.045771,0.046229,0.040941,0.044466,39642,
2018-10-23,0.044225,0.045888,0.040876,0.042165,40426,
2018-10-24,0.041154,0.045623,0.040948,0.043121,28748,
2018-10-25,0.043027,0.04418,0.040786,0.042065,37010,
2018-10-26,0.041582,0.042207,0.039976,0.040634,34595,
2018-10-27,0.040607,0.044124,0.040163,0.042162,79911,
2018-10-28,0.04214,0.043034,0.040801,0.041714,44153,
2018-10-29,0.041824,0.042826,0.039926,0.040847,29967,
2018-10-30,0.040846,0.041958,0.038021,0.038021,18489,
2018-10-31,0.038089,0.040925,0.037314,0.037606,43871,
2018-11-01,0.037636,0.039293,0.03706,0.038817,8249,
2018-11-02,0.038801,0.03978,0.038591,0.039267,15376,
2018-11-03,0.039309,0.039648,0.038056,0.038414,13896,
2018-11-04,0.038365,0.039158,0.038203,0.039158,26126,
2018-11-05,0.039025,0.039441,0.038303,0.038449,20327,
2018-11-06,0.038473,0.03895,0.03782,0.038104,18829,
2018-11-07,0.037889,0.039127,0.036901,0.037528,30828,551386.0
2018-11-08,0.037696,0.038775,0.036276,0.036547,30391,536976.0
2018-11-09,0.036538,0.036967,0.035411,0.035431,27868,520575.0
2018-11-10,0.035452,0.035817,0.034827,0.034989,20926,514086.0
2018-11-11,0.035035,0.035328,0.034312,0.034744,21616,510487.0
2018-11-12,0.034721,0.034944,0.033779,0.034079,23762,500713.0
2018-11-13,0.034081,0.034169,0.033571,0.033965,17909,499031.0
2018-11-14,0.033873,0.033999,0.027173,0.028458,22544,418119.0
2018-11-15,0.028528,0.029362,0.02762,0.028511,10658,418893.0
2018-11-16,0.028542,0.030658,0.028324,0.029303,19548,430535.0
2018-11-17,0.029328,0.031067,0.028367,0.028367,15153,416783.0
2018-11-18,0.028397,0.03105,0.028356,0.029505,19388,433509.0
2018-11-19,0.029642,0.029712,0.025107,0.025172,14708,369842.0
2018-11-20,0.025067,0.025722,0.021804,0.022062,13440,324143.0
