Date,Open,High,Low,Close,Volume,Market Cap
2014-06-24,1.11,1.31,0.894155,1.05,1226,498824
2014-06-25,0.945015,1.06,0.594133,0.95696,23688,461909
2014-06-26,0.940085,1.05,0.839741,0.939133,19631,467582
2014-06-27,0.940933,1.27,0.747941,0.896614,41093,457255
2014-06-28,0.691912,0.897227,0.690016,0.831647,13523,433497
2014-06-29,0.747275,0.847965,0.746185,0.789622,10773,422325
2014-06-30,0.790189,0.857113,0.76243,0.800194,12105,438131
2014-07-01,0.80049,0.901986,0.598615,0.698847,16680,391625
2014-07-02,0.699388,0.844871,0.586269,0.687201,8975,391283
2014-07-03,0.687048,0.788649,0.588354,0.739713,11968,431164
2014-07-04,0.739983,0.760731,0.629537,0.630907,15000,375367
2014-07-05,0.630165,0.664741,0.599872,0.600203,4682,364511
2014-07-06,0.60042,0.817259,0.544643,0.575563,6851,356329
2014-07-07,0.576032,0.586984,0.441729,0.479436,10969,302026
2014-07-08,0.523943,0.626695,0.522959,0.624818,197,401737
2014-07-09,0.625221,0.626811,0.380677,0.380957,58,249585
2014-07-10,0.38115,0.499497,0.259874,0.321129,616,214241
2014-07-11,0.321077,0.503582,0.311394,0.379834,233,258079
2014-07-12,0.37976,0.471036,0.376816,0.380862,64,263264
2014-07-13,0.381164,0.467025,0.270026,0.375898,75,264441
2014-07-14,0.375937,0.376405,0.279963,0.281154,6765,201022
2014-07-15,0.281463,0.559829,0.280207,0.285194,8294,207424
2014-07-16,0.28539,0.424743,0.28539,0.409988,7619,303592
2014-07-17,0.409815,0.594915,0.327254,0.444763,30155,334269
2014-07-18,0.444249,0.547537,0.375841,0.463995,10868,354074
2014-07-19,0.464292,0.464292,0.348471,0.354769,5381,275270
2014-07-20,0.354794,0.392996,0.311578,0.312108,15901,245903
2014-07-21,0.312133,0.359565,0.310355,0.359565,3210,287732
2014-07-22,0.359601,0.434304,0.322679,0.371525,6931,301785
2014-07-23,0.371269,0.371801,0.316117,0.31654,5270,261193
2014-07-24,0.316582,0.335254,0.29951,0.30145,3369,252638
2014-07-25,0.301339,0.364549,0.259808,0.265488,8094,225598
2014-07-26,0.265688,0.310719,0.179343,0.19426,8257,167333
2014-07-27,0.194214,0.292964,0.186963,0.21772,11790,189832
2014-07-28,0.217799,0.225002,0.184232,0.189718,4169,167573
2014-07-29,0.189673,0.24543,0.183369,0.214384,2055,191960
2014-07-30,0.214391,0.274215,0.20231,0.223879,2127,203260
2014-07-31,0.223908,0.239883,0.199493,0.239883,904,220771
2014-08-01,0.23987,0.23987,0.186583,0.193458,5404,180098
2014-08-02,0.193452,0.20551,0.169989,0.171556,3797,161738
2014-08-03,0.171428,0.204854,0.171297,0.173808,19535,165994
2014-08-04,0.17368,0.196258,0.165382,0.17561,5932,169673
2014-08-05,0.175679,0.175933,0.114316,0.134176,6803,130014
2014-08-06,0.134294,0.160823,0.114049,0.11769,5442,115328
2014-08-07,0.150861,0.205969,0.117749,0.204739,3185,203365
2014-08-08,0.180275,0.251734,0.180248,0.208655,14182,210151
2014-08-09,0.208618,0.250892,0.19522,0.195341,2784,199055
2014-08-10,0.195275,0.198175,0.153801,0.154064,2978,158860
2014-08-11,0.154122,0.225245,0.150405,0.151014,1852,157114
2014-08-12,0.155653,0.156107,0.140771,0.143461,2072,150782
2014-08-13,0.143647,0.145941,0.121222,0.128739,905,136845
2014-08-14,0.128627,0.15521,0.101425,0.119634,1353,128542
2014-08-15,0.120855,0.152658,0.103598,0.111397,638,120927
2014-08-16,0.11158,0.141198,0.09844,0.105323,1642,115599
2014-08-17,0.105208,0.13375,0.099041,0.100612,1619,111708
2014-08-18,0.100553,0.117843,0.092052,0.109606,1226,122878
2014-08-19,0.109611,0.109878,0.094223,0.095334,1410,107763
2014-08-20,0.0953,0.1028,0.084004,0.090819,1734,103869
2014-08-21,0.090554,0.114032,0.089921,0.100368,1512,116057
2014-08-22,0.10044,0.105321,0.078567,0.095713,1031,111772
2014-08-23,0.095592,0.101953,0.076033,0.081992,780,96441
2014-08-24,0.082014,0.088496,0.076005,0.081576,1159,96930
2014-08-25,0.081565,0.08526,0.075422,0.075706,712,90877
2014-08-26,0.075713,0.09573,0.075713,0.088534,847,107369
2014-08-27,0.089172,0.092407,0.078377,0.079281,1056,97041
2014-08-28,0.079136,1.29,0.053315,0.221407,54906,274619
2014-08-29,0.221696,0.324197,0.191399,0.211566,24892,264974
2014-08-30,0.211578,0.348421,0.208923,0.348421,42901,441044
2014-08-31,0.350702,0.466358,0.324777,0.406141,52113,519175
2014-09-01,0.39742,0.45569,0.299651,0.339196,39729,437806
2014-09-02,0.338881,0.363503,0.277501,0.336628,18837,437443
2014-09-03,0.336284,0.594208,0.336284,0.594208,76025,780611
2014-09-04,0.582772,0.582772,0.459365,0.499773,65532,662955
2014-09-05,0.499901,0.600664,0.385125,0.511538,90314,684095
2014-09-06,0.511538,0.647377,0.475183,0.563569,35946,761370
2014-09-07,0.565436,0.583264,0.510488,0.53468,23284,728385
2014-09-08,0.534163,0.540945,0.391915,0.391915,67021,538174
2014-09-09,0.392954,0.438889,0.377619,0.435416,28755,602991
2014-09-10,0.428815,0.482424,0.394516,0.448608,23219,626616
2014-09-11,0.448857,0.448857,0.408671,0.415563,15765,584769
2014-09-12,0.415425,0.43131,0.389232,0.402563,26619,571185
2014-09-13,0.392078,0.408156,0.383044,0.388383,15610,555580
2014-09-14,0.388406,0.391289,0.335837,0.351102,24457,505895
2014-09-15,0.347725,0.357745,0.339778,0.340307,12400,494003
2014-09-16,0.339943,0.407965,0.337623,0.378135,11657,553521
2014-09-17,0.377978,0.406091,0.352044,0.361214,17927,532796
2014-09-18,0.36084,0.371506,0.309114,0.314579,18327,467729
2014-09-19,0.31433,0.322215,0.280393,0.28925,6689,433233
2014-09-20,0.28893,0.31307,0.283078,0.284286,10419,428833
2014-09-21,0.284011,0.347421,0.284011,0.339619,18307,516656
2014-09-22,0.34416,0.350524,0.300478,0.301028,12035,461302
2014-09-23,0.301073,0.347847,0.282031,0.347704,10449,536922
2014-09-24,0.347672,0.349072,0.303061,0.303061,7901,471462
2014-09-25,0.298422,0.338953,0.295123,0.324346,9822,508248
2014-09-26,0.32713,0.362905,0.292585,0.294825,17577,465043
2014-09-27,0.294187,0.317306,0.292934,0.301449,7232,479093
2014-09-28,0.30141,0.302287,0.27136,0.279011,10499,446754
2014-09-29,0.278824,0.28738,0.235284,0.242538,23265,390915
2014-09-30,0.24294,0.26174,0.224202,0.24464,9727,397002
2014-10-01,0.244943,0.268313,0.239333,0.253925,4767,414752
2014-10-02,0.253684,0.288965,0.253684,0.260327,12480,428436
2014-10-03,0.260403,0.289035,0.25778,0.266456,16395,441237
