Date,Open,High,Low,Close,Volume,Market Cap
2018-01-14,0.30716,0.374264,0.30716,0.329643,18592600,
2018-01-15,0.328591,0.371051,0.284596,0.334216,10233000,
2018-01-16,0.329643,0.330388,0.168677,0.1916,8124770,
2018-01-17,0.195499,0.228162,0.146469,0.228162,6965440,
2018-01-18,0.229908,0.259744,0.189333,0.221522,9622520,
2018-01-19,0.220704,0.260881,0.194445,0.257249,8063920,
2018-01-20,0.25835,0.314484,0.25835,0.310442,7702440,
2018-01-21,0.310509,0.310509,0.229029,0.246817,5658550,
2018-01-22,0.247293,0.256413,0.213167,0.242446,4716710,
2018-01-23,0.24199,0.254922,0.204492,0.237426,3091790,
2018-01-24,0.235225,0.269137,0.23008,0.265332,4016670,
2018-01-25,0.266654,0.286469,0.252006,0.275536,4082110,
2018-01-26,0.273975,0.281409,0.250242,0.27717,3373780,
2018-01-27,0.276616,0.28389,0.260699,0.276942,3472250,
2018-01-28,0.278265,0.278891,0.259402,0.273225,3583840,
2018-01-29,0.272556,0.27365,0.248244,0.25683,2665920,
2018-01-30,0.259388,0.259388,0.212974,0.216607,1558630,
2018-01-31,0.218776,0.228603,0.206606,0.228007,1113590,
2018-02-01,0.227501,0.228771,0.174395,0.194358,1675520,
2018-02-02,0.19408,0.194901,0.147944,0.180779,1498890,
2018-02-03,0.180508,0.193049,0.159696,0.18327,900522,
2018-02-04,0.183189,0.184771,0.147945,0.151806,1298090,
2018-02-05,0.150192,0.15137,0.103545,0.114326,1218190,
2018-02-06,0.114207,0.145585,0.09354,0.139014,1396820,
2018-02-07,0.137985,0.145122,0.117084,0.117084,844134,
2018-02-08,0.116006,0.137761,0.116006,0.133362,580199,
2018-02-09,0.134109,0.149551,0.126292,0.149136,847614,
2018-02-10,0.148382,0.158731,0.131362,0.138349,992090,
2018-02-11,0.138186,0.143361,0.12477,0.138611,670240,
2018-02-12,0.138694,0.142184,0.132743,0.138185,722260,
2018-02-13,0.138779,0.142643,0.133609,0.137259,394131,
2018-02-14,0.137128,0.151209,0.135028,0.150315,662147,
2018-02-15,0.150328,0.154775,0.14458,0.146304,720681,
2018-02-16,0.146171,0.17412,0.145068,0.168728,1312810,59969229.0
2018-02-17,0.169447,0.207079,0.164703,0.20389,1139850,72466491.0
2018-02-18,0.2043,0.205763,0.176431,0.186974,1495620,66454214.0
2018-02-19,0.186927,0.188197,0.178485,0.179929,730338,63950284.0
2018-02-20,0.180071,0.183584,0.167122,0.167809,669296,59642599.0
2018-02-21,0.167199,0.167199,0.146182,0.150111,848871,53352384.0
2018-02-22,0.149645,0.164507,0.138667,0.140225,880974,49838706.0
2018-02-23,0.14157,0.155836,0.13815,0.153858,599944,54684141.0
2018-02-24,0.153681,0.157749,0.142456,0.144451,730181,51340709.0
2018-02-25,0.14413,0.148002,0.139485,0.142592,463408,50679984.0
2018-02-26,0.142505,0.151321,0.138383,0.148908,638242,52924814.0
2018-02-27,0.148531,0.155462,0.14427,0.149851,628946,53259974.0
2018-02-28,0.149835,0.153625,0.142993,0.145643,249693,51764369.0
2018-03-01,0.146038,0.158886,0.143532,0.154135,1009070,54782592.0
2018-03-02,0.153853,0.15575,0.144037,0.146069,936733,51915778.0
2018-03-03,0.145552,0.15036,0.140128,0.142011,786224,50473485.0
2018-03-04,0.142043,0.147555,0.138215,0.14231,715095,50579756.0
2018-03-05,0.143198,0.144965,0.139705,0.141287,608335,50216161.0
2018-03-06,0.140628,0.141537,0.124428,0.126688,602934,45027391.0
2018-03-07,0.126647,0.129114,0.108303,0.11075,714979,39362715.0
2018-03-08,0.110574,0.113419,0.092555,0.096544,739751,34313625.0
2018-03-09,0.095795,0.104368,0.088768,0.104197,606626,37033650.0
2018-03-10,0.104045,0.110486,0.098002,0.099312,603318,35297497.0
