Date,Open,High,Low,Close,Volume,Market Cap
2017-12-26,0.058292,0.075955,0.058205,0.075955,1059090,
2017-12-27,0.075792,0.187872,0.075792,0.18468,6568720,21232127.0
2017-12-28,0.184359,0.281769,0.169108,0.264737,9028810,30436050.0
2017-12-29,0.265879,0.266404,0.154716,0.192273,4576080,22204922.0
2017-12-30,0.194445,0.227302,0.151989,0.172631,1792580,19940570.0
2017-12-31,0.174212,0.181227,0.148284,0.155239,1513290,17997711.0
2018-01-01,0.153903,0.189397,0.152711,0.154837,1407870,17951105.0
2018-01-02,0.157454,0.189764,0.152964,0.158949,1690370,18496023.0
2018-01-03,0.157957,0.271111,0.154117,0.271111,3295840,31558495.0
2018-01-04,0.271898,0.290285,0.222501,0.258375,2252120,30075970.0
2018-01-05,0.258347,0.350466,0.242067,0.262601,2845000,30639380.0
2018-01-06,0.271645,0.472577,0.265297,0.461524,3843130,53897806.0
2018-01-07,0.473955,0.731352,0.448225,0.66969,7603480,78239513.0
2018-01-08,0.664935,0.942771,0.663744,0.881063,8552860,103659951.0
2018-01-09,0.872376,0.910206,0.715756,0.787895,5539860,92764188.0
2018-01-10,0.793312,0.854832,0.599215,0.836947,5141730,98539411.0
2018-01-11,0.847457,0.919918,0.599854,0.644806,4467030,76035406.0
2018-01-12,0.641645,0.733658,0.547848,0.574761,2641520,67775712.0
2018-01-13,0.570827,0.622205,0.378806,0.546548,3031850,64573729.0
2018-01-14,0.567348,0.586945,0.372474,0.449936,1917440,53159183.0
2018-01-15,0.448901,0.470836,0.309881,0.390967,1864600,46192095.0
2018-01-16,0.391679,0.426826,0.234692,0.312276,1481730,36894885.0
2018-01-17,0.29205,0.366529,0.195373,0.366529,1207570,43304786.0
2018-01-18,0.366958,0.460627,0.346375,0.376051,1781730,44579029.0
2018-01-19,0.389358,0.442747,0.330231,0.401645,985258,47894008.0
2018-01-20,0.405863,0.449745,0.382284,0.418342,1354650,49885036.0
2018-01-21,0.415534,0.430399,0.306939,0.336677,699213,40146923.0
2018-01-22,0.339647,0.349999,0.260027,0.297983,622489,35876362.0
2018-01-23,0.293604,0.315375,0.258989,0.297191,559667,35781008.0
2018-01-24,0.299044,0.315358,0.273214,0.296082,685949,35647487.0
2018-01-25,0.299993,0.309236,0.245613,0.284451,806086,34247145.0
2018-01-26,0.283293,0.389948,0.253912,0.333034,1017350,40096410.0
2018-01-27,0.332942,0.356066,0.28959,0.306182,816788,37154165.0
2018-01-28,0.304152,0.307303,0.277294,0.29127,610636,35344643.0
2018-01-29,0.290138,0.294027,0.229078,0.241225,866181,29271849.0
2018-01-30,0.24329,0.254676,0.199156,0.212401,675200,25774153.0
2018-01-31,0.212693,0.247484,0.194002,0.207024,484297,25121672.0
2018-02-01,0.208257,0.211111,0.143424,0.161888,390280,19644569.0
2018-02-02,0.160957,0.16205,0.0977,0.160614,345102,19489973.0
2018-02-03,0.162544,0.179803,0.147454,0.157615,350888,19126055.0
2018-02-04,0.157429,0.164797,0.115787,0.115787,255725,14050366.0
2018-02-05,0.114755,0.136755,0.087894,0.107341,336620,13025472.0
2018-02-06,0.104968,0.131977,0.07726,0.130275,323047,16007383.0
2018-02-07,0.130015,0.141161,0.105353,0.11813,292407,14515080.0
2018-02-08,0.118725,0.154755,0.118725,0.150904,253128,18542146.0
2018-02-09,0.153092,0.1712,0.125628,0.155299,314983,19082176.0
2018-02-10,0.154437,0.165137,0.127996,0.137984,269541,16954617.0
2018-02-11,0.137555,0.143215,0.119143,0.125878,253403,15467107.0
2018-02-12,0.125989,0.157715,0.125132,0.147776,294713,18157797.0
2018-02-13,0.154824,0.160897,0.132443,0.159682,237597,19620732.0
2018-02-14,0.158024,0.177722,0.140758,0.166143,315668,20414620.0
2018-02-15,0.164988,0.238581,0.162421,0.163318,1210200,20067501.0
2018-02-16,0.170274,0.192414,0.16255,0.162638,632577,19983947.0
2018-02-17,0.163205,0.187091,0.162726,0.162726,538096,19994760.0
2018-02-18,0.162517,0.186238,0.146384,0.150705,466086,18546324.0
2018-02-19,0.151217,0.162224,0.140047,0.143877,409253,17706045.0
2018-02-20,0.138702,0.162168,0.12324,0.125099,592950,15395153.0
2018-02-21,0.12367,0.128771,0.116709,0.123045,292268,15142380.0
2018-02-22,0.121665,0.128223,0.094204,0.103809,275394,12775126.0
2018-02-23,0.103597,0.121872,0.09986,0.106048,312932,13050666.0
2018-02-24,0.105645,0.108842,0.098637,0.099399,113614,12232427.0
2018-02-25,0.100106,0.107045,0.094342,0.098581,181931,12131761.0
2018-02-26,0.098964,0.107231,0.09674,0.106363,167363,13089431.0
2018-02-27,0.106318,0.146165,0.093194,0.127242,159793,15658879.0
2018-02-28,0.127588,0.133488,0.102781,0.111482,124583,13730004.0
2018-03-01,0.110873,0.116355,0.105135,0.10866,137825,13382449.0
2018-03-02,0.108536,0.151583,0.108536,0.147404,131568,18154119.0
2018-03-03,0.148076,0.148076,0.112325,0.130758,110984,16107803.0
2018-03-04,0.131516,0.131516,0.104872,0.109926,113590,13541553.0
2018-03-05,0.109096,0.1123,0.099543,0.101511,73804,12504927.0
2018-03-06,0.100916,0.105403,0.07645,0.087779,185831,10813261.0
2018-03-07,0.087771,0.089716,0.070927,0.080315,98186,9893799.0
2018-03-08,0.079954,0.082975,0.065177,0.067076,127515,8263001.0
2018-03-09,0.066353,0.074836,0.059653,0.074627,126798,9193119.0
2018-03-10,0.074531,0.086974,0.068962,0.069066,123659,8508108.0
2018-03-11,0.068608,0.078801,0.066584,0.075949,51193,9440384.0
2018-03-12,0.075842,0.077724,0.06162,0.063214,77054,7857486.0
2018-03-13,0.063042,0.149425,0.060731,0.073845,91807,9178896.0
2018-03-14,0.074335,0.074836,0.060326,0.061697,77454,7668925.0
2018-03-15,0.061654,0.0637,0.059011,0.062163,108556,7726761.0
2018-03-16,0.061615,0.066394,0.059864,0.063621,52847,7908039.0
2018-03-17,0.063957,0.0642,0.058091,0.058519,54400,7273803.0
2018-03-18,0.058433,0.058433,0.047864,0.056965,67368,7080667.0
2018-03-19,0.056766,0.065859,0.053053,0.063174,64554,7852402.0
2018-03-20,0.065452,0.069601,0.056869,0.062449,100115,7762298.0
2018-03-21,0.068782,0.070811,0.063292,0.064039,56126,7959996.0
2018-03-22,0.06336,0.066114,0.060774,0.062477,49289,8010901.0
