Date,Open,High,Low,Close,Volume,Market Cap
2018-10-30,0.538487,0.710448,0.393204,0.676522,11324,
2018-10-31,0.67665,0.677363,0.542696,0.584774,10372,
2018-11-01,0.584774,0.589161,0.506926,0.54889,2527,
2018-11-02,0.548823,0.562763,0.33115,0.508339,12357,
2018-11-03,0.508339,0.628891,0.507479,0.587884,10501,
2018-11-04,0.587884,0.58983,0.463133,0.471198,11538,
2018-11-05,0.471193,0.471589,0.372285,0.38648,6521,
2018-11-06,0.386683,0.46134,0.381987,0.411368,1759,
2018-11-07,0.411325,0.557084,0.376874,0.473886,1394,4739010.0
2018-11-08,0.473756,0.50177,0.407501,0.443172,6640,4431860.0
2018-11-09,0.443158,0.635925,0.405373,0.572107,21616,5721251.0
2018-11-10,0.513333,0.629159,0.410563,0.566088,2403,5661059.0
2018-11-11,0.565488,0.583977,0.428756,0.575857,1558,5758752.0
2018-11-12,0.580585,0.580585,0.397505,0.451682,8588,4516963.0
2018-11-13,0.449725,0.451706,0.394775,0.4136,3656,4136131.0
2018-11-14,0.412421,0.449117,0.318892,0.331015,1829,3310255.0
2018-11-15,0.33284,0.380368,0.303576,0.367899,2820,3679106.0
2018-11-16,0.36779,0.422756,0.320394,0.346275,8510,3462860.0
2018-11-17,0.34721,0.43686,0.346267,0.425823,18028,4258365.0
2018-11-18,0.427199,0.427697,0.339259,0.381158,12636,3910039.0
2018-11-19,0.381311,0.387506,0.274101,0.300293,6117,3080501.0
2018-11-20,0.29855,0.306585,0.223134,0.257924,2193,2645866.0
2018-11-21,0.258112,0.292791,0.248619,0.275456,4051,2825715.0
2018-11-22,0.274452,0.288972,0.259579,0.269503,2714,2764647.0
2018-11-23,0.268139,0.276902,0.235883,0.257339,3211,2639865.0
2018-11-24,0.257152,0.281481,0.230522,0.232898,8487,2389141.0
2018-11-25,0.232994,0.254905,0.218199,0.2455,3768,2518417.0
2018-11-26,0.246619,0.261752,0.221661,0.227453,2248,2333285.0
2018-11-27,0.227312,0.249185,0.22321,0.246801,1820,2531763.0
2018-11-28,0.247036,0.280353,0.247036,0.257772,2708,2644307.0
2018-11-29,0.258835,0.298257,0.248385,0.288717,1812,2961749.0
2018-11-30,0.289394,0.294953,0.21832,0.266144,2885,10453344.0
2018-12-01,0.2669,0.291576,0.252776,0.279381,2503,10973230.0
2018-12-02,0.279156,0.301018,0.240694,0.297318,1829,11677755.0
