Date,Open,High,Low,Close,Volume,Market Cap
2014-05-02,0.003853,0.00394,0.003386,0.003407,14.0,108617.0
2014-05-03,0.003412,0.003966,0.000555,0.003491,63.0,111286.0
2014-05-04,0.000229,0.000752,4.4e-05,0.000139,579.0,4425.0
2014-05-05,0.000139,0.001225,0.000112,0.000352,1244.0,11221.0
2014-05-06,0.000352,0.000862,0.000164,0.000354,623.0,11283.0
2014-05-07,0.000352,0.000361,0.000176,0.00018,906.0,11249.0
2014-05-08,0.00018,0.000254,0.00016,0.000215,194.0,13447.0
2014-05-09,0.000215,0.000672,0.000208,0.000288,1642.0,17980.0
2014-05-10,0.000288,0.000863,0.000288,0.000859,3315.0,53625.0
2014-05-11,0.000859,0.000898,0.000254,0.000408,1923.0,25455.0
2014-05-12,0.000408,0.000747,0.000267,0.000267,569.0,16692.0
2014-05-13,0.000268,0.000312,0.000206,0.000279,122.0,17430.0
2014-05-14,0.000279,0.000658,0.000128,0.000403,1510.0,25178.0
2014-05-15,0.000403,0.000648,0.000165,0.000258,98.0,16088.0
2014-05-16,0.000258,0.000331,0.000169,0.00026,197.0,16242.0
2014-05-17,0.00026,0.000538,0.000175,0.000251,67.0,15673.0
2014-05-18,0.000251,0.000308,0.000205,0.000308,74.0,19218.0
2014-05-19,0.000308,0.00047,0.000226,0.000227,109.0,14207.0
2014-05-20,0.000468,0.00048,0.000186,0.000277,633.0,17292.0
2014-05-21,0.000277,0.000506,0.000225,0.000331,465.0,20689.0
2014-05-22,0.000331,0.000504,0.000226,0.000373,326.0,23314.0
2014-05-23,0.000373,0.001165,0.000302,0.000501,2461.0,31312.0
2014-05-24,0.0005,0.000637,0.00044,0.000496,1034.0,31035.0
2014-05-25,0.000496,0.000857,0.000359,0.000547,876.0,34170.0
2014-05-26,0.000547,0.000722,0.000221,0.00048,941.0,30022.0
2014-05-27,0.00048,0.000567,0.000302,0.000493,115.0,30821.0
2014-05-28,0.000492,0.000498,0.000187,0.00019,0.0,11897.0
2014-05-29,0.0003,0.000459,0.000185,0.000187,0.0,11725.0
2014-05-30,0.000187,0.000363,0.000103,0.000203,128.0,12699.0
2014-05-31,0.000203,0.000205,0.000124,0.000181,29.0,11328.0
2014-06-01,0.000181,0.000209,0.00012,0.00012,53.0,7475.0
2014-06-02,0.00012,0.000211,0.000118,0.000211,51.0,13208.0
2014-06-03,0.000211,0.000398,0.000199,0.0002,189.0,12524.0
2014-06-04,0.0002,0.000201,0.00011,0.000122,156.0,7622.0
2014-06-05,0.000122,0.000132,7.3e-05,0.000132,104.0,8238.0
