Date,Open,High,Low,Close,Volume,Market Cap
2018-11-06,0.005706,0.031321,0.005665,0.031321,28645,
2018-11-07,0.031416,0.031416,0.019887,0.026855,10588,
2018-11-08,0.026837,0.029576,0.0227,0.022863,6219,
2018-11-09,0.022769,0.025406,0.013228,0.019996,9353,
2018-11-10,0.019992,0.020087,0.012834,0.012927,3365,
2018-11-11,0.012918,0.014472,0.010307,0.014179,4382,
2018-11-12,0.014213,0.014415,0.002742,0.005998,5891,11402.0
2018-11-13,0.005972,0.010559,0.005972,0.009818,6249,18665.0
2018-11-14,0.00979,0.010006,0.005709,0.006491,3211,12355.0
2018-11-15,0.006527,0.008225,0.005584,0.008225,225,15660.0
2018-11-16,0.008223,0.011562,0.006292,0.00845,394,16088.0
2018-11-17,0.008473,0.010494,0.008382,0.009283,97,17674.0
2018-11-18,0.009313,0.018678,0.009294,0.016841,2823,32124.0
2018-11-19,0.016847,0.023037,0.010138,0.014545,3032,27752.0
2018-11-20,0.01446,0.014745,0.008376,0.010627,542,20280.0
2018-11-21,0.010635,0.010909,0.007974,0.010108,346,19301.0
2018-11-22,0.010071,0.012807,0.007823,0.012497,1572,23876.0
2018-11-23,0.0095,0.035484,0.008827,0.035086,6650,67076.0
2018-11-24,0.03505,0.050553,0.009269,0.019527,1844,37363.0
2018-11-25,0.019535,0.021652,0.010629,0.015717,421,30098.0
2018-11-26,0.01575,0.019909,0.012635,0.019814,2843,37974.0
2018-11-27,0.019802,0.02016,0.018699,0.019073,405,36581.0
2018-11-28,0.019092,0.022423,0.01717,0.021634,1020,41514.0
2018-11-29,0.021695,0.023248,0.018471,0.019653,233,37734.0
2018-11-30,0.019699,0.024749,0.018099,0.019116,222,36734.0
2018-12-01,0.019171,0.037302,0.017873,0.029292,5931,56327.0
2018-12-02,0.029269,0.029791,0.017793,0.017849,248,34354.0
2018-12-03,0.017956,0.021109,0.016787,0.020926,1098,40302.0
2018-12-04,0.020909,0.021111,0.017144,0.017925,80,34523.0
2018-12-05,0.017945,0.018051,0.016557,0.016557,138,31888.0
2018-12-06,0.01655,0.019769,0.01641,0.017944,32,34559.0
2018-12-07,0.017913,0.023675,0.015552,0.016994,256,32730.0
2018-12-08,0.016984,0.018241,0.014861,0.015457,33,29770.0
2018-12-09,0.015412,0.016315,0.014411,0.014457,77,27843.0
2018-12-10,0.014434,0.01955,0.01274,0.019236,636,37048.0
