Date,Open,High,Low,Close,Volume,Market Cap
2018-01-22,3.86,3.95,3.31,3.71,5672340,
2018-01-23,3.77,3.77,2.97,3.06,4683070,
2018-01-24,3.06,3.31,2.95,3.21,7286460,
2018-01-25,3.27,3.31,3.04,3.15,7149650,
2018-01-26,3.17,3.28,3.01,3.24,5350160,
2018-01-27,3.25,3.65,3.2,3.51,3675040,
2018-01-28,3.57,3.96,3.41,3.89,4481230,
2018-01-29,3.88,3.91,3.45,3.52,2830360,
2018-01-30,3.51,3.57,2.91,3.04,1564600,
2018-01-31,3.06,3.29,2.98,3.07,2782570,
2018-02-01,3.0,3.16,2.55,2.75,3867180,
2018-02-02,2.74,2.75,1.68,2.53,3479020,
2018-02-03,2.56,2.81,2.33,2.69,3454960,
2018-02-04,2.68,2.69,1.97,2.31,3135040,
2018-02-05,2.27,2.39,1.73,1.86,2559450,
2018-02-06,1.85,2.25,1.32,2.15,3105480,
2018-02-07,2.09,2.51,1.98,2.09,2441640,
2018-02-08,2.09,2.38,2.09,2.19,3650160,85967838.0
2018-02-09,2.19,2.49,2.08,2.48,2925050,97745920.0
2018-02-10,2.49,2.57,2.21,2.4,3374210,94575125.0
2018-02-11,2.4,2.4,2.11,2.26,2645990,88759837.0
2018-02-12,2.27,2.45,2.27,2.37,3322490,93212167.0
2018-02-13,2.37,2.38,2.2,2.23,1753000,87812257.0
2018-02-14,2.23,2.46,2.23,2.44,2421510,96155605.0
2018-02-15,2.44,2.47,2.29,2.41,2606530,94643174.0
2018-02-16,2.4,2.42,2.22,2.4,4969720,94378450.0
2018-02-17,2.4,2.46,2.36,2.45,2359620,96354640.0
2018-02-18,2.45,2.52,2.3,2.32,5185810,91423997.0
2018-02-19,2.33,2.41,2.29,2.35,3487970,92374724.0
2018-02-20,2.35,2.5,2.24,2.26,2194430,89045409.0
2018-02-21,2.26,2.3,1.98,2.1,2767020,82606607.0
2018-02-22,2.1,2.16,1.85,1.88,4331650,74179483.0
2018-02-23,1.88,2.13,1.85,2.08,3982250,82196594.0
2018-02-24,2.07,2.15,1.91,1.99,4243870,78585916.0
2018-02-25,1.99,2.12,1.94,2.05,2202210,80921889.0
2018-02-26,2.05,2.16,1.98,2.11,2135680,83325605.0
2018-02-27,2.12,2.17,2.02,2.06,1671200,81139834.0
2018-02-28,2.06,2.08,1.89,1.94,2620560,76484221.0
2018-03-01,1.94,2.04,1.82,1.98,2649960,78312572.0
2018-03-02,1.99,2.05,1.95,2.01,2325130,79287168.0
2018-03-03,2.01,2.05,1.9,1.96,2796220,77177778.0
2018-03-04,1.96,1.96,1.85,1.92,2468460,75675243.0
2018-03-05,1.92,2.08,1.9,1.95,9442340,76802934.0
2018-03-06,1.95,2.02,1.8,1.85,7641040,72935496.0
2018-03-07,1.84,1.88,1.62,1.7,7071610,66931497.0
2018-03-08,1.69,1.74,1.56,1.6,9715330,63191763.0
2018-03-09,1.59,1.62,1.42,1.61,14738100,63731837.0
2018-03-10,1.61,1.68,1.53,1.54,6432480,60968397.0
2018-03-11,1.54,1.75,1.5,1.69,2708050,66691049.0
2018-03-12,1.68,1.71,1.53,1.56,4114670,61667631.0
2018-03-13,1.55,1.61,1.51,1.54,2517670,61022188.0
2018-03-14,1.55,1.57,1.29,1.35,2499720,53275742.0
2018-03-15,1.35,1.36,1.22,1.32,1847400,52145450.0
2018-03-16,1.32,1.37,1.26,1.29,2166050,51103545.0
2018-03-17,1.3,1.31,1.19,1.21,1343550,47775002.0
2018-03-18,1.2,1.26,0.999933,1.22,796850,48192422.0
2018-03-19,1.22,1.31,1.18,1.29,2463460,50891884.0
2018-03-20,1.3,1.41,1.21,1.39,2746970,54983916.0
2018-03-21,1.4,1.47,1.33,1.35,3679360,53171516.0
2018-03-22,1.36,1.43,1.3,1.34,2833430,52897976.0
2018-03-23,1.33,1.35,1.28,1.35,3253900,53212231.0
2018-03-24,1.36,1.38,1.33,1.34,3268280,52858447.0
2018-03-25,1.32,1.34,1.28,1.31,2612610,51873782.0
2018-03-26,1.31,1.33,1.16,1.23,3115250,48750524.0
2018-03-27,1.23,1.24,1.1,1.15,1963320,45595522.0
2018-03-28,1.16,1.23,1.14,1.16,1285750,45766611.0
2018-03-29,1.16,1.17,1.03,1.05,1206440,41586553.0
