Date,Open,High,Low,Close,Volume,Market Cap
2016-04-04,0.003369,0.003372,0.003368,0.003372,557.0,35401
2016-04-06,0.008471,0.008471,0.004236,0.00846,1336.0,88828
2016-04-07,0.008464,0.038048,0.004218,0.037988,9640.0,398873
2016-04-08,0.038002,0.038222,0.008484,0.038215,9753.0,401254
2016-04-09,0.012619,0.020971,0.001676,0.002097,324.0,22019
2016-04-10,0.001259,0.008449,0.001259,0.008423,353.0,88440
2016-04-11,0.008429,0.012682,0.001241,0.008437,738.0,88588
2016-04-12,0.008444,0.008462,0.000464,0.001288,1586.0,13527
2016-04-13,0.00129,0.008425,0.000846,0.001691,306.0,17752
2016-04-14,0.001691,0.001697,0.000846,0.000853,2.0,8954
2016-04-15,0.000853,0.003436,0.000853,0.001289,170.0,13536
2016-04-16,0.001289,0.002177,0.001287,0.001292,28.0,13563
2016-04-17,0.001292,0.001294,0.000241,0.001283,38.0,13476
2016-04-18,0.001274,0.001275,0.000585,0.000587,68.0,6165
2016-04-19,0.000587,0.00109,0.00022,0.001089,41.0,11433
2016-04-20,0.001088,0.00109,0.000436,0.000865,27.0,9084
2016-04-21,0.000852,0.001074,0.000445,0.001074,737.0,11278
2016-04-22,0.001075,0.001784,0.000445,0.00045,792.0,4727
2016-04-23,0.00045,0.001783,0.00045,0.000901,157.0,9456
2016-04-24,0.000901,0.00092,9.6e-05,0.000344,335.0,3611
2016-04-25,0.000344,0.000917,7.8e-05,0.000835,123.0,8769
2016-04-26,0.000836,0.001391,0.000764,0.001347,450.0,14143
2016-04-27,0.001348,0.00341,0.000692,0.003335,232.0,35019
2016-04-28,0.003338,0.003338,0.001393,0.001396,16.0,14662
2016-04-29,0.001398,0.004007,0.000926,0.004005,24.0,42051
2016-04-30,0.004006,0.004009,0.003555,0.00356,1.0,37376
2016-05-01,0.003561,0.003567,0.000545,0.003163,75.0,33213
2016-05-02,0.003164,0.003167,0.000885,0.002219,12.0,23298
2016-05-03,0.002219,0.00222,0.000546,0.000549,5.0,5768
2016-05-04,0.000549,0.00059,0.000544,0.00059,2.0,6192
2016-05-05,0.00059,0.000897,0.00059,0.000896,5.0,9407
2016-05-06,0.000896,0.000902,0.00068,0.000689,1.0,7239
2016-05-07,0.000689,0.00069,0.000686,0.000687,1.0,7213
2016-05-08,0.000921,0.000931,0.000917,0.000931,2.0,9774
2016-05-09,0.00093,0.001387,0.000625,0.000626,2.0,6576
2016-05-10,0.000626,0.001814,0.000626,0.001804,27.0,18938
2016-05-11,0.001803,0.001818,0.001803,0.001815,1.0,19057
2016-05-16,0.001817,0.001817,0.000341,0.000454,242.0,4770
2016-05-17,0.000454,0.000455,0.000427,0.000449,34.0,4717
2016-05-18,0.000449,0.001368,9.5e-05,0.001364,7.0,14321
2016-05-19,0.001364,0.001364,0.001316,0.001316,32.0,13819
2016-05-20,0.001313,0.001332,0.001304,0.00131,187.0,13758
2016-05-21,0.00131,0.001313,0.000868,0.00109,358.0,11449
2016-05-22,0.00109,0.001325,0.000154,0.000659,1116.0,6919
2016-05-23,0.000659,0.000882,0.000443,0.000666,288.0,6995
2016-05-24,0.000666,0.000888,0.000134,0.000825,1065.0,8663
2016-05-25,0.000825,0.000887,2.7e-05,0.00045,1666.0,4721
2016-05-26,0.00045,0.000671,0.000247,0.000453,729.0,4760
2016-05-27,0.000453,0.000497,0.000142,0.000166,827.0,1740
2016-05-28,0.000166,0.000494,8.3e-05,8.5e-05,48.0,890
2016-05-29,8.4e-05,0.000499,8.4e-05,0.000484,631.0,5077
2016-05-30,0.000484,0.000762,0.000262,0.000743,572.0,7804
2016-05-31,0.000743,0.000748,0.000146,0.000268,4658.0,2812
2016-06-01,0.000268,0.00105,0.000209,0.000775,9087.0,8132
2016-06-02,0.000778,0.001244,0.000556,0.00097,5760.0,10181
2016-06-03,0.000969,0.00179,0.00049,0.00091,39391.0,9555
2016-06-04,0.001138,0.002394,0.000879,0.001712,37540.0,17981
2016-06-05,0.001714,0.002517,0.001519,0.0023,4197.0,24149
2016-06-06,0.002298,0.004907,0.002121,0.004549,22229.0,47764
2016-06-07,0.004402,0.006043,0.002049,0.00279,30118.0,29292
2016-06-08,0.002704,0.002705,0.001212,0.001672,2810.0,17559
2016-06-09,0.001674,0.00214,0.001216,0.001549,3380.0,16265
2016-06-10,0.0013,0.002997,0.001197,0.002107,12929.0,22123
2016-06-11,0.002111,0.002728,0.001166,0.001735,7711.0,18219
2016-06-12,0.001744,0.001744,0.00068,0.000983,5528.0,10319
2016-06-13,0.000976,0.001197,0.00057,0.00081,1515.0,8507
2016-06-14,0.00081,0.001318,0.000552,0.001193,1465.0,12525
2016-06-15,0.001193,0.001193,0.000732,0.000833,802.0,8750
2016-06-16,0.000836,0.000985,0.000623,0.000812,1526.0,8527
2016-06-17,0.000812,0.000813,0.000566,0.000622,638.0,6535
2016-06-18,0.000622,0.000716,0.000275,0.000375,2528.0,3935
2016-06-19,0.000375,0.000573,0.00032,0.000504,468.0,5290
2016-06-20,0.000512,0.000534,0.000192,0.000336,112.0,3526
2016-06-21,0.000335,0.000335,0.000186,0.000186,50.0,1949
2016-06-22,0.000185,0.000826,0.000182,0.000679,1944.0,7126
2016-06-23,0.00068,0.001445,0.000612,0.000939,10545.0,9855
2016-06-24,0.001099,0.00117,0.000455,0.000532,522.0,5588
2016-06-25,0.000532,0.000672,0.000531,0.000559,21.0,5872
2016-06-26,0.00056,0.000622,0.000531,0.000554,63.0,5822
2016-06-27,0.000554,0.0008,0.000507,0.000662,410.0,6949
2016-06-28,0.000665,0.001166,0.000644,0.000977,1419.0,10260
2016-06-29,0.000973,0.000973,0.000535,0.000749,213.0,7861
2016-06-30,0.000749,0.000895,0.000573,0.000586,220.0,6157
2016-07-01,0.000586,0.00116,0.000583,0.001127,408.0,11831
2016-07-02,0.001127,0.001133,0.000448,0.000697,114.0,7323
2016-07-03,0.000699,0.000699,0.000329,0.000329,26.0,3458
2016-07-04,0.000329,0.000567,0.000329,0.000567,29.0,5958
2016-07-05,0.000567,0.000567,0.000361,0.000496,2.0,5210
2016-07-06,0.000496,0.00088,0.000441,0.000441,11.0,4632
2016-07-07,0.000441,0.00081,0.000364,0.000793,55.0,8328
2016-07-08,0.000793,0.000859,0.000382,0.000387,84.0,4060
2016-07-09,0.000387,0.000459,0.000367,0.000456,5.0,4784
2016-07-10,0.000456,0.000598,0.000375,0.000598,9.0,6276
2016-07-11,0.000597,0.000607,0.000587,0.000589,1.0,6188
2016-07-12,0.00059,0.000593,0.000147,0.000518,96.0,5443
2016-07-13,0.000518,0.00052,0.000272,0.000328,5.0,3442
2016-07-14,0.000327,0.000375,0.000296,0.000368,1.0,3868
2016-07-15,0.000369,0.000373,0.000298,0.000332,1.0,3485
2016-07-16,0.000332,0.000343,0.000287,0.0003,3.0,3153
2016-07-17,0.0003,0.00034,0.000273,0.000339,1.0,3564
2016-07-18,0.00034,0.000341,0.000283,0.000283,24.0,2968
2016-07-19,0.000283,0.000283,0.000161,0.00023,75.0,2418
2016-07-20,0.00023,0.00027,0.000205,0.000213,6.0,2237
2016-07-21,0.000213,0.000486,0.000211,0.000245,70.0,2573
2016-07-22,0.000245,0.000369,0.000237,0.000238,20.0,2494
2016-07-23,0.000238,0.000525,0.000237,0.000492,179.0,5163
2016-07-24,0.000492,0.000492,0.000297,0.000298,2.0,3124
2016-07-25,0.000298,0.000309,0.000295,0.000307,0.0,3227
2016-07-26,0.000307,0.000308,0.000304,0.000306,1.0,3218
2016-07-27,0.000306,0.000309,0.000298,0.000308,5.0,3229
2016-07-28,0.000308,0.000309,0.000308,0.000308,0.0,3235
2016-07-29,0.000262,0.000262,0.000236,0.000236,2.0,2483
2016-07-30,0.000237,0.000237,0.000229,0.000229,0.0,2407
2016-07-31,0.000229,0.000229,0.000221,0.000222,0.0,2329
2016-08-02,0.000423,0.000425,0.000372,0.000381,4.0,3998
2016-08-03,0.000383,0.000389,0.000153,0.000153,41.0,1606
2016-08-04,0.000153,0.000242,0.000149,0.000241,74.0,2534
2016-08-05,0.000241,0.000403,0.00024,0.000403,30.0,4228
2016-08-06,0.000403,0.000408,0.000399,0.000408,0.0,4279
2016-08-07,0.000172,0.000239,0.000172,0.000237,1.0,2489
2016-08-08,0.000237,0.000258,0.000176,0.000258,3.0,2707
2016-08-09,0.000258,0.000288,0.000188,0.000188,18.0,1976
2016-08-10,0.000188,0.000188,0.000188,0.000188,0.0,1977
2016-08-11,0.000201,0.000203,0.0002,0.0002,2.0,2104
2016-08-12,0.0002,0.000411,0.0002,0.000411,23.0,4314
2016-08-13,0.000411,0.000659,0.000404,0.000404,294.0,4242
2016-08-14,0.000404,0.000404,0.000203,0.000205,1.0,2156
2016-08-15,0.000205,0.000395,0.000205,0.000391,0.0,4109
2016-08-16,0.000391,0.000393,0.000179,0.000179,1.0,1879
2016-08-17,0.000179,0.00018,0.000177,0.000178,0.0,1869
2016-08-18,0.00019,0.00019,0.000189,0.000189,0.0,1990
2016-08-19,0.00019,0.000191,0.000189,0.00019,0.0,1998
2016-08-21,0.000402,0.000403,0.000175,0.000176,9.0,1846
2016-08-22,0.000176,0.000247,0.000175,0.000246,6.0,2586
2016-08-23,0.000246,0.000249,0.0002,0.0002,2.0,2100
2016-08-24,0.0002,0.000216,0.000199,0.000208,2.0,2184
2016-08-25,0.000208,0.000208,0.000167,0.000168,1.0,1759
2016-08-26,0.000168,0.000191,0.000162,0.00019,7.0,1997
2016-08-27,0.00019,0.00019,0.000175,0.000188,1.0,1976
2016-08-28,0.000188,0.000189,0.000188,0.000189,1.0,1984
2016-08-29,0.000138,0.000155,0.000138,0.000155,10.0,1628
2016-08-30,0.000155,0.000156,0.000155,0.000156,0.0,1636
2016-09-01,0.000178,0.000178,0.000177,0.000177,0.0,1863
2016-09-02,0.000177,0.000178,0.000177,0.000178,0.0,1871
2016-09-03,0.000187,0.000192,0.000137,0.000139,0.0,1458
2016-09-04,0.000139,0.000183,0.000125,0.000183,2.0,1917
