Date,Open,High,Low,Close,Volume,Market Cap
2019-01-31,1.28,1.28,1.28,1.28,25441,
2019-02-01,1.28,1.54,1.26,1.39,15001,
2019-02-02,1.39,1.46,1.24,1.45,14085,
2019-02-03,1.45,1.6,1.37,1.38,10327,
2019-02-04,1.38,1.39,1.24,1.28,13641,
2019-02-05,1.28,1.28,1.21,1.21,15189,282128.0
2019-02-06,1.22,1.29,1.1,1.19,12254,276296.0
2019-02-07,1.19,1.48,1.16,1.17,22618,272700.0
2019-02-08,1.17,1.34,1.17,1.26,2089,291933.0
2019-02-09,1.25,1.56,1.24,1.34,20028,310688.0
2019-02-10,1.34,4.8,1.33,3.21,7953,746864.0
2019-02-11,3.21,3.44,1.59,2.41,11300,560087.0
2019-02-12,2.41,3.37,2.38,3.07,18404,714808.0
2019-02-13,3.07,3.24,2.88,2.89,11310,671899.0
2019-02-14,2.88,3.45,2.81,3.29,9907,765146.0
2019-02-15,3.29,3.42,3.13,3.13,10598,728692.0
2019-02-16,3.16,3.36,2.99,3.18,10071,739668.0
2019-02-17,3.18,3.42,3.17,3.41,8976,792733.0
2019-02-18,3.4,3.76,3.4,3.62,11070,841665.0
2019-02-19,3.62,3.68,3.59,3.62,11924,842506.0
2019-02-20,3.62,6.18,3.59,6.05,17047,1406291.0
2019-02-21,6.05,6.05,3.67,5.55,11588,1290959.0
2019-02-22,5.54,5.78,4.37,5.67,13123,1318571.0
2019-02-23,5.66,12.01,5.63,9.33,15193,2169532.0
2019-02-24,9.33,12.39,6.56,10.8,9533,2609345.0
2019-02-25,10.81,12.53,10.67,11.71,16767,2827847.0
2019-02-26,11.69,13.45,10.72,13.14,11785,3173507.0
2019-02-27,13.15,13.92,10.91,13.85,9029,3377082.0
2019-02-28,13.86,14.27,10.96,11.01,10378,2685276.0
2019-03-01,11.01,13.9,8.84,13.71,10042,3344365.0
2019-03-02,13.61,14.55,12.04,13.57,9435,3309411.0
2019-03-03,13.58,14.97,13.57,14.18,10960,3457321.0
2019-03-04,14.19,14.24,13.61,13.92,9714,3395400.0
2019-03-05,13.93,15.13,9.04,14.38,11393,3507192.0
