Date,Open,High,Low,Close,Volume,Market Cap
2014-08-02,4e-06,5e-06,4e-06,5e-06,164.0,58696
2014-08-03,5e-06,5e-06,4e-06,5e-06,524.0,58751
2014-08-09,7e-06,7e-06,7e-06,7e-06,31.0,91706
2014-08-10,7e-06,7e-06,5e-06,6e-06,42.0,77194
2014-08-11,6e-06,7e-06,6e-06,7e-06,53.0,89998
2014-08-12,7e-06,7e-06,6e-06,6e-06,39.0,76004
2014-08-13,6e-06,6e-06,4e-06,4e-06,65.0,59719
2014-08-14,4e-06,7e-06,4e-06,7e-06,127.0,87090
2014-08-15,7e-06,7e-06,6e-06,6e-06,37.0,79525
2014-08-16,6e-06,7e-06,5e-06,6e-06,54.0,84402
2014-08-17,6e-06,8e-06,6e-06,6e-06,229.0,83525
2014-08-18,6e-06,7e-06,5e-06,5e-06,111.0,64788
2014-08-19,5e-06,7e-06,5e-06,6e-06,77.0,82493
2014-08-20,6e-06,7e-06,6e-06,7e-06,24.0,89555
2014-08-21,7e-06,7e-06,5e-06,5e-06,6.0,70961
2014-08-22,5e-06,6e-06,5e-06,6e-06,0.0,82259
2014-08-23,6e-06,6e-06,4e-06,4e-06,259.0,54622
2014-08-24,4e-06,4e-06,4e-06,4e-06,35.0,55064
2014-08-25,4e-06,5e-06,4e-06,5e-06,33.0,65314
2014-08-26,4e-06,4e-06,4e-06,4e-06,15.0,57734
2014-08-27,4e-06,1e-05,4e-06,5e-06,924.0,69696
2014-08-28,5e-06,5e-06,5e-06,5e-06,6.0,67471
2014-08-29,5e-06,5e-06,4e-06,5e-06,91.0,62480
2014-08-30,5e-06,5e-06,5e-06,5e-06,3.0,68984
2014-08-31,5e-06,1e-05,4e-06,1e-05,0.0,130839
2014-09-01,1e-05,1e-05,1e-06,1e-06,11.0,17449
2014-09-02,1e-06,5e-06,1e-06,5e-06,6.0,64887
2014-09-03,5e-06,5e-06,4e-06,5e-06,150.0,63267
2014-09-04,5e-06,5e-06,5e-06,5e-06,32.0,67375
2014-09-05,5e-06,5e-06,5e-06,5e-06,384.0,65980
2014-09-06,5e-06,6e-06,4e-06,6e-06,42.0,81016
2014-09-07,6e-06,6e-06,5e-06,5e-06,0.0,66906
2014-09-08,5e-06,6e-06,5e-06,5e-06,6.0,73674
2014-09-09,5e-06,5e-06,3e-06,5e-06,12.0,72125
2014-09-10,5e-06,6e-06,5e-06,6e-06,0.0,83118
2014-09-11,6e-06,6e-06,6e-06,6e-06,0.0,82853
2014-09-14,5e-06,5e-06,5e-06,5e-06,0.0,66481
2014-09-15,5e-06,5e-06,5e-06,5e-06,0.0,66261
2014-09-16,5e-06,5e-06,5e-06,5e-06,0.0,64979
2014-09-17,5e-06,5e-06,5e-06,5e-06,0.0,63833
2014-09-18,5e-06,5e-06,4e-06,4e-06,0.0,59252
2014-09-19,4e-06,4e-06,4e-06,4e-06,0.0,55222
2014-09-20,4e-06,4e-06,4e-06,4e-06,31.0,60559
2014-09-21,4e-06,6e-06,1000000.0,1000000.0,5.0,14018
2014-09-22,1000000.0,4e-06,1000000.0,4e-06,11.0,55974
2014-09-23,4e-06,4e-06,4e-06,4e-06,122.0,61221
2014-09-24,4e-06,4e-06,1000000.0,1000000.0,0.0,14063
2014-09-25,1000000.0,1000000.0,1000000.0,1000000.0,0.0,14075
2014-09-26,4e-06,4e-06,4e-06,4e-06,36.0,56995
2014-09-27,4e-06,4e-06,4e-06,4e-06,0.0,56364
2014-09-28,4e-06,4e-06,4e-06,4e-06,0.0,53266
2014-09-29,4e-06,4e-06,4e-06,4e-06,0.0,53080
2014-09-30,4e-06,4e-06,4e-06,4e-06,49.0,54759
2014-10-01,4e-06,4e-06,3e-06,4e-06,27.0,53138
2014-10-02,4e-06,4e-06,3e-06,3e-06,0.0,48405
2014-10-03,3e-06,4e-06,3e-06,4e-06,87.0,50868
2014-10-04,4e-06,7e-06,3e-06,3e-06,35.0,46580
2014-10-05,3e-06,5e-06,3e-06,3e-06,124.0,44168
2014-10-06,3e-06,3e-06,3e-06,3e-06,7.0,44531
2014-10-07,3e-06,3e-06,1e-06,3e-06,0.0,47929
2014-10-08,3e-06,4e-06,3e-06,4e-06,138.0,50377
2014-10-09,4e-06,4e-06,1e-06,1e-06,1.0,19729
2014-10-10,1e-06,4e-06,1e-06,4e-06,0.0,51559
2014-10-11,4e-06,4e-06,1e-06,4e-06,0.0,51820
2014-10-12,4e-06,4e-06,1e-06,4e-06,0.0,54246
2014-10-13,4e-06,4e-06,1e-06,1e-06,0.0,17359
2014-10-14,1e-06,4e-06,1e-06,4e-06,0.0,57509
2014-10-15,4e-06,4e-06,4e-06,4e-06,0.0,56746
2014-10-16,4e-06,4e-06,1e-06,1e-06,0.0,18819
2014-10-17,1e-06,4e-06,1e-06,1e-06,0.0,17146
2014-10-18,1e-06,4e-06,1e-06,4e-06,1.0,56457
2014-10-19,4e-06,4e-06,4e-06,4e-06,2.0,56239
2014-10-20,4e-06,4e-06,1e-06,4e-06,229.0,55332
2014-10-21,4e-06,4e-06,4e-06,4e-06,241.0,55854
2014-10-22,4e-06,4e-06,4e-06,4e-06,0.0,55529
2014-10-24,4e-06,7e-06,4e-06,7e-06,0.0,103805
2014-10-25,7e-06,7e-06,3e-06,3e-06,0.0,50324
2014-10-26,3e-06,4e-06,3e-06,4e-06,0.0,51380
2014-10-27,4e-06,4e-06,2e-06,4e-06,32.0,51206
2014-10-28,4e-06,7e-06,4e-06,7e-06,129.0,102781
2014-10-29,7e-06,7e-06,2e-06,4e-06,1.0,59863
2014-10-30,4e-06,7e-06,3e-06,7e-06,43.0,102779
2014-10-31,7e-06,7e-06,3e-06,3e-06,0.0,49180
2014-11-01,3e-06,3e-06,3e-06,3e-06,1.0,47352
2014-11-02,3e-06,3e-06,1e-06,1e-06,0.0,17444
2014-11-03,1e-06,3e-06,1e-06,3e-06,86.0,47615
2014-11-04,3e-06,3e-06,3e-06,3e-06,8.0,48043
2014-11-05,3e-06,3e-06,3e-06,3e-06,1.0,49350
2014-11-06,3e-06,4e-06,3e-06,3e-06,1.0,50556
2014-11-07,3e-06,3e-06,3e-06,3e-06,4.0,49776
2014-11-08,3e-06,3e-06,3e-06,3e-06,1.0,50222
2014-11-09,3e-06,4e-06,3e-06,4e-06,9.0,52807
2014-11-10,4e-06,4e-06,4e-06,4e-06,4.0,53339
2014-11-11,4e-06,4e-06,4e-06,4e-06,4.0,53683
2014-11-12,4e-06,4e-06,4e-06,4e-06,0.0,61572
