Date,Open,High,Low,Close,Volume,Market Cap
2017-12-01,0.612879,0.973307,0.55865,0.973307,15228,
2017-12-02,0.97328,0.973488,0.827235,0.903756,15809,
2017-12-03,0.904061,0.961835,0.754079,0.776491,28845,776491.0
2017-12-04,0.828884,0.936793,0.786399,0.899666,9708,899666.0
2017-12-05,0.900128,0.919522,0.818162,0.820026,8306,820026.0
2017-12-06,0.818586,0.854264,0.745269,0.76062,6012,760620.0
2017-12-07,0.757976,0.881016,0.630737,0.808639,68054,808639.0
2017-12-08,0.819743,1.19,0.780675,1.17,109439,1173650.0
2017-12-09,1.17,1.57,1.17,1.29,147428,1287090.0
2017-12-10,1.39,1.39,1.18,1.27,93122,1272390.0
2017-12-11,1.28,1.38,1.18,1.32,42264,1319820.0
2017-12-12,1.31,1.63,1.13,1.62,30846,1622790.0
2017-12-13,1.62,1.67,1.04,1.06,42450,1059400.0
2017-12-14,1.06,1.13,0.512876,1.03,5553,1032070.0
2017-12-15,1.03,1.03,0.526735,0.708063,5918,708063.0
2017-12-16,0.7095,0.928447,0.545889,0.571874,17191,571874.0
2017-12-17,0.573418,0.604192,0.33836,0.552093,7689,662512.0
2017-12-18,0.551356,0.742524,0.29733,0.641136,12032,769363.0
2017-12-19,0.640167,0.717487,0.410724,0.561282,6934,673538.0
2017-12-20,0.560685,0.56566,0.338337,0.35391,1893,424692.0
2017-12-21,0.354303,0.706855,0.263802,0.580754,614,696905.0
2017-12-22,0.582806,0.587634,0.162141,0.440536,3716,528643.0
2017-12-23,0.444555,0.508863,0.260975,0.449876,5248,539851.0
2017-12-24,0.455205,0.585242,0.206379,0.377029,5945,452435.0
2017-12-25,0.379056,0.394527,0.251259,0.328534,5700,394241.0
2017-12-26,0.328605,0.416073,0.243603,0.36207,7089,434484.0
2017-12-27,0.362792,0.509588,0.319517,0.506174,11834,607409.0
2017-12-28,0.505274,0.68927,0.412406,0.544022,20749,652826.0
2017-12-29,0.547307,0.689593,0.491156,0.646535,13032,775842.0
2017-12-30,0.64837,0.793895,0.486558,0.649545,17614,779454.0
2017-12-31,0.643452,1.03,0.584034,0.70095,18315,841140.0
2018-01-01,0.704309,0.8349,0.607413,0.637271,7985,764725.0
2018-01-02,0.637892,0.99082,0.637892,0.795278,17795,954334.0
2018-01-03,0.795492,0.980305,0.693712,0.735078,11960,882094.0
2018-01-04,0.73625,0.956479,0.667387,0.911456,20999,1093747.0
2018-01-05,0.910027,1.04,0.765221,0.945597,12289,1134716.0
2018-01-06,0.947519,1.02,0.859554,0.94944,7614,1139328.0
2018-01-07,0.948919,1.15,0.825663,1.03,23885,1234188.0
2018-01-08,1.03,1.34,0.924636,1.18,33596,1418796.0
