Date,Open,High,Low,Close,Volume,Market Cap
2014-06-07,0.179718,0.186157,0.082486,0.09558,152742,282508
2014-06-08,0.088755,0.121031,0.072701,0.112225,110367,409857
2014-06-09,0.115553,0.179609,0.105919,0.162287,286705,702890
2014-06-10,0.149586,0.248515,0.107955,0.144734,586992,652827
2014-06-11,0.144999,0.188151,0.141453,0.16886,292280,761669
2014-06-12,0.168637,0.184341,0.088436,0.12275,186851,553695
2014-06-13,0.111521,0.169287,0.094278,0.132231,157066,596475
2014-06-14,0.135037,0.140707,0.096168,0.100103,57224,451562
2014-06-15,0.099421,0.116965,0.092482,0.093919,42833,423678
2014-06-16,0.100206,0.109899,0.09147,0.108501,31250,489471
2014-06-17,0.107186,0.138061,0.102867,0.138061,46836,622837
2014-06-18,0.138055,0.16275,0.122213,0.156742,83689,707128
2014-06-19,0.156805,0.485373,0.149583,0.45609,663319,2057671
2014-06-20,0.455246,0.561876,0.378184,0.41169,1270520,1857420
2014-06-21,0.397618,0.401543,0.280574,0.359663,419359,1622736
2014-06-22,0.359013,0.370988,0.200757,0.272958,259513,1231568
2014-06-23,0.273244,0.318163,0.225768,0.285801,116799,1289553
2014-06-24,0.299198,0.412601,0.285983,0.346492,219156,1563442
2014-06-25,0.345932,0.384791,0.307615,0.323773,121939,1460974
2014-06-26,0.304971,0.337893,0.280057,0.300684,113657,1356831
2014-06-27,0.301261,0.316336,0.276118,0.289311,90351,1305571
2014-06-28,0.267295,0.273995,0.241222,0.2522,33565,1138149
2014-06-29,0.255563,0.344172,0.251859,0.324292,67397,1463534
2014-06-30,0.318434,0.337282,0.285223,0.291719,48857,1316576
2014-07-01,0.288651,0.307203,0.240541,0.253591,42445,1144533
2014-07-02,0.25254,0.30117,0.237559,0.269313,55215,1215537
2014-07-03,0.261479,0.317523,0.243619,0.315222,61783,1422805
2014-07-04,0.314467,0.393518,0.307959,0.363546,121733,1640989
2014-07-05,0.362816,0.378199,0.341493,0.366784,22358,1655674
2014-07-06,0.368288,0.429089,0.36115,0.381227,91639,1720934
2014-07-07,0.380834,0.409567,0.349883,0.349883,41677,1579455
2014-07-08,0.362667,0.462992,0.353043,0.459498,125520,2074342
2014-07-09,0.466403,0.817516,0.4516,0.722932,786709,3263609
2014-07-10,0.696741,0.80029,0.608338,0.721746,514850,3258277
2014-07-11,0.71912,0.722537,0.53121,0.636978,318604,2875734
2014-07-12,0.636852,0.690173,0.562246,0.608992,161087,2749609
2014-07-13,0.609468,0.609468,0.522272,0.529986,61930,2393026
2014-07-14,0.526916,0.530927,0.407196,0.500316,104073,2259199
2014-07-15,0.500869,0.701755,0.493949,0.648445,198151,2928242
2014-07-16,0.647728,0.698404,0.582266,0.676055,88517,3053095
2014-07-17,0.675414,0.867866,0.661728,0.778508,144886,3515948
2014-07-18,0.775885,0.795996,0.636486,0.667813,139581,3016181
2014-07-19,0.668208,0.72765,0.592422,0.618284,68915,2792633
2014-07-20,0.607773,0.698526,0.581062,0.697941,63563,3152551
2014-07-21,0.699217,0.80703,0.695766,0.789785,158802,3567564
2014-07-22,0.782717,0.841428,0.745158,0.768955,105760,3473639
2014-07-23,0.767238,0.811438,0.747086,0.784599,46340,3544509
2014-07-24,0.784728,0.797976,0.72633,0.741957,92233,3352085
2014-07-25,0.755322,0.760349,0.637939,0.702798,63339,3175342
2014-07-26,0.703346,0.707443,0.574259,0.650427,60679,2938867
2014-07-27,0.650266,0.958598,0.63393,0.939744,189442,4246357
2014-07-28,0.952839,0.952839,0.805766,0.89332,179695,4036750
2014-07-29,0.893107,1.08,0.872549,1.05,290517,4744427
2014-07-30,1.05,1.96,1.04,1.75,958657,7926583
2014-07-31,1.71,1.88,1.16,1.23,815037,5541452
2014-08-01,1.22,1.61,1.17,1.41,267012,6363741
2014-08-02,1.4,1.46,1.27,1.31,166555,5901310
2014-08-03,1.31,1.35,1.16,1.3,201836,5880252
2014-08-04,1.32,1.56,1.31,1.53,169458,6937092
2014-08-05,1.54,1.54,1.25,1.35,120145,6083232
2014-08-06,1.35,1.35,1.07,1.2,186382,5416350
2014-08-07,1.2,1.22,0.9317,0.950487,256631,4297699
2014-08-08,0.950519,1.04,0.738847,1.02,372870,4607410
2014-08-09,1.02,1.2,0.957685,1.0,251889,4531556
2014-08-10,1.0,1.02,0.669449,0.705831,277811,3191980
2014-08-11,0.710298,0.776961,0.588735,0.593769,177547,2685372
2014-08-12,0.593775,0.629304,0.399607,0.40086,222209,1813005
2014-08-13,0.406038,0.461606,0.358016,0.359511,99827,1626103
2014-08-14,0.335137,0.367877,0.287664,0.295707,79063,1337576
2014-08-15,0.302907,0.405539,0.298412,0.338893,87289,1532985
2014-08-16,0.338583,0.338583,0.190681,0.210556,91145,952505
2014-08-17,0.210327,0.253051,0.176955,0.184457,40917,834474
2014-08-18,0.183382,0.211877,0.074201,0.120271,114899,544126
2014-08-19,0.121282,0.1851,0.111295,0.121836,99138,551251
2014-08-20,0.121455,0.193847,0.117632,0.162367,159015,734669
2014-08-21,0.160715,0.201745,0.160684,0.166867,101359,755052
2014-08-22,0.17014,0.184895,0.109677,0.123924,158707,560762
2014-08-23,0.123484,0.136567,0.103574,0.113065,52033,511645
2014-08-24,0.113113,0.155182,0.100014,0.13287,54378,601291
2014-08-25,0.132849,0.20859,0.128844,0.176872,136846,800448
2014-08-26,0.176758,0.202227,0.168739,0.201978,34930,914101
2014-08-27,0.202531,0.207277,0.179122,0.180485,22766,816859
2014-08-28,0.180492,0.182829,0.137823,0.141217,36870,639157
2014-08-29,0.1415,0.15539,0.139823,0.152145,20611,688645
2014-08-30,0.152167,0.152225,0.126869,0.135462,14954,613164
2014-08-31,0.135101,0.14608,0.126504,0.141641,12113,641157
2014-09-01,0.141648,0.146967,0.13108,0.132358,21228,599162
2014-09-02,0.132245,0.190068,0.13163,0.162929,56307,737580
2014-09-03,0.162739,0.185311,0.160036,0.175618,17014,795053
2014-09-04,0.175649,0.189179,0.165546,0.176259,21953,797980
2014-09-05,0.176259,0.184826,0.170345,0.171825,14688,777930
2014-09-06,0.171825,0.177318,0.16533,0.172096,9343,779179
2014-09-07,0.172202,0.223137,0.166853,0.20629,53071,934021
2014-09-08,0.20609,0.251446,0.202229,0.236087,50256,1068962
2014-09-09,0.236446,0.25023,0.206383,0.226079,50318,1023675
2014-09-10,0.226187,0.226187,0.147504,0.160941,109091,728764
2014-09-11,0.161026,0.161724,0.142721,0.143145,33177,648204
2014-09-12,0.143097,0.148216,0.135627,0.140309,18808,635377
2014-09-13,0.140504,0.152103,0.140312,0.143454,18405,649638
2014-09-14,0.14352,0.147415,0.133071,0.13621,13059,616849
2014-09-15,0.136151,0.137591,0.124346,0.128894,26810,583729
2014-09-16,0.12877,0.138946,0.126602,0.129393,7722,586005
2014-09-17,0.129341,0.135141,0.124509,0.126888,6067,574675
2014-09-18,0.126758,0.126758,0.087952,0.09109,19583,412556
2014-09-19,0.091019,0.111739,0.089519,0.094735,15220,429072
2014-09-20,0.094705,0.107107,0.093941,0.099222,3745,449405
2014-09-21,0.09971,0.100876,0.07154,0.0788,22140,356917
2014-09-22,0.078855,0.085711,0.067594,0.071389,20924,323370
2014-09-23,0.07039,0.077062,0.057872,0.057872,20219,262160
2014-09-24,0.06162,0.076396,0.057702,0.072118,22420,326700
2014-09-25,0.072109,0.088372,0.064687,0.087117,20713,394652
2014-09-26,0.086977,0.087181,0.064997,0.065503,12781,296744
2014-09-27,0.065364,0.072055,0.063097,0.065249,5031,295601
2014-09-28,0.065242,0.066171,0.061321,0.062906,3403,284991
2014-09-29,0.064307,0.064307,0.058504,0.059791,4432,270883
2014-09-30,0.05989,0.061897,0.058607,0.058849,2196,266621
2014-10-01,0.058922,0.061105,0.054469,0.055448,4019,251218
2014-10-02,0.055961,0.057914,0.049371,0.05384,6609,243932
2014-10-03,0.053855,0.054986,0.040886,0.043251,5432,195963
2014-10-04,0.043296,0.053913,0.031995,0.053913,36944,244308
2014-10-05,0.053974,0.073387,0.048118,0.056713,29218,257028
2014-10-06,0.057283,0.0684,0.050621,0.050813,7156,230332
2014-10-07,0.051398,0.051956,0.043946,0.04849,6295,219831
2014-10-08,0.04848,0.056916,0.045983,0.054492,5934,247057
2014-10-09,0.054463,0.055547,0.049914,0.051422,2924,233152
2014-10-10,0.051375,0.053985,0.046729,0.048379,5649,219359
2014-10-11,0.048348,0.048852,0.04499,0.046534,2551,211000
2014-10-12,0.046573,0.049223,0.045872,0.046864,1161,212504
2014-10-13,0.046786,0.049366,0.045834,0.048473,4054,219806
2014-10-14,0.048628,0.050446,0.034844,0.039028,13113,176980
2014-10-15,0.039037,0.044305,0.036714,0.039756,3391,180286
2014-10-16,0.039044,0.03961,0.027743,0.028699,10052,130145
2014-10-17,0.028713,0.031674,0.027029,0.028363,1321,128624
2014-10-18,0.028376,0.029692,0.026128,0.027504,1047,124731
2014-10-19,0.027492,0.034287,0.026069,0.028703,4861,130174
2014-10-20,0.02868,0.028765,0.024815,0.02492,3198,113016
2014-10-21,0.024892,0.026233,0.022365,0.023424,3338,106237
2014-10-22,0.023403,0.024099,0.021875,0.023562,2009,106866
2014-10-23,0.02355,0.023717,0.021359,0.021479,181,97421
2014-10-24,0.021506,0.022084,0.018146,0.019181,1611,87001
2014-10-25,0.01914,0.019442,0.005583,0.011294,3735,51227
2014-10-26,0.010766,0.012149,0.009047,0.011006,3326,49922
2014-10-27,0.011011,0.015816,0.010158,0.014005,2634,63527
2014-10-28,0.014013,0.014846,0.013679,0.013781,454,62515
