Date,Open,High,Low,Close,Volume,Market Cap
2018-03-08,0.102175,0.10221,0.097212,0.097499,350963,
2018-03-09,0.09732,0.099715,0.084053,0.099465,177708,
2018-03-10,0.099414,0.108217,0.096995,0.101007,66746,
2018-03-11,0.100706,0.133854,0.095949,0.111085,466788,
2018-03-12,0.110948,0.115942,0.094016,0.102358,385855,
2018-03-13,0.102253,0.105981,0.091409,0.091692,362064,14892283.0
2018-03-14,0.091727,0.095924,0.068382,0.071983,192557,11691309.0
2018-03-15,0.072185,0.072508,0.066992,0.069855,143580,11345556.0
2018-03-16,0.069774,0.071531,0.067012,0.068885,195969,11188126.0
2018-03-17,0.06893,0.069482,0.061831,0.063328,11436,10285544.0
2018-03-18,0.063051,0.073021,0.052892,0.069904,245212,11353629.0
2018-03-19,0.069624,0.081997,0.067183,0.07767,225454,16591373.0
2018-03-20,0.07829,0.083015,0.07461,0.081454,164876,13261993.0
2018-03-21,0.081748,0.085324,0.077982,0.081348,119905,13244767.0
2018-03-22,0.081546,0.083967,0.074037,0.075262,134465,12253914.0
2018-03-23,0.0751,0.077198,0.050258,0.068302,159769,11120725.0
2018-03-24,0.068908,0.071935,0.065494,0.067111,14179,10926745.0
2018-03-25,0.066307,0.068334,0.062461,0.066725,58820,10863882.0
2018-03-26,0.066576,0.067012,0.052231,0.056596,125573,9214858.0
2018-03-27,0.056562,0.061477,0.049093,0.050041,142242,8147578.0
2018-03-28,0.050058,0.051757,0.04843,0.048642,93681,7919781.0
2018-03-29,0.048729,0.049707,0.042629,0.044085,123709,7177760.0
2018-03-30,0.043953,0.047813,0.041272,0.046278,46342,7544399.0
2018-03-31,0.046236,0.048743,0.044962,0.04519,10625,7366932.0
2018-04-01,0.045204,0.052579,0.040952,0.049552,190363,8078119.0
2018-04-02,0.049712,0.05142,0.048491,0.05045,98238,8224465.0
2018-04-03,0.050549,0.053031,0.048917,0.052746,347805,8598765.0
2018-04-04,0.05285,0.05285,0.04652,0.047167,138427,7689310.0
2018-04-05,0.047111,0.048945,0.045665,0.048061,136820,7835085.0
2018-04-06,0.047877,0.05031,0.042564,0.049578,274243,8082260.0
2018-04-07,0.049563,0.054255,0.046784,0.053064,139530,8650622.0
2018-04-08,0.05304,0.055056,0.051253,0.052061,161988,8487062.0
2018-04-09,0.052075,0.054999,0.049325,0.05121,187481,8348362.0
2018-04-10,0.051443,0.05657,0.051026,0.056153,166951,9154281.0
2018-04-11,0.056285,0.057083,0.053492,0.056319,85974,9248795.0
2018-04-12,0.056038,0.066695,0.054777,0.066516,132673,11009977.0
2018-04-13,0.066631,0.070074,0.047668,0.056143,139612,9292960.0
2018-04-14,0.056136,0.058606,0.054564,0.05746,20061,9511003.0
2018-04-15,0.057455,0.060734,0.056278,0.060336,25939,9987013.0
2018-04-16,0.060416,0.060891,0.055063,0.056006,134971,9354192.0
2018-04-17,0.056209,0.058014,0.04333,0.053004,121835,8905793.0
2018-04-18,0.053239,0.058448,0.04903,0.056743,23234,9534064.0
2018-04-19,0.057146,0.061543,0.049879,0.061543,48800,10343751.0
2018-04-20,0.06147,0.063145,0.052216,0.060474,25511,10874814.0
2018-04-21,0.060435,0.060458,0.035505,0.0594,110962,10681573.0
2018-04-22,0.055684,0.06179,0.053566,0.059961,81460,11112331.0
2018-04-23,0.059737,0.063399,0.05797,0.061357,281164,11601078.0
2018-04-24,0.061359,0.069235,0.061359,0.067477,294177,12758316.0
2018-04-25,0.067454,0.067943,0.056819,0.056819,260072,10743110.0
2018-04-26,0.057376,0.065555,0.05559,0.06531,125687,12348514.0
2018-04-27,0.065419,0.066031,0.058711,0.060588,264712,11455774.0
2018-04-28,0.060068,0.06709,0.058511,0.062414,37001,11800988.0
2018-04-29,0.063299,0.066224,0.059547,0.065172,28108,12322440.0
2018-04-30,0.065179,0.06547,0.061206,0.063508,495452,12007780.0
2018-05-01,0.063716,0.064659,0.059321,0.061888,75973,11701516.0
2018-05-02,0.061035,0.067609,0.059335,0.066727,450239,13440042.0
2018-05-03,0.066721,0.074176,0.066586,0.073262,266160,14756295.0
2018-05-04,0.073024,0.076627,0.070014,0.073515,261803,14807234.0
2018-05-05,0.073595,0.078105,0.070593,0.075118,21592,15130209.0
2018-05-06,0.075105,0.076871,0.061255,0.072862,83728,14675888.0
2018-05-07,0.073502,0.0747,0.067762,0.072575,431509,16033104.0
