Date,Open,High,Low,Close,Volume,Market Cap
2017-12-14,3.68,3.93,2.67,2.8,7945730,
2017-12-15,2.84,3.47,2.71,3.35,5085090,
2017-12-16,3.36,3.73,3.27,3.45,4989480,
2017-12-17,3.46,3.82,3.22,3.73,4087180,
2017-12-18,3.8,4.08,3.59,3.87,5502940,
2017-12-19,3.78,3.82,3.63,3.66,3237620,
2017-12-20,3.68,4.3,3.29,3.88,7526310,
2017-12-21,3.88,4.01,3.61,3.75,3026500,
2017-12-22,3.75,3.75,1.98,2.91,4584970,
2017-12-23,3.01,3.31,2.66,2.91,1870890,
2017-12-24,2.93,3.05,2.53,2.74,1940160,
2017-12-25,2.74,2.87,2.62,2.73,1419160,
2017-12-26,2.72,2.97,2.58,2.83,1630990,
2017-12-27,2.85,3.14,2.63,2.74,1769990,
2017-12-28,2.74,2.79,2.57,2.65,960314,
2017-12-29,2.67,2.68,2.49,2.49,905883,
2017-12-30,2.52,2.56,2.05,2.24,1787490,
2017-12-31,2.24,2.73,2.04,2.69,2218250,
2018-01-01,2.66,2.67,2.37,2.66,922429,
2018-01-02,2.66,2.81,2.57,2.75,792005,
2018-01-03,2.75,3.11,2.68,2.68,1520130,
2018-01-04,2.67,2.98,2.59,2.66,2009590,
2018-01-05,2.67,2.78,2.54,2.55,926722,
2018-01-06,2.48,2.82,2.4,2.69,912833,
2018-01-07,2.69,2.72,2.49,2.58,897931,
2018-01-08,2.59,2.65,2.46,2.64,703286,
2018-01-09,2.62,2.65,2.5,2.59,606332,
2018-01-10,2.52,2.6,2.33,2.42,969041,
2018-01-11,2.43,2.47,2.25,2.36,710855,
2018-01-12,2.33,2.44,2.22,2.28,568295,
2018-01-13,2.29,2.31,2.16,2.25,565528,
2018-01-14,2.25,2.45,2.15,2.41,1185660,
2018-01-15,2.39,2.53,2.31,2.44,531491,
2018-01-16,2.43,2.43,1.36,1.9,1107350,
2018-01-17,1.9,2.01,1.17,1.82,1671240,
2018-01-18,1.82,2.02,1.66,1.84,755919,
2018-01-19,1.8,1.93,1.63,1.82,565719,
2018-01-20,1.82,1.99,1.8,1.99,533093,
2018-01-21,1.98,2.01,1.74,1.84,571268,
2018-01-22,1.84,1.87,1.48,1.66,548889,
2018-01-23,1.67,1.8,1.4,1.45,574310,
2018-01-24,1.48,1.74,1.46,1.69,274162,
2018-01-25,1.7,1.86,1.65,1.69,318756,
2018-01-26,1.67,1.82,1.24,1.36,1195120,
2018-01-27,1.45,1.66,1.35,1.57,797006,
2018-01-28,1.58,1.7,1.53,1.68,466350,
2018-01-29,1.68,1.69,1.5,1.51,441912,
2018-01-30,1.51,1.66,1.34,1.34,505702,
2018-01-31,1.38,1.46,1.28,1.32,492340,
2018-02-01,1.3,1.39,0.931356,1.0,726859,
2018-02-02,0.995828,1.16,0.901002,1.09,860105,
2018-02-03,1.09,1.18,0.980958,1.14,475058,
2018-02-04,1.14,1.14,1.01,1.08,378692,
2018-02-05,1.08,1.25,1.02,1.14,630617,
2018-02-06,1.13,1.15,1.05,1.14,583549,
2018-02-07,1.13,1.33,1.09,1.15,601730,
2018-02-08,1.15,1.33,1.15,1.25,357487,
2018-02-09,1.22,1.26,1.15,1.26,217037,
2018-02-10,1.25,1.32,1.21,1.24,276826,
2018-02-11,1.25,1.25,1.15,1.19,254934,
2018-02-12,1.19,1.22,1.17,1.2,282843,
2018-02-13,1.19,1.2,1.16,1.19,208077,
2018-02-14,1.18,1.26,1.18,1.26,293209,
2018-02-15,1.24,1.3,1.22,1.3,352904,
2018-02-16,1.33,1.58,1.33,1.43,1071810,
2018-02-17,1.43,1.52,1.41,1.5,426818,
2018-02-18,1.51,1.55,1.27,1.32,763153,
2018-02-19,1.35,1.35,1.24,1.33,269786,
2018-02-20,1.33,1.33,1.19,1.19,308577,
2018-02-21,1.18,1.2,1.12,1.15,206011,
2018-02-22,1.12,1.19,0.978166,1.07,294870,
