Date,Open,High,Low,Close,Volume,Market Cap
2019-02-08,0.291849,0.291849,0.264981,0.269827,30291,
2019-02-09,0.26623,0.284427,0.245724,0.275008,27180,
2019-02-10,0.277233,0.282348,0.18958,0.223979,23970,
2019-02-11,0.235063,0.237155,0.203194,0.211242,19324,
2019-02-12,0.211573,0.22324,0.193134,0.205327,11884,
2019-02-13,0.206651,0.215179,0.186626,0.19324,14430,
2019-02-14,0.19303,0.197324,0.173104,0.175275,4238,
2019-02-15,0.175422,0.196394,0.168097,0.19597,16748,701282.0
2019-02-16,0.196075,0.217542,0.184075,0.210724,7911,769110.0
2019-02-17,0.210733,0.217738,0.17852,0.18586,6117,673633.0
2019-02-18,0.187676,0.219077,0.187676,0.211671,20899,772231.0
2019-02-19,0.21194,0.221093,0.196164,0.202879,20005,732688.0
2019-02-20,0.202756,0.204338,0.192983,0.193332,14069,699113.0
2019-02-21,0.193276,0.229829,0.192602,0.200195,16456,724990.0
2019-02-22,0.200091,0.20219,0.191977,0.196577,12699,716240.0
2019-02-23,0.196436,0.196436,0.18489,0.18861,21091,687367.0
2019-02-24,0.18866,0.196738,0.168295,0.168295,15015,613716.0
2019-02-25,0.168407,0.169085,0.154503,0.156542,26234,570720.0
2019-02-26,0.156376,0.156526,0.137186,0.138105,35812,498001.0
2019-02-27,0.138203,0.140922,0.124357,0.129601,13256,468597.0
2019-02-28,0.131455,0.131579,0.120229,0.125693,11460,454657.0
2019-03-01,0.125615,0.127873,0.120814,0.123864,16712,446242.0
2019-03-02,0.122862,0.150242,0.122862,0.148283,26701,517501.0
2019-03-03,0.149515,0.16891,0.147829,0.148527,19280,517583.0
2019-03-04,0.148521,0.174192,0.146538,0.171907,13613,597720.0
2019-03-05,0.171934,0.179977,0.158113,0.15928,11261,554640.0
2019-03-06,0.15914,0.160889,0.146996,0.156647,12748,547121.0
2019-03-07,0.156657,0.162287,0.155235,0.158713,12297,549206.0
2019-03-08,0.158802,0.160699,0.149319,0.153733,11839,533397.0
2019-03-09,0.153687,0.198202,0.152191,0.153665,15918,535344.0
2019-03-10,0.153743,0.15382,0.140023,0.142564,11986,496671.0
2019-03-11,0.143023,0.144263,0.126101,0.126101,14818,439833.0
2019-03-12,0.126189,0.132191,0.119537,0.130974,16775,456805.0
