Date,Open,High,Low,Close,Volume,Market Cap
2018-08-22,0.283519,0.294261,0.283199,0.292651,8333.0,
2018-08-23,0.292912,0.32413,0.256797,0.307195,4992.0,
2018-08-24,0.30744,0.327719,0.281274,0.298622,4882.0,
2018-08-25,0.298085,0.329996,0.268785,0.280637,10806.0,
2018-08-26,0.28124,0.300456,0.25159,0.282322,2557.0,
2018-08-27,0.28219,0.311308,0.248489,0.256071,8663.0,
2018-08-28,0.308308,0.361463,0.25559,0.304664,6050.0,
2018-08-29,0.30493,0.388132,0.281634,0.352041,11270.0,
2018-08-30,0.352234,0.686997,0.329172,0.544115,8053.0,
2018-08-31,0.54465,1.05,0.350605,0.527885,10201.0,
2018-09-01,0.527246,0.542484,0.372959,0.537411,1017.0,
2018-09-02,0.537659,0.721908,0.43917,0.653066,993.0,
2018-09-03,0.652911,0.653911,0.043462,0.292876,14685.0,
2018-09-04,0.292877,0.335545,0.211576,0.272172,4126.0,
2018-09-05,0.272396,0.295324,0.180319,0.180319,1414.0,
2018-09-06,0.180639,0.346015,0.077059,0.175416,3936.0,
2018-09-07,0.175224,0.234109,0.110488,0.21147,3157.0,
2018-09-08,0.211731,0.213069,0.120656,0.120786,2555.0,
2018-09-09,0.120729,0.158292,0.117132,0.13154,2359.0,
2018-09-10,0.131468,0.147725,0.107324,0.10771,2711.0,
2018-09-11,0.10789,0.10837,0.043769,0.062889,3288.0,
2018-09-12,0.062897,0.094946,0.046494,0.094416,2719.0,
2018-09-13,0.094498,0.095784,0.053595,0.053928,883.0,
2018-09-14,0.053895,0.07667,0.045479,0.045563,1780.0,
2018-09-15,0.045502,0.048597,0.029755,0.035685,1364.0,
2018-09-16,0.035785,0.045546,0.029715,0.040536,758.0,
2018-09-17,0.040635,0.056736,0.029766,0.045992,118.0,
2018-09-18,0.045997,0.073136,0.028783,0.063426,447.0,
2018-09-19,0.063462,0.063501,0.032315,0.045795,180.0,
2018-09-20,0.045815,0.058429,0.031992,0.048821,352.0,
2018-09-21,0.048835,0.057458,0.032964,0.055816,119.0,
2018-09-22,0.055859,0.057378,0.053703,0.055047,79.0,
2018-09-23,0.055074,0.130607,0.053617,0.115719,1283.0,
2018-09-24,0.115747,0.120481,0.053082,0.087703,891.0,
2018-09-25,0.087605,0.087643,0.041304,0.041802,676.0,
2018-09-26,0.041734,0.064039,0.041487,0.046543,634.0,
2018-09-27,0.046599,0.06049,0.039214,0.051487,630.0,
2018-09-28,0.051498,0.05181,0.03485,0.040529,739.0,
2018-09-29,0.040503,0.055246,0.011104,0.042739,1120.0,
2018-09-30,0.042723,0.042745,0.027053,0.027353,14.0,
2018-10-01,0.027272,0.034038,0.013792,0.032899,542.0,
2018-10-02,0.032807,0.032947,0.011414,0.011414,143.0,
2018-10-03,0.01142,0.031697,0.011303,0.020706,395.0,
2018-10-04,0.020731,0.020923,0.007009,0.018338,182.0,
2018-10-05,0.018386,0.018453,0.007198,0.007664,15.0,
2018-10-06,0.007681,0.032869,0.007203,0.032783,316.0,
2018-10-07,0.032905,0.032955,0.009822,0.031341,381.0,
