Date,Open,High,Low,Close,Volume,Market Cap
2018-01-23,2.39,3.27,2.05,3.09,328108.0,
2018-01-24,2.99,3.29,2.42,2.79,404537.0,48789475.0
2018-01-25,2.73,2.92,2.46,2.62,338036.0,45820600.0
2018-01-26,2.61,2.94,1.92,2.39,248051.0,41863675.0
2018-01-27,2.4,2.51,2.02,2.36,126448.0,41352500.0
2018-01-28,2.38,2.48,2.14,2.23,121828.0,38985800.0
2018-01-29,2.23,2.31,1.43,1.92,137125.0,33525450.0
2018-01-30,1.85,2.28,1.57,1.59,110775.0,27905325.0
2018-01-31,1.6,1.86,1.58,1.84,125210.0,32254950.0
2018-02-01,1.85,1.97,1.45,1.58,210220.0,27717900.0
2018-02-02,1.58,1.66,1.11,1.41,131740.0,24753050.0
2018-02-03,1.42,1.73,1.29,1.38,78974.0,24076150.0
2018-02-04,1.38,1.5,1.12,1.16,102377.0,20225450.0
2018-02-05,1.14,1.36,0.826328,0.968302,107500.0,16945285.0
2018-02-06,0.971537,1.15,0.660144,1.05,112165.0,18380775.0
2018-02-07,1.05,1.44,0.815995,1.28,169427.0,22486100.0
2018-02-08,1.28,1.35,1.12,1.2,89223.0,21070525.0
2018-02-09,1.19,1.34,1.15,1.33,47058.0,23249100.0
2018-02-10,1.33,1.36,1.1,1.11,106956.0,19342575.0
2018-02-11,1.12,1.31,0.961165,1.06,101950.0,18583425.0
2018-02-12,1.07,1.19,1.06,1.13,66210.0,19706050.0
2018-02-13,1.13,1.13,0.905849,1.01,46888.0,17750425.0
2018-02-14,1.01,1.13,0.939375,1.13,4015350.0,19724950.0
2018-02-15,1.13,1.17,1.08,1.12,3994230.0,19567625.0
2018-02-16,1.11,1.2,1.08,1.2,7548020.0,20926325.0
2018-02-17,1.2,1.23,1.0,1.0,309326.0,17537450.0
2018-02-18,0.985571,1.09,0.939596,1.03,266762.0,18064550.0
2018-02-19,1.03,1.07,0.995739,1.01,145649.0,17697225.0
2018-02-20,1.01,1.1,0.908315,0.93242,276089.0,16317350.0
2018-02-21,0.93126,0.990806,0.857908,0.941141,203591.0,16469968.0
2018-02-22,0.942417,1.48,0.890078,1.22,503947.0,21360500.0
2018-02-23,1.17,1.75,1.14,1.61,1276480.0,28191800.0
2018-02-24,1.63,1.69,1.34,1.45,371465.0,25406850.0
2018-02-25,1.44,1.45,1.15,1.16,258581.0,20220725.0
2018-02-26,1.15,1.38,1.15,1.37,239334.0,24059700.0
2018-02-27,1.41,1.57,1.3,1.32,281698.0,23169650.0
2018-02-28,1.32,1.39,1.3,1.33,118482.0,23336775.0
2018-03-01,1.34,1.53,1.32,1.4,168109.0,24575775.0
2018-03-02,1.4,1.48,1.35,1.41,138977.0,24647175.0
2018-03-03,1.41,1.48,1.29,1.34,157075.0,23536625.0
2018-03-04,1.3,1.39,1.28,1.39,68297.0,24378375.0
2018-03-05,1.39,1.45,1.13,1.26,241826.0,22054025.0
2018-03-06,1.28,1.4,1.1,1.11,193387.0,19376000.0
2018-03-07,1.11,1.2,1.0,1.08,117739.0,18937975.0
2018-03-08,1.08,1.12,0.979641,1.01,66715.0,17652425.0
2018-03-09,1.01,1.07,0.920935,1.04,111274.0,18270175.0
2018-03-10,1.04,1.1,0.952539,0.959499,77806.0,16791233.0
2018-03-11,0.956354,1.06,0.893176,0.971366,78114.0,16998905.0
2018-03-12,0.968901,1.05,0.948686,0.994945,99134.0,17411538.0
2018-03-13,0.981175,1.03,0.943028,0.964405,63758.0,16877088.0
2018-03-14,0.954372,0.979458,0.826422,0.845931,59508.0,14803793.0
2018-03-15,0.873611,0.885708,0.775666,0.833637,91781.0,14588648.0
2018-03-16,0.833513,1.17,0.800307,0.965883,336100.0,16902953.0
2018-03-17,0.948726,1.04,0.814239,0.81832,170761.0,14320600.0
2018-03-18,0.817166,0.865246,0.712424,0.779832,152158.0,13647060.0
2018-03-19,0.79552,0.847923,0.76783,0.82915,58636.0,14510125.0
2018-03-20,0.837103,0.861167,0.748055,0.828054,77680.0,14490945.0
2018-03-21,0.830989,0.866466,0.803664,0.81345,97299.0,14235375.0
2018-03-22,0.814619,0.853226,0.751259,0.786562,62163.0,13764835.0
2018-03-23,0.786477,0.786921,0.682697,0.75329,60461.0,13182575.0
2018-03-24,0.762322,0.775987,0.664774,0.719929,58302.0,12598758.0
2018-03-25,0.710436,0.745523,0.660693,0.711845,49327.0,12457288.0
2018-03-26,0.710938,0.763766,0.620762,0.658523,108532.0,11524153.0
2018-03-27,0.653613,0.717137,0.641234,0.693009,51416.0,12127658.0
2018-03-28,0.693407,0.740905,0.658441,0.704046,68887.0,12320805.0
2018-03-29,0.704875,0.714195,0.578904,0.579527,60498.0,10141723.0
2018-03-30,0.577923,0.642125,0.549148,0.615486,39923.0,10771005.0
2018-03-31,0.611661,0.70467,0.590518,0.660109,104947.0,11551908.0
2018-04-01,0.659202,0.666177,0.538515,0.557846,75957.0,9762305.0
2018-04-02,0.56012,0.594114,0.524689,0.550162,86893.0,9627835.0
2018-04-03,0.550618,0.608857,0.550551,0.587864,79460.0,10287620.0
2018-04-04,0.58784,0.590555,0.490623,0.530081,66724.0,9276418.0
2018-04-05,0.529929,0.547449,0.499384,0.531073,33333.0,9293778.0
2018-04-06,0.533331,0.539181,0.439831,0.514186,21131.0,8998255.0
2018-04-07,0.507485,0.540493,0.490099,0.52256,28415.0,9144800.0
2018-04-08,0.522788,0.554334,0.510149,0.523395,19250.0,9159413.0
2018-04-09,0.524412,0.578913,0.50461,0.534672,34847.0,9356760.0
2018-04-10,0.536121,0.659859,0.523635,0.628025,98227.0,10990438.0
2018-04-11,0.62941,0.63148,0.581243,0.61035,42583.0,10681125.0
2018-04-12,0.609787,0.770167,0.609787,0.763619,129660.0,13363333.0
2018-04-13,0.758122,0.796353,0.711426,0.7183,42795.0,12570250.0
2018-04-14,0.71831,0.766083,0.69429,0.747495,26185.0,13081163.0
2018-04-15,0.735929,0.767963,0.726432,0.763248,34189.0,13356840.0
2018-04-16,0.763263,0.790069,0.730611,0.752138,71151.0,13162415.0
2018-04-17,0.752266,0.767625,0.727962,0.748295,23546.0,13095163.0
2018-04-18,0.754663,0.835467,0.74802,0.792134,60251.0,13862345.0
2018-04-19,0.792395,0.958666,0.791868,0.928979,124065.0,16257133.0
2018-04-20,0.928657,0.9739,0.865831,0.937142,70475.0,16399985.0
2018-04-21,0.935785,1.06,0.888229,1.06,205079.0,18527950.0
2018-04-22,1.06,1.1,0.971327,1.02,136270.0,17818500.0
2018-04-23,1.02,1.32,1.0,1.16,327598.0,20323100.0
2018-04-24,1.19,1.43,1.18,1.43,185260.0,25106375.0
2018-04-25,1.4,1.41,1.08,1.21,195482.0,21179725.0
2018-04-26,1.22,1.22,0.990021,1.19,271186.0,20824650.0
2018-04-27,1.19,1.27,1.13,1.17,131824.0,20538350.0
2018-04-28,1.19,1.2,1.08,1.12,97078.0,19534900.0
2018-04-29,1.12,1.17,1.03,1.09,110847.0,19124000.0
2018-04-30,1.09,1.17,1.03,1.07,101685.0,18797625.0
2018-05-01,1.08,1.13,0.997365,1.07,110529.0,18757900.0
2018-05-02,1.07,1.14,1.05,1.11,114949.0,19448625.0
2018-05-03,1.12,1.16,1.03,1.05,157679.0,18343675.0
2018-05-04,1.05,1.13,1.0,1.05,133568.0,18432050.0
2018-05-05,1.05,1.1,0.991503,1.07,95100.0,18765600.0
2018-05-06,1.07,1.09,0.954715,1.0,65022.0,17567550.0
2018-05-07,1.0,1.01,0.941576,0.960268,66854.0,16804690.0
2018-05-08,0.963561,1.04,0.939297,0.971309,119850.0,16997908.0
2018-05-09,0.969888,1.02,0.947521,0.98896,70317.0,17306800.0
2018-05-10,0.988854,1.04,0.960456,0.9629,88368.0,16850750.0
2018-05-11,0.963923,1.02,0.894832,0.976788,100166.0,17093790.0
2018-05-12,0.940958,1.02,0.901559,0.975947,98233.0,17079073.0
2018-05-13,0.97476,1.06,0.944304,0.998732,122088.0,17477810.0
2018-05-14,0.998372,1.04,0.946558,0.987497,67697.0,17281198.0
2018-05-15,0.985935,1.0,0.874112,0.893597,199839.0,15637948.0
2018-05-16,0.893765,0.936885,0.835699,0.864204,68993.0,15123570.0
2018-05-17,0.864871,0.988688,0.853321,0.913387,84402.0,15984273.0
2018-05-18,0.91364,0.94309,0.824258,0.933273,54639.0,16332278.0
2018-05-19,0.933185,0.996795,0.897848,0.960435,79837.0,16807613.0
2018-05-20,0.964292,1.01,0.881823,0.926328,172894.0,16210740.0
2018-05-21,0.927487,0.965779,0.885314,0.908243,90151.0,15894253.0
2018-05-22,0.907259,0.980699,0.86989,0.891323,119481.0,15598153.0
2018-05-23,0.890057,0.903928,0.769186,0.797545,65077.0,13957038.0
2018-05-24,0.794949,0.849863,0.758911,0.822137,70711.0,14387398.0
2018-05-25,0.823403,0.857296,0.781459,0.83097,86862.0,14541975.0
2018-05-26,0.830282,0.846415,0.789203,0.791366,53712.0,13848905.0
2018-05-27,0.79208,0.819509,0.759751,0.793358,70280.0,13883765.0
2018-05-28,0.793615,0.807601,0.727336,0.744084,59550.0,13021470.0
