Date,Open,High,Low,Close,Volume,Market Cap
2019-02-02,0.147549,0.160481,0.054553,0.135658,663135.0,
2019-02-03,0.143625,0.144148,0.099722,0.131278,602946.0,
2019-02-04,0.132195,0.139484,0.0753,0.128394,607569.0,
2019-02-05,0.131097,0.143715,0.08191,0.120104,493176.0,
2019-02-06,0.123631,0.125124,0.054116,0.117234,407546.0,
2019-02-07,0.116526,0.130673,0.051954,0.112794,420324.0,
2019-02-08,0.11383,0.128948,0.070867,0.124686,524964.0,
2019-02-09,0.124523,0.142472,0.092975,0.093169,482054.0,
2019-02-10,0.135072,0.164683,0.121362,0.155802,528548.0,
2019-02-11,0.156952,0.156952,0.132571,0.140339,551475.0,
2019-02-12,0.14022,0.148697,0.091747,0.138345,544421.0,
2019-02-13,0.136109,0.138409,0.116724,0.13451,553520.0,
2019-02-14,0.134174,0.176836,0.123771,0.164323,366808.0,
2019-02-15,0.163999,0.255828,0.159596,0.206026,631460.0,
2019-02-16,0.199076,0.232303,0.174243,0.208019,260175.0,
2019-02-17,0.209864,0.218182,0.120247,0.206501,223346.0,
2019-02-18,0.205085,0.21389,0.1871,0.187865,147533.0,
2019-02-19,0.188087,0.206879,0.147017,0.1782,139953.0,
2019-02-20,0.178049,0.190853,0.151013,0.161855,561725.0,
2019-02-21,0.148489,0.175359,0.148489,0.171011,578746.0,
2019-02-22,0.170026,0.170026,0.139195,0.151168,367134.0,
2019-02-23,0.150745,0.158124,0.123825,0.148671,232288.0,
2019-02-24,0.150194,0.152058,0.129583,0.142804,270517.0,
2019-02-25,0.145581,0.158455,0.144962,0.15541,945764.0,
2019-02-26,0.154632,0.194026,0.149222,0.191619,653966.0,
2019-02-27,0.19169,0.20818,0.18543,0.20662,415075.0,
2019-02-28,0.206457,0.224516,0.203922,0.218698,392131.0,
2019-03-01,0.218703,0.292142,0.203622,0.211912,205505.0,
2019-03-02,0.211547,0.256481,0.210514,0.255991,375.0,
2019-03-03,0.255725,0.29321,0.218156,0.218916,77075.0,
2019-03-04,0.219213,0.238725,0.191436,0.231757,697488.0,
2019-03-05,0.231915,0.232286,0.123038,0.231011,101928.0,
2019-03-06,0.230664,0.235105,0.229275,0.234072,107.0,
2019-03-07,0.234094,0.283443,0.209663,0.281245,29502.0,
2019-03-08,0.281565,0.282819,0.176886,0.188021,3835.0,
2019-03-09,0.187889,0.251123,0.176476,0.177523,1354.0,
2019-03-10,0.177731,0.177735,0.175568,0.176775,3218.0,
2019-03-11,0.176897,0.185349,0.169565,0.183479,15.0,
2019-03-12,0.183685,0.332861,0.181576,0.330888,73.0,
2019-03-13,0.331663,0.331717,0.17552,0.181714,41305.0,
2019-03-14,0.181655,0.185278,0.071166,0.184236,29.0,
2019-03-15,0.1841,0.18864,0.164148,0.169673,,
2019-03-16,0.169923,0.19268,0.164898,0.166656,,
2019-03-17,0.166508,0.18983,0.1633,0.188681,76.0,
2019-03-18,0.188845,0.190995,0.187225,0.188232,32688.0,
2019-03-19,0.188356,0.189396,0.155483,0.157075,577304.0,
2019-03-20,0.1561,0.157682,0.137575,0.14823,315059.0,
2019-03-21,0.148742,0.151548,0.136842,0.13983,,
2019-03-22,0.139703,0.159784,0.12283,0.158307,27942.0,
2019-03-23,0.158132,0.159415,0.129288,0.153121,44.0,
2019-03-24,0.152969,0.195807,0.152261,0.161547,30507.0,
2019-03-25,0.161757,0.161956,0.127394,0.130935,,
2019-03-26,0.131037,0.18459,0.130889,0.162919,,
2019-03-27,0.162897,0.193951,0.16263,0.193951,3851.0,
2019-03-28,0.193836,0.193836,0.158014,0.1865,4937.0,
2019-03-29,0.186545,0.190264,0.163781,0.16962,21955.0,
2019-03-30,0.169278,0.190404,0.167446,0.190377,20.0,
2019-03-31,0.190377,0.190634,0.16372,0.171678,22178.0,
2019-04-01,0.171585,0.173068,0.170559,0.171948,22262.0,
2019-04-02,0.172099,0.22286,0.171856,0.221321,5859.0,
2019-04-03,0.221321,0.229066,0.221219,0.228412,,
2019-04-04,0.228412,0.228412,0.228412,0.228412,,
2019-04-05,0.228412,0.228412,0.111117,0.204418,45.0,
2019-04-06,0.204469,0.204469,0.202393,0.202747,,
2019-04-07,0.202747,0.202747,0.202747,0.202747,,
2019-04-08,0.202747,0.202747,0.202747,0.202747,,
2019-04-09,0.202747,0.202747,0.202747,0.202747,,
2019-04-10,0.202747,0.202747,0.117674,0.118651,6.0,
2019-04-11,0.118707,0.206701,0.113013,0.204898,26.0,
2019-04-12,0.204839,0.204839,0.162359,0.164859,50.0,
2019-04-13,0.164859,0.165955,0.164307,0.165714,,
2019-04-14,0.165714,0.165714,0.165714,0.165714,,
2019-04-15,0.165714,0.165714,0.112388,0.113383,11.0,
2019-04-16,0.113381,0.123116,0.113051,0.122847,9.0,
2019-04-17,0.122809,0.123836,0.12232,0.122729,,
2019-04-18,0.122729,0.122729,0.122729,0.122729,,
2019-04-19,0.122729,0.122729,0.122729,0.122729,,
2019-04-20,0.122729,0.125984,0.122729,0.125171,13.0,
2019-04-21,0.125222,0.1257,0.125144,0.125518,,
2019-04-22,0.125518,0.127159,0.125518,0.126572,24.0,
2019-04-23,0.126572,0.132043,0.126241,0.132043,,
2019-04-24,0.132043,0.132043,0.132043,0.132043,,
2019-04-25,0.132043,0.132043,0.132043,0.132043,,
2019-04-26,0.132043,0.132043,0.132043,0.132043,,
2019-04-27,0.132043,0.132043,0.132043,0.132043,,
2019-04-28,0.132043,0.132043,0.132043,0.132043,,
2019-04-29,0.132043,0.132043,0.122222,0.123229,36.0,
2019-04-30,0.123242,0.124186,0.122628,0.124183,,
2019-05-01,0.124183,0.124183,0.124183,0.124183,,
2019-05-02,0.124183,0.124183,0.124183,0.124183,,
2019-05-03,0.124183,0.124183,0.124183,0.124183,,
2019-05-04,0.124183,0.124183,0.124183,0.124183,,
2019-05-05,0.124183,0.124183,0.124183,0.124183,,
2019-05-06,0.124183,0.124183,0.124183,0.124183,,
2019-05-07,0.124183,0.124183,0.124183,0.124183,,
2019-05-08,0.124183,0.124183,0.124183,0.124183,,
2019-05-09,0.124183,0.124183,0.124183,0.124183,,
2019-05-10,0.124183,0.124183,0.124183,0.124183,,
