Date,Open,High,Low,Close,Volume,Market Cap
2018-01-30,0.32664,0.327671,0.293772,0.316473,1766030,
2018-01-31,0.318426,0.409977,0.301406,0.351051,1694220,
2018-02-01,0.33856,0.429283,0.33393,0.392092,1700280,
2018-02-02,0.390444,0.390444,0.233554,0.253454,1158460,
2018-02-03,0.256792,0.409775,0.256792,0.409775,1374880,
2018-02-04,0.405879,0.405879,0.320406,0.354551,1896250,
2018-02-05,0.351109,0.373348,0.18067,0.21479,1517540,
2018-02-06,0.218639,0.325845,0.16772,0.302605,1472550,
2018-02-07,0.296638,0.355301,0.276534,0.312378,1470990,
2018-02-08,0.31149,0.335947,0.251113,0.276159,907429,
2018-02-09,0.276497,0.293494,0.246261,0.287466,576660,
2018-02-10,0.287365,0.328361,0.225899,0.251524,1451980,
2018-02-11,0.251108,0.274655,0.22773,0.23891,802506,
2018-02-12,0.239937,0.265375,0.227326,0.259413,648349,
2018-02-13,0.250357,0.25983,0.185502,0.218737,766196,
2018-02-14,0.218642,0.218642,0.181219,0.20699,2534340,
2018-02-15,0.205844,0.233453,0.18323,0.233162,3020380,
2018-02-16,0.232547,0.263635,0.224981,0.225965,2761950,
2018-02-17,0.225759,0.234099,0.222008,0.23201,1787720,
2018-02-18,0.232257,0.241063,0.218829,0.232627,2140910,
2018-02-19,0.231747,0.245565,0.229375,0.244391,2637190,
2018-02-20,0.245503,0.2489,0.229538,0.230879,2315410,
2018-02-21,0.230119,0.232457,0.212931,0.21957,2192110,
2018-02-22,0.218559,0.238024,0.205857,0.226538,1499070,
2018-02-23,0.226283,0.243003,0.220977,0.243003,1949670,
2018-02-24,0.242555,0.273599,0.231146,0.27194,3332220,
2018-02-25,0.269683,0.273478,0.226933,0.244395,2887580,
2018-02-26,0.242813,0.257618,0.2078,0.238007,3766700,
2018-02-27,0.239273,0.246224,0.227929,0.236196,2830480,53549377.0
2018-02-28,0.235171,0.239792,0.219484,0.226454,2382540,51340712.0
2018-03-01,0.226478,0.242215,0.225302,0.240911,2281160,54618343.0
2018-03-02,0.240548,0.248046,0.233732,0.24488,2223050,55518178.0
2018-03-03,0.244496,0.24731,0.229538,0.230629,2071800,52287250.0
2018-03-04,0.231371,0.237383,0.220967,0.235883,1729450,53478415.0
2018-03-05,0.23628,0.238478,0.231073,0.234263,1842180,53111136.0
2018-03-06,0.234587,0.234587,0.199829,0.20687,1983450,46900708.0
2018-03-07,0.206899,0.209708,0.183852,0.193011,1896120,43758653.0
2018-03-08,0.193521,0.197088,0.16296,0.168231,1771860,38140635.0
2018-03-09,0.167865,0.178318,0.142744,0.177631,3280890,40271764.0
2018-03-10,0.17762,0.181167,0.165681,0.167004,1536940,37862454.0
2018-03-11,0.166474,0.172743,0.139075,0.139075,2561500,31530507.0
2018-03-12,0.140032,0.164893,0.135428,0.137916,2723350,31267743.0
2018-03-13,0.13759,0.144214,0.133735,0.135912,2475950,30813405.0
2018-03-14,0.136388,0.138832,0.100363,0.112384,4305910,25479234.0
2018-03-15,0.112457,0.114942,0.105914,0.113479,2283540,25727488.0
2018-03-16,0.113375,0.147658,0.108833,0.130841,3062830,29663729.0
2018-03-17,0.131214,0.132331,0.112689,0.11599,2626020,26296772.0
2018-03-18,0.115808,0.115808,0.090843,0.10669,2136460,24188314.0
2018-03-19,0.106654,0.112572,0.103028,0.111177,3862800,25205588.0
2018-03-20,0.112187,0.11887,0.10787,0.11579,4382110,26251429.0
2018-03-21,0.115882,0.13872,0.115058,0.129743,7919900,29414795.0
2018-03-22,0.1298,0.134616,0.116048,0.118731,6341410,26918200.0
2018-03-23,0.118719,0.125578,0.112164,0.125578,7396730,28470523.0
2018-03-24,0.127077,0.127077,0.112733,0.114053,6665020,25857623.0
2018-03-25,0.112604,0.119907,0.108341,0.116401,6657640,26389952.0
2018-03-26,0.115925,0.116629,0.101131,0.110016,6490150,24942371.0
2018-03-27,0.110146,0.112141,0.100451,0.103371,4241090,23435844.0
2018-03-28,0.103579,0.104666,0.099888,0.101654,2598540,23046573.0
2018-03-29,0.101754,0.102223,0.087006,0.08847,2195760,20057506.0
2018-03-30,0.088429,0.092561,0.080818,0.088517,2145740,20068139.0
2018-03-31,0.088758,0.095141,0.088045,0.08998,2153430,20399960.0
2018-04-01,0.089997,0.09132,0.082427,0.086349,1299180,19576642.0
2018-04-02,0.086624,0.091683,0.084622,0.085682,982103,19425445.0
2018-04-03,0.085784,0.099518,0.085151,0.098905,2381070,22423263.0
2018-04-04,0.098995,0.104186,0.088027,0.091642,2624370,20776717.0
2018-04-05,0.091735,0.10226,0.087855,0.098996,2622660,22443872.0
2018-04-06,0.098585,0.099991,0.084964,0.087048,1829490,19735230.0
2018-04-07,0.087096,0.096074,0.08693,0.089646,2176190,20324079.0
2018-04-08,0.089576,0.092453,0.089378,0.091088,2142240,20651026.0
2018-04-09,0.0912,0.092757,0.082845,0.083859,1831350,19012255.0
2018-04-10,0.083935,0.088016,0.08346,0.085747,1396510,19440182.0
2018-04-11,0.085858,0.087978,0.083438,0.087978,1422130,19946121.0
2018-04-12,0.087862,0.107213,0.087862,0.106547,2690540,24155894.0
2018-04-13,0.107169,0.118031,0.104381,0.105971,2581000,24025306.0
2018-04-14,0.104605,0.116811,0.103341,0.10955,1794890,24836722.0
2018-04-15,0.109269,0.119586,0.109269,0.117993,2094410,26750884.0
2018-04-16,0.1179,0.118741,0.109076,0.110165,2495660,24976152.0
2018-04-17,0.109785,0.116121,0.109707,0.111921,2667360,25379861.0
2018-04-18,0.111853,0.11611,0.108477,0.115812,2385690,26262207.0
2018-04-19,0.116174,0.12255,0.115618,0.120802,2999300,27393768.0
2018-04-20,0.121001,0.1353,0.118471,0.134814,3208310,30571212.0
2018-04-21,0.134724,0.136922,0.128864,0.134575,3138060,30517015.0
