Date,Open,High,Low,Close,Volume,Market Cap
2018-03-03,0.280599,0.454828,0.234742,0.408009,3014620,
2018-03-04,0.410998,0.516249,0.346315,0.514613,3230450,
2018-03-05,0.518799,0.818751,0.499515,0.791998,7397800,99442749.0
2018-03-06,0.785972,1.17,0.670116,0.700504,18916700,88386540.0
2018-03-07,0.719798,0.878069,0.625896,0.676459,8965270,86287376.0
2018-03-08,0.672634,0.685404,0.524307,0.56115,5769530,72352071.0
2018-03-09,0.560809,0.560809,0.382966,0.522098,5071290,67335542.0
2018-03-10,0.529165,0.691639,0.526937,0.568628,5432540,73389910.0
2018-03-11,0.571763,0.667749,0.545194,0.653527,2926340,84396404.0
2018-03-12,0.650765,0.663618,0.540975,0.549416,2890010,74861286.0
2018-03-13,0.545779,0.584874,0.518128,0.570999,1859580,77853320.0
2018-03-14,0.569472,0.616566,0.479624,0.491987,1846750,67087561.0
2018-03-15,0.498386,0.507518,0.403561,0.437751,2755640,59704920.0
2018-03-16,0.433948,0.474421,0.418366,0.458662,977892,62560804.0
2018-03-17,0.458271,0.458271,0.366576,0.389662,1096330,53149688.0
2018-03-18,0.391551,0.48093,0.337743,0.474334,3836400,64703728.0
2018-03-19,0.473854,0.488307,0.433582,0.486059,3542680,66307239.0
2018-03-20,0.490749,0.598848,0.475705,0.580643,2745110,79232771.0
2018-03-21,0.59252,0.749904,0.583435,0.624991,4734030,85285379.0
2018-03-22,0.626606,0.672456,0.538827,0.595639,1840040,81280047.0
2018-03-23,0.593972,0.637259,0.50459,0.614425,2260640,83843558.0
2018-03-24,0.622025,0.634771,0.578945,0.580284,1477060,79184726.0
2018-03-25,0.568455,0.63277,0.568455,0.620653,1025270,84694592.0
2018-03-26,0.621462,0.673239,0.568453,0.630265,3094240,86029152.0
2018-03-27,0.629026,0.657045,0.584095,0.639479,2551290,87289397.0
2018-03-28,0.639083,0.827348,0.619238,0.716422,5108010,97792178.0
2018-03-29,0.717523,0.765268,0.613643,0.65563,2628320,89502024.0
2018-03-30,0.647734,0.699474,0.602682,0.640512,2878550,87449878.0
2018-03-31,0.639342,0.675546,0.583466,0.587684,3198410,80240146.0
2018-04-01,0.591118,0.613799,0.487705,0.542367,2255340,74052734.0
2018-04-02,0.538364,0.616465,0.529739,0.591804,1744720,80819985.0
2018-04-03,0.592213,0.662421,0.576234,0.655627,1937100,89538346.0
2018-04-04,0.650751,0.653524,0.546699,0.551658,2066440,75341476.0
2018-04-05,0.553975,0.576383,0.534533,0.566786,1903290,77407550.0
2018-04-06,0.565593,0.575473,0.525155,0.532341,1773330,72703403.0
2018-04-07,0.531913,0.565908,0.530105,0.555651,1918420,75886920.0
2018-04-08,0.550776,0.571412,0.549439,0.557683,1712570,76164436.0
2018-04-09,0.559915,0.596698,0.493549,0.51907,4242370,70891146.0
2018-04-10,0.521889,0.532809,0.48835,0.493242,2541630,67363728.0
2018-04-11,0.494546,0.516357,0.441848,0.462473,2960810,63162434.0
2018-04-12,0.459071,0.571709,0.443258,0.568368,3622900,77625085.0
2018-04-13,0.566709,0.574183,0.505583,0.514324,2813100,70244038.0
2018-04-14,0.502644,0.534812,0.498901,0.502886,1068150,68742989.0
2018-04-15,0.506508,0.521873,0.446706,0.501095,4147940,68498164.0
2018-04-16,0.499359,0.536152,0.477582,0.500966,1561030,68850494.0
2018-04-17,0.499432,0.505305,0.482399,0.490331,2239330,67388868.0
2018-04-18,0.490307,0.499447,0.483609,0.487904,2225230,67056853.0
2018-04-19,0.485333,0.606725,0.485218,0.507926,3626110,69816622.0
2018-04-20,0.510508,0.685983,0.508464,0.572983,3454550,78761816.0
2018-04-21,0.572678,0.574485,0.515526,0.541704,3045310,74462228.0
2018-04-22,0.543007,0.582983,0.523014,0.578452,3369610,79513581.0
2018-04-23,0.560688,0.767296,0.559594,0.690924,5795550,94973898.0
2018-04-24,0.712104,0.801553,0.693766,0.768827,2777340,105705365.0
2018-04-25,0.760038,0.760038,0.643787,0.677373,4526680,93140239.0
2018-04-26,0.682181,0.718392,0.604569,0.61409,4977630,84438691.0
2018-04-27,0.615606,0.704037,0.615606,0.635293,3292770,87355470.0
2018-04-28,0.63405,0.69204,0.597192,0.634127,5897860,87197953.0
2018-04-29,0.63667,0.719402,0.592087,0.692629,4278160,95242484.0
2018-04-30,0.694775,0.702314,0.635705,0.640455,2403570,88068607.0
2018-05-01,0.641432,1.11,0.604462,0.641712,1881220,88241456.0
2018-05-02,0.644889,0.649263,0.62248,0.632002,2797260,86906240.0
2018-05-03,0.630169,0.741059,0.621298,0.636694,2995210,87574210.0
2018-05-04,0.645057,0.748569,0.628774,0.688464,5922090,94717636.0
2018-05-05,0.688033,0.742132,0.68589,0.717073,4290350,98671700.0
2018-05-06,0.716132,0.733024,0.658479,0.672568,5622730,92583150.0
2018-05-07,0.673398,0.726249,0.652864,0.703666,3908200,96863983.0
2018-05-08,0.703903,0.729991,0.669978,0.699178,2190440,96248451.0
2018-05-09,0.697608,0.800387,0.692782,0.798791,3994580,109970985.0
2018-05-10,0.805286,0.901659,0.805286,0.848046,6141890,116752560.0
2018-05-11,0.849147,0.864193,0.768375,0.806041,3777470,110969630.0
2018-05-12,0.805851,0.872187,0.746598,0.83141,4747380,114470348.0
2018-05-13,0.851218,0.851273,0.775415,0.803801,2235790,110669080.0
2018-05-14,0.804681,0.827714,0.758612,0.811977,3365580,111800048.0
2018-05-15,0.808606,0.864921,0.807361,0.851021,3714400,117175965.0
2018-05-16,0.854719,0.855164,0.782169,0.8101,2485780,111541606.0
2018-05-17,0.808986,0.854309,0.804032,0.805274,3028350,110877121.0
2018-05-18,0.809801,0.827819,0.788432,0.800458,3042310,110214012.0
2018-05-19,0.801053,0.832876,0.77758,0.77758,3538540,107063970.0
2018-05-20,0.778498,0.813253,0.723135,0.735011,3672520,101202700.0
2018-05-21,0.735039,0.739795,0.702647,0.728228,1398470,100268758.0
2018-05-22,0.7243,0.731353,0.626176,0.639808,3283650,88094324.0
2018-05-23,0.642098,0.667895,0.506523,0.567591,3599980,78166869.0
2018-05-24,0.567213,0.664191,0.543303,0.638754,1553600,87967216.0
2018-05-25,0.641715,0.658233,0.583513,0.593502,1091050,81735251.0
2018-05-26,0.592998,0.630599,0.585156,0.59676,2395480,82187758.0
