Date,Open,High,Low,Close,Volume,Market Cap
2018-03-04,0.021422,0.027193,0.021275,0.026483,6757530,
2018-03-05,0.026472,0.026792,0.021612,0.02264,5601910,
2018-03-06,0.022296,0.022343,0.019082,0.019419,4649070,
2018-03-07,0.019405,0.019548,0.013066,0.014195,6701350,
2018-03-08,0.014175,0.015125,0.012821,0.013273,2312840,
2018-03-09,0.013306,0.015299,0.012136,0.015208,3740640,
2018-03-10,0.015212,0.016416,0.013625,0.013759,1527100,
2018-03-11,0.01391,0.015406,0.013274,0.015194,1423180,
2018-03-12,0.015163,0.015812,0.01361,0.014524,1698800,
2018-03-13,0.014526,0.014648,0.013278,0.01369,1218110,
2018-03-14,0.013674,0.014089,0.010827,0.011347,2076860,
2018-03-15,0.011188,0.011435,0.009623,0.010354,1949540,64968219.0
2018-03-16,0.010281,0.010841,0.009852,0.010276,639535,64480028.0
2018-03-17,0.010263,0.01042,0.008198,0.008477,1132660,53193608.0
2018-03-18,0.008405,0.009647,0.005825,0.009015,2247500,56566388.0
2018-03-19,0.010074,0.010236,0.00859,0.009838,1764850,61730977.0
2018-03-20,0.009928,0.010494,0.009203,0.01021,1248420,64069020.0
2018-03-21,0.010234,0.010566,0.009227,0.009454,1280430,59321840.0
2018-03-22,0.009387,0.009754,0.00848,0.009247,909902,58027319.0
2018-03-23,0.009185,0.009932,0.008726,0.009883,1601890,62012722.0
2018-03-24,0.009941,0.013573,0.009835,0.012332,5467440,77381305.0
2018-03-25,0.012059,0.015706,0.011316,0.015706,7219340,98554835.0
2018-03-26,0.015662,0.01616,0.012716,0.013955,10093900,87569298.0
2018-03-27,0.014006,0.014466,0.013102,0.0139,4079740,87219156.0
2018-03-28,0.013898,0.01474,0.01331,0.013982,3643460,87736211.0
2018-03-29,0.013933,0.014239,0.012038,0.012401,3888290,77817413.0
2018-03-30,0.012375,0.012375,0.009884,0.011226,6174140,70441221.0
2018-03-31,0.011226,0.012155,0.011171,0.01164,1732290,73037164.0
2018-04-01,0.01164,0.012017,0.010304,0.011395,2244460,71503569.0
2018-04-02,0.011387,0.011887,0.010104,0.011142,4088900,69915381.0
2018-04-03,0.01115,0.011998,0.010836,0.011878,1834820,74536247.0
2018-04-04,0.011873,0.011873,0.010346,0.010573,1755990,66344941.0
2018-04-05,0.010518,0.010577,0.009672,0.009992,3767200,62696691.0
2018-04-06,0.009938,0.009998,0.008584,0.009529,2845090,59793966.0
2018-04-07,0.009539,0.010669,0.009519,0.010303,1364430,64648824.0
2018-04-08,0.010369,0.011066,0.010369,0.010786,996244,67678993.0
2018-04-09,0.01086,0.011203,0.00993,0.009986,1580040,62660672.0
2018-04-10,0.009996,0.010451,0.009599,0.010132,1510840,63575182.0
2018-04-11,0.010142,0.010301,0.00945,0.009913,1824590,62201347.0
2018-04-12,0.009892,0.013729,0.00821,0.013449,11858200,84388531.0
2018-04-13,0.013705,0.013887,0.012306,0.01282,5108490,80445358.0
2018-04-14,0.012951,0.013665,0.012611,0.013477,1620370,84567366.0
2018-04-15,0.013551,0.015332,0.013431,0.015284,3896870,95904928.0
2018-04-16,0.015279,0.015849,0.014423,0.015754,3883550,98854150.0
2018-04-17,0.015692,0.018319,0.015368,0.015796,7195040,99117070.0
2018-04-18,0.015948,0.018558,0.015796,0.018224,5420280,114355134.0
2018-04-19,0.018237,0.01976,0.017921,0.019337,6852620,121336005.0
2018-04-20,0.019266,0.020067,0.018009,0.02002,7946930,125624926.0
2018-04-21,0.020096,0.02011,0.015375,0.017711,12090500,111136090.0
2018-04-22,0.017319,0.018241,0.016675,0.017523,3879140,109957656.0
2018-04-23,0.017373,0.017507,0.01559,0.015978,6340100,100261619.0
2018-04-24,0.015961,0.017476,0.014798,0.016502,9888060,103551570.0
2018-04-25,0.016326,0.016699,0.013926,0.014486,5502550,90898781.0
2018-04-26,0.014598,0.019049,0.013127,0.017541,12555400,110070605.0
2018-04-27,0.017477,0.017477,0.015272,0.015384,6195390,96534932.0
2018-04-28,0.015268,0.016715,0.015015,0.015552,4344100,97589749.0
2018-04-29,0.015628,0.017035,0.015428,0.016936,7082700,106274266.0
2018-04-30,0.017006,0.018079,0.014648,0.014798,9078050,92857817.0
2018-05-01,0.014774,0.015006,0.013526,0.013743,4162240,86236500.0
2018-05-02,0.013585,0.0142,0.013371,0.014087,3398850,88397590.0
2018-05-03,0.013906,0.015114,0.012974,0.014769,5407570,92672079.0
2018-05-04,0.014809,0.014809,0.01316,0.01351,2092850,84775694.0
