Date,Open,High,Low,Close,Volume,Market Cap
2019-03-01,8.4e-05,8.5e-05,8.3e-05,8.3e-05,2956,
2019-03-02,8.3e-05,8.4e-05,6.8e-05,7.5e-05,105,
2019-03-03,7.6e-05,0.000136,6.7e-05,6.7e-05,5457,
2019-03-04,6.7e-05,7.6e-05,6.2e-05,6.7e-05,24561,
2019-03-05,6.7e-05,7e-05,5.7e-05,5.9e-05,270,
2019-03-06,5.9e-05,7.8e-05,5.8e-05,6.6e-05,1221,
2019-03-07,6.6e-05,0.000124,6.5e-05,0.000111,381,52509.0
2019-03-08,0.000111,0.000172,4.9e-05,4.9e-05,459,23365.0
2019-03-09,4.9e-05,0.000278,4.9e-05,0.000133,264,62796.0
2019-03-10,0.000133,0.000149,7.3e-05,7.3e-05,62,34525.0
2019-03-11,7.3e-05,7.9e-05,4.3e-05,6.9e-05,601,32420.0
2019-03-12,6.9e-05,0.000184,6.7e-05,0.000106,264,50031.0
2019-03-13,0.000106,0.000115,9e-05,0.000112,3,42503.0
2019-03-14,0.000112,0.000135,6.9e-05,9.2e-05,2128,34906.0
2019-03-15,9.2e-05,9.5e-05,6.2e-05,8.9e-05,2664,33827.0
2019-03-16,8.9e-05,9.3e-05,6e-05,6e-05,198,22846.0
2019-03-17,6e-05,0.000117,5.9e-05,7.7e-05,3995,29329.0
2019-03-18,7.7e-05,8.8e-05,5.8e-05,8.8e-05,12,33787.0
2019-03-19,8.8e-05,0.00014,2.2e-05,8.2e-05,1,31584.0
2019-03-20,8.2e-05,8.3e-05,7.4e-05,7.5e-05,70,28596.0
2019-03-21,7.5e-05,7.5e-05,3.8e-05,3.8e-05,0,14668.0
2019-03-22,3.8e-05,0.000107,3.8e-05,9.4e-05,1269,38170.0
2019-03-23,9.4e-05,9.4e-05,4.5e-05,5.3e-05,51,21300.0
2019-03-24,5.3e-05,0.000119,5.2e-05,8.7e-05,3972,35470.0
2019-03-25,8.8e-05,0.000119,6.5e-05,0.000106,10049,43199.0
2019-03-26,0.000107,0.00012,9.1e-05,0.000114,12308,46288.0
2019-03-27,0.000114,0.000462,0.000112,0.000203,28953,82187.0
2019-03-28,0.000201,0.000825,0.000157,0.000584,50026,236748.0
2019-03-29,0.000583,0.000763,0.00041,0.000523,58964,212066.0
2019-03-30,0.000523,0.000529,0.000303,0.000445,53242,180509.0
2019-03-31,0.000445,0.000445,0.000287,0.000316,32735,128236.0
2019-04-01,0.000316,0.000469,0.000232,0.000413,115699,167633.0
2019-04-02,0.000418,0.000542,0.000377,0.000424,267548,171938.0
2019-04-03,0.000424,0.000492,0.00039,0.000463,115283,188979.0
2019-04-04,0.000476,0.000489,0.00036,0.000411,207093,167723.0
2019-04-05,0.000411,0.000478,0.000378,0.000408,241749,166407.0
2019-04-06,0.000408,0.000418,0.000314,0.000332,152921,135225.0
2019-04-07,0.000331,0.000346,0.000294,0.000326,129266,132863.0
2019-04-08,0.000326,0.000363,0.000316,0.000347,95087,141382.0
2019-04-09,0.000347,0.000357,0.000289,0.000308,100429,125512.0
2019-04-10,0.000308,0.000337,0.000266,0.000266,87110,112938.0
2019-04-11,0.000267,0.000285,0.000183,0.000187,45888,79275.0
2019-04-12,0.000187,0.000234,0.000165,0.000209,19923,88496.0
2019-04-13,0.000209,0.000223,0.000186,0.000223,18479,94401.0
2019-04-14,0.000223,0.000262,0.000193,0.000257,36936,110945.0
2019-04-15,0.000257,0.000272,0.000225,0.000244,38852,105417.0
2019-04-16,0.000244,0.000244,0.000176,0.000198,40936,85508.0
2019-04-17,0.000198,0.00051,0.000176,0.000189,47579,81733.0
2019-04-18,0.000188,0.000208,0.000177,0.000182,76206,78714.0
2019-04-19,0.000182,0.000212,0.000177,0.00018,140140,77775.0
2019-04-20,0.00018,0.000216,0.000171,0.000213,52747,92107.0
2019-04-21,0.000213,0.000213,0.000162,0.000181,65473,78759.0
2019-04-22,0.000181,0.00034,0.000158,0.000177,90574,76706.0
2019-04-23,0.000177,0.000185,0.000151,0.000168,114481,72795.0
2019-04-24,0.000168,0.000173,0.000145,0.000153,105928,66230.0
2019-04-25,0.000153,0.000185,0.000132,0.000137,101270,59255.0
2019-04-26,0.000136,0.000171,0.00013,0.00015,99051,65053.0
2019-04-27,0.00015,0.000279,0.00013,0.000145,101051,70380.0
2019-04-28,0.000145,0.000218,0.000131,0.000143,94859,69353.0
2019-04-29,0.000143,0.000164,0.00013,0.000135,55397,65166.0
2019-04-30,0.000135,0.000152,0.000132,0.000137,99717,66637.0
