Date,Open,High,Low,Close,Volume,Market Cap
2018-10-17,0.055509,0.06843,0.047378,0.049281,215,
2018-10-18,0.049222,0.055071,0.038722,0.044017,184,
2018-10-19,0.044014,0.056858,0.041979,0.05511,25989,
2018-10-20,0.055112,0.069058,0.042711,0.058359,1462,
2018-10-21,0.057884,0.058073,0.048324,0.050703,444,
2018-10-22,0.050718,0.05498,0.045943,0.045944,24945,
2018-10-23,0.045944,0.0512,0.045913,0.050274,21608,
2018-10-24,0.050175,0.051809,0.049345,0.051376,16973,
2018-10-25,0.051388,0.051407,0.044227,0.05019,31167,
2018-10-26,0.050162,0.050552,0.045799,0.04842,26457,
2018-10-27,0.048369,0.050054,0.042904,0.043328,18144,
2018-10-28,0.043439,0.045832,0.043319,0.045685,18641,
2018-10-29,0.045567,0.046432,0.043268,0.043444,19423,
2018-10-30,0.043396,0.043631,0.041458,0.043238,6670,
2018-10-31,0.043253,0.043324,0.042271,0.04305,7984,
2018-11-01,0.04305,0.044758,0.043024,0.043593,16636,
2018-11-02,0.043592,0.043831,0.03387,0.03625,19704,
2018-11-03,0.03625,0.04454,0.03625,0.04429,3565,
2018-11-04,0.04429,0.044875,0.039175,0.04473,12820,
2018-11-05,0.044747,0.044886,0.041364,0.043218,25528,
2018-11-06,0.043313,0.043581,0.041212,0.04305,6792,
2018-11-07,0.043067,0.05165,0.038527,0.050534,14750,
2018-11-08,0.051445,0.05148,0.041022,0.044842,55828,
2018-11-09,0.044712,0.047321,0.036567,0.040069,11979,
2018-11-10,0.040061,0.040575,0.038855,0.039002,10886,
2018-11-11,0.038969,0.039536,0.038416,0.038685,22714,
2018-11-12,0.038479,0.042253,0.038184,0.042253,36599,
2018-11-13,0.042226,0.042265,0.03681,0.038386,3758,
2018-11-14,0.038325,0.039886,0.032616,0.033473,61078,
2018-11-15,0.03361,0.035526,0.031889,0.034522,55042,
2018-11-16,0.034527,0.037163,0.033366,0.034344,30995,
2018-11-17,0.034393,0.035286,0.034122,0.035184,31699,
2018-11-18,0.035245,0.035666,0.03502,0.035566,20293,
2018-11-19,0.035581,0.035581,0.030324,0.030511,13975,
2018-11-20,0.030373,0.031991,0.028287,0.029148,21116,
2018-11-21,0.029193,0.031949,0.028587,0.031901,26583,
2018-11-22,0.031843,0.034669,0.030865,0.033873,32052,
2018-11-23,0.033748,0.035672,0.030963,0.033071,30479,
2018-11-24,0.033056,0.033526,0.028164,0.030854,27143,
2018-11-25,0.030844,0.030917,0.025601,0.030578,27134,
2018-11-26,0.030599,0.030952,0.026814,0.029919,27300,
2018-11-27,0.029904,0.030011,0.026219,0.02929,26116,
2018-11-28,0.029331,0.030232,0.026427,0.029111,26601,
2018-11-29,0.02918,0.029221,0.025306,0.026985,27752,
2018-11-30,0.027026,0.027995,0.02559,0.025873,26197,
2018-12-01,0.025943,0.028462,0.025727,0.028006,28092,
2018-12-02,0.027973,0.028481,0.026231,0.027687,26712,
2018-12-03,0.027759,0.02845,0.025649,0.026023,19613,
2018-12-04,0.025995,0.026783,0.023673,0.023766,23628,
2018-12-05,0.023779,0.023872,0.022004,0.022979,25934,
2018-12-06,0.022968,0.024267,0.020917,0.021453,26792,
2018-12-07,0.021429,0.022066,0.018771,0.020073,21776,
2018-12-08,0.020859,0.0238,0.018866,0.022687,24637,
2018-12-09,0.022644,0.022874,0.02015,0.021332,23314,
2018-12-10,0.021308,0.022625,0.020538,0.021282,24997,
2018-12-11,0.021266,0.021422,0.018973,0.021063,24603,
2018-12-12,0.021049,0.026339,0.020803,0.026287,30125,
2018-12-13,0.026296,0.026502,0.021594,0.022404,28285,
2018-12-14,0.022412,0.024175,0.020543,0.024035,27752,
2018-12-15,0.024035,0.024204,0.021774,0.02343,21795,
2018-12-16,0.023427,0.024926,0.022662,0.022662,21117,
2018-12-17,0.022682,0.024241,0.021798,0.022597,25666,
2018-12-18,0.022595,0.02612,0.021697,0.02612,63482,
2018-12-19,0.026156,0.027725,0.022943,0.024978,74832,
2018-12-20,0.024964,0.025449,0.021222,0.024335,30411,
2018-12-21,0.024284,0.027187,0.020867,0.020973,26126,
2018-12-22,0.02097,0.022613,0.020804,0.022417,28174,
2018-12-23,0.022437,0.023493,0.021758,0.022092,27011,
2018-12-24,0.022097,0.025095,0.022097,0.023121,27912,
2018-12-25,0.023196,0.023196,0.019197,0.020387,26520,
2018-12-26,0.020405,0.021085,0.017786,0.018839,24969,
2018-12-27,0.018862,0.019774,0.017023,0.018906,28172,
2018-12-28,0.018923,0.020323,0.015936,0.019223,30225,
2018-12-29,0.01925,0.019679,0.016685,0.01671,23073,
2018-12-30,0.016699,0.021319,0.015661,0.016669,25282,
2018-12-31,0.016679,0.019949,0.01463,0.018776,31145,
2019-01-01,0.018797,0.020132,0.018443,0.020096,29171,
2019-01-02,0.020147,0.021105,0.019134,0.019295,26016,
2019-01-03,0.019318,0.021092,0.01619,0.019385,34133,
2019-01-04,0.019394,0.019964,0.017079,0.017143,20199,
2019-01-05,0.017117,0.025656,0.016098,0.016116,19866,
2019-01-06,0.016113,0.018718,0.015922,0.016683,4058,
2019-01-07,0.016688,0.019079,0.016381,0.018105,6052,
