Date,Open,High,Low,Close,Volume,Market Cap
2017-11-08,0.821087,0.825524,0.812855,0.812855,35214,
2017-11-09,0.809801,0.849214,0.773315,0.810909,23203,
2017-11-10,0.801853,0.829691,0.736564,0.749523,29127,
2017-11-11,0.741871,0.8041,0.73732,0.754228,8722,
2017-11-12,0.754293,0.823191,0.672612,0.731933,18576,
2017-11-13,0.733073,0.827505,0.727803,0.821509,7278,
2017-11-14,0.821477,0.84455,0.680159,0.780939,28550,
2017-11-15,0.78134,0.844767,0.681887,0.783939,35602,
2017-11-16,0.783412,0.8042,0.7066,0.737974,23654,
2017-11-17,0.737475,0.816586,0.710091,0.795035,24079,
2017-11-18,0.793899,0.795919,0.667994,0.740619,11896,
2017-11-19,0.739191,0.789745,0.678141,0.712006,9438,
2017-11-20,0.702244,0.818601,0.668313,0.724637,16090,
2017-11-21,0.724067,0.802955,0.687682,0.765514,13305,20732672.0
2017-11-22,0.76622,0.825976,0.735099,0.804357,24685,21784670.0
2017-11-23,0.805951,0.92704,0.775424,0.788527,32067,21355941.0
2017-11-24,0.785516,0.813205,0.692795,0.803221,19003,21753903.0
2017-11-25,0.803117,0.807475,0.662227,0.708206,18581,19180580.0
2017-11-26,0.708225,0.909163,0.692783,0.876199,54085,23730391.0
2017-11-27,0.876046,0.883303,0.695659,0.756186,29939,20480039.0
2017-11-28,0.755881,0.830625,0.695373,0.713618,38373,19327155.0
2017-11-29,0.713976,0.743147,0.566786,0.639995,28459,17333199.0
2017-11-30,0.647112,1.08,0.585688,0.595776,228158,16135601.0
2017-12-01,0.600771,0.731134,0.600771,0.703241,32065,19807957.0
2017-12-02,0.702606,0.749622,0.677406,0.677586,13217,19085341.0
2017-12-03,0.677749,0.740684,0.677722,0.729815,23295,20556458.0
2017-12-04,0.730705,0.926902,0.698123,0.827449,70398,23306482.0
2017-12-05,0.827809,0.897651,0.798649,0.837437,21791,23587811.0
2017-12-06,0.854278,0.87451,0.743583,0.773468,58263,21786017.0
2017-12-07,0.77129,0.83857,0.742758,0.817469,65332,23025379.0
2017-12-08,0.812467,0.978222,0.774164,0.958595,38024,27000428.0
2017-12-09,0.958737,1.11,0.883104,1.09,124005,30781381.0
2017-12-10,1.09,1.09,0.807018,0.928431,53657,26150809.0
2017-12-11,0.948956,1.11,0.948956,1.11,64538,31305845.0
2017-12-12,1.11,1.16,0.941901,1.13,128520,31712290.0
2017-12-13,1.13,1.38,1.1,1.33,84990,37334357.0
2017-12-14,1.33,1.39,1.14,1.3,75563,36498370.0
2017-12-15,1.32,1.56,1.19,1.45,127351,40977716.0
2017-12-16,1.46,1.92,1.41,1.77,168644,49761773.0
2017-12-17,1.77,2.05,1.7,1.87,111199,52764340.0
2017-12-18,1.87,3.0,1.68,2.96,267960,83426858.0
2017-12-19,2.9,3.29,2.29,2.75,241158,77567064.0
2017-12-20,2.75,3.15,2.46,2.69,198638,75766932.0
2017-12-21,2.69,3.01,2.54,2.57,67704,72455095.0
2017-12-22,2.58,2.62,1.65,2.02,110866,56886814.0
2017-12-23,2.03,2.41,1.89,2.27,59754,63804829.0
2017-12-24,2.28,2.73,1.96,2.73,81697,76942046.0
2017-12-25,2.63,2.76,2.27,2.43,40514,68573165.0
2017-12-26,2.43,2.87,2.31,2.7,108467,76045219.0
2017-12-27,2.7,3.91,2.7,3.52,471470,99248640.0
2017-12-28,3.46,4.03,2.8,3.63,254608,102282190.0
2017-12-29,3.64,3.85,3.11,3.41,102880,99821782.0
2017-12-30,3.49,3.53,2.73,2.89,84374,84433647.0
2017-12-31,2.88,3.21,2.63,3.16,72119,92355718.0
2018-01-01,3.17,3.43,3.02,3.06,120061,89504720.0
2018-01-02,3.19,3.49,2.84,3.03,180791,88587733.0
2018-01-03,3.05,3.56,3.02,3.55,211676,103845705.0
2018-01-04,3.55,4.78,3.54,4.63,886244,135393589.0
2018-01-05,4.65,4.66,3.62,3.78,305989,110547758.0
2018-01-06,3.79,3.94,3.19,3.64,313709,106486395.0
2018-01-07,3.75,4.16,3.39,4.01,534146,117425604.0
2018-01-08,4.03,4.57,2.9,3.72,562994,108889868.0
2018-01-09,3.72,3.77,3.13,3.48,206943,101847344.0
2018-01-10,3.48,3.65,2.81,3.23,2252040,94544496.0
2018-01-11,3.23,3.38,2.95,3.02,1158380,88420423.0
2018-01-12,3.03,3.38,2.79,2.99,1157410,87551405.0
2018-01-13,3.01,3.38,2.82,3.06,1067230,89605048.0
2018-01-14,3.08,3.18,2.51,2.68,30000300,78382114.0
2018-01-15,2.68,2.95,2.17,2.33,33019400,68112730.0
2018-01-16,2.33,2.53,1.31,1.46,16783900,42639194.0
2018-01-17,1.46,1.94,1.3,1.94,22113500,56840071.0
2018-01-18,1.94,1.95,1.55,1.72,216172,50393077.0
2018-01-19,1.72,1.98,1.55,1.9,211028,55622685.0
2018-01-20,1.91,2.28,1.91,2.07,331860,60562134.0
2018-01-21,2.05,2.07,1.51,1.8,915675,52728397.0
2018-01-22,1.73,1.98,1.7,1.75,173232,51234600.0
2018-01-23,1.75,1.86,1.65,1.79,250725,52436482.0
2018-01-24,1.79,1.92,1.68,1.85,591516,54100223.0
2018-01-25,1.86,2.16,1.85,2.03,515644,59255536.0
2018-01-26,2.02,2.16,1.94,2.07,623577,60495736.0
2018-01-27,2.08,2.2,2.02,2.04,102510,59612971.0
2018-01-28,2.04,2.45,2.04,2.41,435442,70516495.0
2018-01-29,2.41,2.49,2.33,2.39,344186,69966302.0
2018-01-30,2.39,2.61,2.09,2.09,477386,61087171.0
2018-01-31,2.09,2.18,2.04,2.11,276613,64020332.0
2018-02-01,2.11,2.16,1.62,1.67,171897,50590853.0
2018-02-02,1.67,1.75,1.34,1.57,206004,47524455.0
2018-02-03,1.57,1.82,1.54,1.77,59540,53798300.0
2018-02-04,1.77,1.79,1.51,1.54,68196,46718802.0
2018-02-05,1.54,1.6,1.35,1.35,2756300,41098944.0
