Date,Open,High,Low,Close,Volume,Market Cap
2017-08-12,0.000628,0.000639,0.000622,0.000634,71565,6579325
2017-08-13,0.000633,0.001419,0.000442,0.001179,245442,12239079
2017-08-14,0.001337,0.003317,0.000651,0.000876,126866,9118776
2017-08-15,0.000878,0.000918,0.000653,0.000841,106183,8752147
2017-08-16,0.000843,0.000909,0.000659,0.000799,57105,8310972
2017-08-17,0.000768,0.000894,0.000605,0.00089,100070,9260541
2017-08-18,0.000888,0.001365,0.000654,0.00093,127184,9673464
2017-08-19,0.00093,0.004718,0.0009,0.001475,276638,15351719
2017-08-20,0.00133,0.001757,0.001274,0.001682,204514,17498071
2017-08-21,0.001681,0.001723,0.001042,0.001291,173181,13439301
2017-08-22,0.001299,0.001338,0.000946,0.001009,55623,10686330
2017-08-23,0.001131,0.001874,0.000988,0.00127,132694,13446921
2017-08-24,0.001436,0.001466,0.00109,0.00118,177159,12493189
2017-08-25,0.00118,0.001537,0.001121,0.001291,95492,13673228
2017-08-26,0.001123,0.001409,0.00106,0.001296,47171,13736171
2017-08-27,0.001297,0.001322,0.000799,0.001049,57938,11115967
2017-08-28,0.00105,0.002429,0.000763,0.000991,36689,10502420
2017-08-29,0.000991,0.00108,0.000731,0.001033,47483,10949654
2017-08-30,0.001031,0.001135,0.000483,0.0011,124267,11664303
2017-08-31,0.0011,0.00112,0.000777,0.000849,32004,9007939
2017-09-01,0.000849,0.001081,0.000789,0.000857,25148,9083647
2017-09-02,0.000849,0.000977,0.000622,0.000857,22345,9085662
2017-09-03,0.000861,0.001069,0.000683,0.000959,30064,10168132
2017-09-04,0.00096,0.00096,0.000395,0.000568,44812,6021762
2017-09-05,0.000566,0.00088,0.000351,0.00088,22281,9333013
2017-09-06,0.000867,0.000946,0.000394,0.000662,12771,7023968
2017-09-07,0.000662,0.000829,0.000475,0.000647,11579,6866307
2017-09-08,0.000646,0.000807,0.000412,0.000599,20523,6358061
2017-09-09,0.000598,0.000599,0.000384,0.000474,11925,5035643
2017-09-10,0.000474,0.000588,0.000464,0.000536,15114,5690817
2017-09-11,0.000538,0.000592,0.000368,0.000389,19916,4131615
2017-09-12,0.00056,0.000571,0.000339,0.00034,16720,3603966
2017-09-13,0.00043,0.000505,0.000321,0.000441,10442,4681449
2017-09-14,0.000441,0.00047,0.00032,0.000339,6449,3593447
2017-09-15,0.000413,0.000474,0.000326,0.000458,6574,4866220
2017-09-16,0.000462,0.003249,0.000375,0.000461,20971,4894827
2017-09-17,0.00041,0.000497,0.000331,0.000375,6843,3981469
2017-09-18,0.000481,0.000526,0.000363,0.000477,10810,5063358
2017-09-19,0.000478,0.000515,0.000387,0.000455,5713,4827073
2017-09-20,0.000454,0.000478,0.000372,0.000427,15640,4528968
2017-09-21,0.000425,0.000483,0.000356,0.000458,6638,4860053
2017-09-22,0.000458,0.000485,0.000301,0.000442,16689,4694718
2017-09-23,0.000442,0.000484,0.000321,0.000425,5634,4515180
2017-09-24,0.000425,0.000514,0.000336,0.000504,9785,5347674
2017-09-25,0.000505,0.000568,0.000324,0.000542,15401,5753190
2017-09-26,0.000542,0.000634,0.000316,0.000445,19077,4720989
2017-09-27,0.000634,0.000634,0.00032,0.000349,25006,3703766
2017-09-28,0.000358,0.000541,0.00031,0.000346,17020,3669969
2017-09-29,0.000345,0.00057,0.000288,0.000559,25538,5936825
2017-09-30,0.000558,0.000584,0.000295,0.000327,20245,3469159
2017-10-01,0.000327,0.000626,0.000306,0.000458,11352,4858344
2017-10-02,0.000458,0.000595,0.000296,0.000552,1430,5857257
