Date,Open,High,Low,Close,Volume,Market Cap
2018-06-27,0.626359,0.626359,0.602002,0.607318,473671,
2018-06-28,0.607523,0.69967,0.607523,0.66481,371551,
2018-06-29,0.666848,0.839969,0.658403,0.721888,321223,
2018-06-30,0.729519,0.731135,0.701309,0.715361,250585,
2018-07-01,0.715733,0.755123,0.677302,0.74429,335149,
2018-07-02,0.743927,0.753203,0.677967,0.710988,383311,
2018-07-03,0.71108,0.739602,0.692612,0.724178,528034,
2018-07-04,0.724138,0.73476,0.634144,0.679636,360032,
2018-07-05,0.679696,0.680093,0.632919,0.664657,384960,
2018-07-06,0.665081,0.669034,0.645253,0.657482,276780,
2018-07-07,0.657927,0.65835,0.627488,0.65835,254345,
2018-07-08,0.658292,0.680408,0.639741,0.641953,228736,
2018-07-09,0.641931,0.642907,0.450903,0.572005,387196,
2018-07-10,0.571614,0.597259,0.514358,0.560206,336726,
2018-07-11,0.560851,0.579503,0.535367,0.550316,311920,
2018-07-12,0.550363,0.652325,0.531475,0.636413,895899,
2018-07-13,0.636684,0.652044,0.62049,0.645781,774979,
2018-07-14,0.649516,0.74313,0.644375,0.736004,335263,
2018-07-15,0.736126,0.736722,0.6752,0.68652,338177,
2018-07-16,0.685016,0.701186,0.619965,0.647674,304462,
2018-07-17,0.649684,0.709597,0.642615,0.656084,1218860,
2018-07-18,0.656646,0.679677,0.651922,0.670605,1086640,
2018-07-19,0.668653,0.6755,0.654034,0.663058,1235340,
2018-07-20,0.662902,0.70004,0.653012,0.693409,1055810,
2018-07-21,0.692822,0.729855,0.660797,0.678877,426635,
2018-07-22,0.678958,0.682094,0.651986,0.661646,401297,
2018-07-23,0.661708,0.663163,0.607864,0.645411,252052,
2018-07-24,0.639828,0.654751,0.608188,0.636985,386230,
2018-07-25,0.63822,0.650019,0.583072,0.635389,256123,
2018-07-26,0.634786,0.637282,0.621458,0.63158,340887,
2018-07-27,0.63306,0.644841,0.626084,0.637322,400094,
2018-07-28,0.63676,0.679728,0.635819,0.677392,465162,
2018-07-29,0.67573,0.699148,0.658283,0.670519,502129,
2018-07-30,0.678554,0.818582,0.648299,0.78768,604188,
2018-07-31,0.790142,0.860257,0.749612,0.857872,1027190,
2018-08-01,0.857311,0.875292,0.827075,0.86292,2385410,
2018-08-02,0.862561,0.970754,0.858608,0.970344,2748680,
2018-08-03,0.971891,1.02,0.954081,1.02,2590540,
2018-08-04,1.02,1.05,1.0,1.04,2190610,
2018-08-05,1.04,1.06,0.933285,0.944744,3595870,
2018-08-06,0.944282,1.01,0.896673,0.899911,3982590,
2018-08-07,0.909184,0.912277,0.81554,0.831739,4777710,
2018-08-08,0.824537,0.832277,0.670777,0.711966,4267760,
2018-08-09,0.709466,0.747869,0.695106,0.731175,2708800,
2018-08-10,0.741598,0.780754,0.703716,0.730377,731323,
2018-08-11,0.73889,0.777387,0.725774,0.752672,694405,
2018-08-12,0.757018,0.757018,0.635928,0.681482,671041,
2018-08-13,0.682042,0.683985,0.611473,0.632841,622166,
2018-08-14,0.632468,0.692988,0.601952,0.669514,655514,
2018-08-15,0.670297,0.68199,0.621832,0.640049,430540,
2018-08-16,0.641456,0.65184,0.601003,0.601003,277043,
2018-08-17,0.599747,0.670549,0.570601,0.589217,1444200,
2018-08-18,0.589305,0.594243,0.505429,0.50669,904908,
2018-08-19,0.512853,0.515217,0.411465,0.432795,819110,
2018-08-20,0.43363,0.441478,0.368098,0.380446,869611,
2018-08-21,0.389987,0.553424,0.27648,0.338749,1491880,
2018-08-22,0.334163,0.389138,0.269934,0.273681,2410690,
2018-08-23,0.275129,0.34467,0.269742,0.289198,3459590,
2018-08-24,0.288128,0.293529,0.123447,0.165789,10194500,
2018-08-25,0.16605,0.232326,0.16605,0.222784,2080370,
2018-08-26,0.222467,0.322961,0.221252,0.322084,1916490,
2018-08-27,0.322616,0.343493,0.278294,0.282667,11194600,
2018-08-28,0.284857,0.311568,0.241257,0.30106,3844360,
2018-08-29,0.300516,0.304355,0.281111,0.287983,2245270,
2018-08-30,0.286146,0.300099,0.281834,0.295083,1774890,
2018-08-31,0.279526,0.325117,0.279526,0.306545,2183790,
2018-09-01,0.307617,0.347931,0.306305,0.347931,2950050,
2018-09-02,0.348832,0.357385,0.301364,0.314742,3340930,
2018-09-03,0.31518,0.327118,0.305607,0.306199,8009220,
2018-09-04,0.306971,0.328177,0.301745,0.324427,8797540,
2018-09-05,0.324945,0.329813,0.311006,0.318544,1990140,
2018-09-06,0.317718,0.324858,0.305336,0.319904,2508510,
2018-09-07,0.318929,0.323432,0.31328,0.318651,2429880,
2018-09-08,0.318293,0.325696,0.299758,0.306817,1583670,
2018-09-09,0.306955,0.306955,0.275946,0.305462,1901500,
2018-09-10,0.306503,0.311626,0.292618,0.307496,4893360,
2018-09-11,0.306774,0.311706,0.289991,0.301026,7366350,
2018-09-12,0.307093,0.307093,0.290261,0.295565,1471690,
2018-09-13,0.296171,0.303509,0.288647,0.300704,1893350,
2018-09-14,0.298063,0.300519,0.291031,0.293544,1241830,
2018-09-15,0.293798,0.295827,0.267717,0.275195,1152390,
2018-09-16,0.274838,0.281935,0.271437,0.281935,3223920,
2018-09-17,0.275497,0.28538,0.268679,0.27141,8277170,
2018-09-18,0.274146,0.27416,0.202363,0.217659,3363470,
2018-09-19,0.218318,0.232637,0.185663,0.198431,824939,
2018-09-20,0.199841,0.211904,0.191738,0.20481,1051030,
2018-09-21,0.205608,0.205812,0.19155,0.198191,984959,
2018-09-22,0.197917,0.205995,0.19681,0.202077,1005310,
2018-09-23,0.202416,0.20281,0.195861,0.19716,1373610,
2018-09-24,0.197323,0.213209,0.196651,0.211283,4904610,
2018-09-25,0.210632,0.214256,0.196618,0.204164,3467690,
2018-09-26,0.203743,0.208446,0.200986,0.208157,1344620,
2018-09-27,0.205694,0.209506,0.201439,0.205169,1134960,
2018-09-28,0.204004,0.208652,0.202153,0.205039,1171980,
2018-09-29,0.205047,0.207689,0.201025,0.203372,1003240,
2018-09-30,0.203418,0.205744,0.199813,0.202732,1078640,
2018-10-01,0.202522,0.205555,0.198004,0.202516,2711050,
2018-10-02,0.202714,0.204325,0.198037,0.199996,4109850,
