Date,Open,High,Low,Close,Volume,Market Cap
2018-10-09,0.005632,0.011899,0.005606,0.010438,1036,393990
2018-10-10,0.010397,0.010432,0.004965,0.005284,1189,199465
2018-10-11,0.005267,0.00749,0.005019,0.007471,210,282012
2018-10-12,0.007462,0.008782,0.005627,0.005632,1533,213319
2018-10-13,0.005632,0.006882,0.005137,0.005607,531,212614
2018-10-14,0.005608,0.006489,0.005608,0.00597,286,243565
2018-10-15,0.005977,0.006692,0.005513,0.006535,591,266900
2018-10-16,0.006529,0.006554,0.005413,0.006453,111,263821
2018-10-17,0.006475,0.006491,0.004452,0.006016,1612,246217
2018-10-18,0.00604,0.006291,0.004585,0.005871,331,240550
2018-10-19,0.00587,0.005884,0.004823,0.004823,1176,197800
2018-10-20,0.004823,0.005947,0.004813,0.005327,208,218704
2018-10-21,0.005328,0.00592,0.005035,0.005069,421,208347
2018-10-22,0.005067,0.006377,0.005023,0.005873,376,241637
2018-10-23,0.005873,0.006868,0.004901,0.004993,1041,205654
2018-10-24,0.004971,0.005729,0.004776,0.005037,866,207645
2018-10-25,0.005039,0.005113,0.004283,0.004829,613,199309
2018-10-26,0.004819,0.005405,0.004251,0.004271,385,176470
2018-10-27,0.004271,0.00445,0.00417,0.004328,187,179009
2018-10-28,0.004329,0.005406,0.004311,0.004569,683,189167
2018-10-29,0.004568,0.004962,0.003792,0.004357,3119,180595
2018-10-30,0.004347,0.004425,0.002898,0.003975,1925,164942
2018-10-31,0.003988,0.00415,0.002962,0.00303,375,125847
2018-11-01,0.00303,0.004013,0.002754,0.003536,804,147035
2018-11-02,0.003536,0.004147,0.0031,0.003127,1010,130156
2018-11-03,0.003127,0.003691,0.003067,0.003188,476,132832
2018-11-04,0.003188,0.004002,0.003067,0.003541,795,147677
2018-11-05,0.003541,0.003881,0.00321,0.003347,298,139749
2018-11-06,0.003361,0.004432,0.003023,0.003566,2279,140805
2018-11-07,0.003566,0.003997,0.003172,0.003464,859,144931
2018-11-08,0.003462,0.003734,0.003347,0.003449,481,144454
2018-11-09,0.003452,0.003967,0.003308,0.003315,306,138981
2018-11-10,0.003315,0.003546,0.003263,0.003344,311,140342
2018-11-11,0.003341,0.003794,0.00296,0.003785,728,159023
2018-11-12,0.003795,0.003802,0.002571,0.002694,575,113286
2018-11-13,0.002682,0.013951,0.00261,0.005031,4471,211775
2018-11-14,0.004827,0.005474,0.00349,0.003537,239,149027
2018-11-15,0.003556,0.004116,0.003061,0.003108,225,131109
2018-11-16,0.003107,0.003704,0.00304,0.003297,389,139219
2018-11-17,0.003308,0.003576,0.00283,0.003136,122,132559
2018-11-18,0.003146,0.003175,0.002827,0.002867,71,121325
2018-11-19,0.002869,0.003053,0.002307,0.002325,150,98490
2018-11-20,0.002312,0.002501,0.001952,0.00205,83,86894
2018-11-21,0.002051,0.002581,0.002003,0.002576,152,109336
2018-11-22,0.002569,0.00259,0.001868,0.001912,318,81230
2018-11-23,0.001898,0.002328,0.001625,0.001682,92,71514
2018-11-24,0.00168,0.002199,0.001456,0.0015,239,63831
2018-11-25,0.0015,0.001788,0.00143,0.001559,79,66413
2018-11-26,0.001566,0.0022,0.001524,0.001627,158,69393
2018-11-27,0.001623,0.001888,0.001593,0.001741,15,74352
2018-11-28,0.001743,0.002195,0.00162,0.001871,116,79980
2018-11-29,0.001879,0.002278,0.001827,0.002139,78,91518
2018-11-30,0.002144,0.002154,0.001568,0.002006,185,85914
2018-12-01,0.002012,0.002305,0.001627,0.001917,51,82165
2018-12-02,0.001915,0.002288,0.001759,0.00224,74,96131
2018-12-03,0.002253,0.002253,0.001616,0.001618,42,69521
2018-12-04,0.001617,0.002173,0.001605,0.002173,168,93446
2018-12-05,0.002174,0.002462,0.001746,0.001913,158,82327
2018-12-06,0.001912,0.002327,0.001578,0.001796,266,77381
2018-12-07,0.001793,0.002144,0.001549,0.00211,11,90998
2018-12-08,0.002109,0.002147,0.001497,0.001608,3,69416
2018-12-09,0.001603,0.001867,0.001572,0.001845,3,79718
2018-12-10,0.001843,0.002241,0.001572,0.00183,41,79157
2018-12-11,0.001828,0.001953,0.001669,0.001764,5,76376
2018-12-12,0.001762,0.001989,0.001548,0.001989,92,86188
2018-12-13,0.00199,0.00199,0.001463,0.001523,60,66062
2018-12-14,0.001522,0.001746,0.001377,0.001739,34,75510
2018-12-15,0.001739,0.001764,0.00137,0.001586,3,68926
