Date,Open,High,Low,Close,Volume,Market Cap
2018-06-29,0.029653,0.029913,0.026094,0.029913,2454160,
2018-06-30,0.030397,0.033579,0.028283,0.033138,2186020,28955553.0
2018-07-01,0.033315,0.034371,0.032388,0.033304,1842790,29101128.0
2018-07-02,0.03329,0.041589,0.031442,0.040571,3738610,35451034.0
2018-07-03,0.040574,0.040574,0.034765,0.035313,5205110,30856680.0
2018-07-04,0.035354,0.035465,0.032352,0.033049,11768200,28878134.0
2018-07-05,0.03302,0.035412,0.032536,0.033982,9670290,29693390.0
2018-07-06,0.033911,0.034323,0.031298,0.032919,1179840,28764191.0
2018-07-07,0.032538,0.035098,0.031354,0.035098,1409710,30668289.0
2018-07-08,0.035176,0.035643,0.032562,0.035643,1755780,31144947.0
2018-07-09,0.035699,0.035699,0.032526,0.034662,1279100,30287486.0
2018-07-10,0.034654,0.034654,0.029162,0.03061,2498540,26747023.0
2018-07-11,0.03113,0.031406,0.027662,0.028867,2508170,25223902.0
2018-07-12,0.02909,0.02909,0.024763,0.025643,1759910,22406508.0
2018-07-13,0.025717,0.029533,0.025698,0.028364,3972790,24784643.0
2018-07-14,0.02832,0.02832,0.026086,0.026854,3186640,23464942.0
2018-07-15,0.026822,0.027655,0.026726,0.027205,2609620,23771559.0
2018-07-16,0.027295,0.028948,0.027087,0.028209,2571930,24702760.0
2018-07-17,0.028235,0.028353,0.024658,0.026797,4573420,23466786.0
2018-07-18,0.026795,0.028982,0.025581,0.02635,4248160,23074907.0
2018-07-19,0.026325,0.026325,0.02497,0.025217,5171760,22082817.0
2018-07-20,0.025176,0.025295,0.022145,0.022499,6259960,19702993.0
2018-07-21,0.022972,0.025102,0.022352,0.024131,1353040,23481327.0
2018-07-22,0.024382,0.025598,0.023165,0.02453,1407230,23869979.0
2018-07-23,0.024743,0.025036,0.022759,0.02347,2090130,22838407.0
2018-07-24,0.02413,0.026987,0.023342,0.025867,3142060,25170804.0
2018-07-25,0.025997,0.026193,0.023932,0.025497,3795330,24811087.0
2018-07-26,0.025428,0.02558,0.023891,0.024054,5212860,23407295.0
2018-07-27,0.024073,0.024513,0.022958,0.023596,2785060,22961033.0
2018-07-28,0.023701,0.024215,0.023183,0.023441,2768590,22810494.0
2018-07-29,0.023489,0.023641,0.022783,0.023424,1732060,22793465.0
2018-07-30,0.023413,0.023455,0.020247,0.020536,2040560,19984033.0
2018-07-31,0.021439,0.023948,0.019871,0.020127,746617,19585549.0
2018-08-01,0.020113,0.020328,0.017992,0.018454,1229590,17976497.0
2018-08-02,0.018454,0.018824,0.01715,0.017171,1667260,16726047.0
2018-08-03,0.017557,0.02095,0.017252,0.020003,3961030,19485083.0
2018-08-04,0.020005,0.020726,0.019152,0.019551,443194,19044498.0
2018-08-05,0.019529,0.020664,0.018047,0.018968,2122520,18476599.0
2018-08-06,0.019291,0.020993,0.019096,0.020559,1801880,20186778.0
2018-08-07,0.020538,0.020929,0.019296,0.019428,2553340,19076435.0
2018-08-08,0.019439,0.019439,0.017611,0.017943,1683420,17618398.0
2018-08-09,0.017989,0.018962,0.017943,0.018559,2199580,18223254.0
2018-08-10,0.018745,0.018745,0.016333,0.016623,1850130,16322180.0
2018-08-11,0.016864,0.016894,0.014385,0.015811,3176040,15526122.0
2018-08-12,0.015883,0.016327,0.015685,0.015993,1992610,15704746.0
2018-08-13,0.016031,0.016097,0.013939,0.01396,1909340,13708785.0
2018-08-14,0.013968,0.013968,0.012113,0.013385,1269630,13144141.0
2018-08-15,0.013459,0.014695,0.013459,0.013626,920582,13400846.0
2018-08-16,0.013586,0.013898,0.012812,0.013719,1317540,13698295.0
2018-08-17,0.013717,0.01518,0.013585,0.015012,1325950,14989415.0
2018-08-18,0.015238,0.015607,0.013758,0.014413,1307710,14391432.0
2018-08-19,0.01436,0.01472,0.014004,0.014344,1885910,14321639.0
2018-08-20,0.014369,0.014755,0.013214,0.013322,2001240,13302025.0
2018-08-21,0.01327,0.013747,0.013119,0.013587,2690380,13567270.0
2018-08-22,0.013551,0.014287,0.013037,0.013326,1677700,13307142.0
2018-08-23,0.013347,0.015931,0.013149,0.015931,2027660,15908317.0
