Date,Open,High,Low,Close,Volume,Market Cap
2017-02-09,0.001435,0.001968,0.001435,0.001878,322.0,1742
2017-02-10,0.001883,0.001889,0.000544,0.000544,405.0,576
2017-02-11,0.000544,0.001005,0.000472,0.000753,142.0,897
2017-02-12,0.000753,0.000753,0.000399,0.00041,44.0,542
2017-02-13,0.00041,0.000664,0.000409,0.000664,96.0,967
2017-02-14,0.000664,0.000665,0.000424,0.000593,69.0,942
2017-02-15,0.000594,0.000622,9e-05,0.000474,354.0,815
2017-02-16,0.000474,0.000474,0.000294,0.000452,91.0,838
2017-02-17,0.000451,0.000463,0.000308,0.000429,44.0,853
2017-02-18,0.00043,0.000688,0.000379,0.000685,273.0,1455
2017-02-19,0.000686,0.000686,0.000586,0.000671,168.0,1512
2017-02-20,0.000671,0.000713,0.000583,0.000713,90.0,1700
2017-02-21,0.000712,0.000719,0.000382,0.000446,187.0,1123
2017-02-22,0.000446,0.000643,0.000442,0.000503,21.0,1332
2017-02-23,0.000503,0.000509,0.000429,0.000443,7.0,1232
2017-02-24,0.000446,0.000458,0.00043,0.000458,1.0,1333
2017-02-25,0.000456,0.000503,0.000439,0.000503,5.0,1531
2017-02-26,0.000503,0.000583,0.000497,0.000583,76.0,1849
2017-02-27,0.000582,0.000586,0.000501,0.000531,18.0,1756
2017-02-28,0.000531,0.000577,0.00046,0.00046,26.0,1584
2017-03-01,0.00046,0.000497,0.000326,0.00033,143.0,1171
2017-03-02,0.000331,0.000429,0.000328,0.00035,29.0,1243
2017-03-03,0.00035,0.000435,0.000279,0.00028,43.0,995
2017-03-04,0.000281,0.000351,0.000262,0.000264,84.0,935
2017-03-05,0.000263,0.000366,0.000235,0.000266,20.0,944
2017-03-06,0.000266,0.000369,0.000241,0.000242,15.0,858
2017-03-07,0.000242,0.000343,0.000171,0.000171,10.0,608
2017-03-08,0.000171,0.000222,0.000138,0.000138,41.0,490
2017-03-09,0.000138,0.00018,0.000137,0.000166,1.0,590
2017-03-10,0.000167,0.000503,0.000108,0.000503,61.0,1783
2017-03-11,0.000502,0.000519,9.4e-05,9.4e-05,19.0,334
2017-03-12,9.4e-05,0.000134,8.5e-05,8.5e-05,17.0,303
2017-03-13,8.6e-05,0.000148,8.5e-05,0.000111,2.0,393
2017-03-14,0.000111,0.000149,9.9e-05,9.9e-05,32.0,352
2017-03-15,9.9e-05,0.000137,9.9e-05,0.000137,10.0,488
2017-03-16,0.000138,0.000138,9.2e-05,0.000119,19.0,421
2017-03-17,0.000118,0.000118,5.5e-05,5.5e-05,33.0,195
2017-03-18,5.5e-05,0.000162,5.4e-05,0.000117,10.0,415
2017-03-19,0.000117,0.000127,8.1e-05,8.3e-05,16.0,294
2017-03-20,8.3e-05,0.000117,6.3e-05,7.4e-05,8.0,262
2017-03-21,7.4e-05,0.000101,5.5e-05,5.6e-05,1.0,199
2017-03-22,5.6e-05,5.6e-05,5.1e-05,5.2e-05,1.0,186
2017-03-23,5.3e-05,5.3e-05,5.1e-05,5.3e-05,1.0,187
2017-03-25,3.8e-05,3.9e-05,3.7e-05,3.9e-05,10.0,138
2017-03-26,3.9e-05,0.000101,3.8e-05,3.9e-05,24.0,137
2017-03-27,3.9e-05,6.3e-05,3.9e-05,6.3e-05,6.0,223
2017-03-28,6.3e-05,0.000157,3.2e-05,0.000136,148.0,483
2017-03-29,0.000136,0.000136,2e-05,5.2e-05,100.0,184
2017-03-30,5.2e-05,0.000104,5.2e-05,8.2e-05,30.0,291
2017-03-31,8.2e-05,8.3e-05,5.2e-05,5.4e-05,14.0,190
2017-04-01,5.4e-05,5.5e-05,3.4e-05,3.4e-05,0.0,122
2017-04-02,3.4e-05,7.7e-05,3.4e-05,7.7e-05,10.0,273
2017-04-03,7.7e-05,7.9e-05,4.5e-05,4.5e-05,1.0,161
2017-04-04,4.5e-05,4.6e-05,3.8e-05,4.2e-05,0.0,147
2017-04-05,4.1e-05,5.1e-05,4e-05,4.8e-05,2.0,172
2017-04-06,4.9e-05,4.9e-05,3.4e-05,3.5e-05,6.0,126
2017-04-07,3.5e-05,5.9e-05,3.5e-05,5.9e-05,4.0,208
2017-04-08,5.9e-05,5.9e-05,4.3e-05,5.4e-05,27.0,190
2017-04-09,5.4e-05,7.1e-05,4.7e-05,4.8e-05,27.0,169
2017-04-10,4.7e-05,4.8e-05,3.5e-05,3.6e-05,25.0,126
2017-04-11,3.6e-05,3.6e-05,1.7e-05,3.6e-05,5.0,128
2017-04-12,3.6e-05,6e-05,3.6e-05,6e-05,2.0,213
2017-04-13,6e-05,9.5e-05,5.9e-05,8.2e-05,12.0,290
2017-04-14,8.2e-05,9.5e-05,4.6e-05,4.7e-05,6.0,166
2017-04-15,4.7e-05,4.8e-05,4.7e-05,4.7e-05,2.0,166
2017-04-16,4.7e-05,4.7e-05,4.7e-05,4.7e-05,8.0,168
2017-04-17,4.7e-05,5.9e-05,4.7e-05,4.8e-05,12.0,169
2017-04-18,4.8e-05,4.8e-05,2e-05,2e-05,0.0,73
2017-04-19,3.6e-05,3.6e-05,3.6e-05,3.6e-05,4.0,129
2017-04-20,3.6e-05,7.4e-05,3.6e-05,7.1e-05,35.0,253
2017-04-21,7.1e-05,0.000104,7.1e-05,0.000103,53.0,365
2017-04-22,0.000103,0.000103,9e-05,9.9e-05,11.0,350
2017-04-23,9.9e-05,9.9e-05,9.7e-05,9.8e-05,2.0,347
2017-04-24,3.6e-05,0.000149,3.6e-05,0.000149,360.0,529
2017-04-25,0.000149,0.000196,0.000129,0.000129,83.0,458
2017-04-26,0.000129,0.000493,0.000128,0.000492,47.0,1746
2017-04-27,0.000492,0.000495,0.000132,0.000165,26.0,587
2017-04-28,0.000165,0.000261,0.000163,0.000232,29.0,823
2017-04-29,0.000232,0.000307,0.000204,0.000255,31.0,906
2017-04-30,0.000255,0.000364,0.000224,0.000229,28.0,813
2017-05-01,0.000229,0.000366,0.000192,0.000199,127.0,707
2017-05-02,0.000199,0.000205,9.2e-05,0.000142,46.0,503
2017-05-03,0.000142,0.000269,0.000142,0.000268,19.0,951
2017-05-04,0.000268,0.000274,0.000252,0.000259,2.0,920
2017-05-05,0.00026,0.000271,0.000126,0.000137,60.0,484
2017-05-06,0.000137,0.00015,0.000121,0.000136,10.0,482
2017-05-07,0.000136,0.000138,0.000125,0.000134,12.0,474
2017-05-08,0.000134,0.000144,0.00012,0.000125,50.0,444
2017-05-09,0.000125,0.000213,0.000108,0.000115,12.0,407
2017-05-10,0.000115,0.00012,8.8e-05,8.8e-05,11.0,314
2017-05-11,9e-05,0.000356,8.9e-05,0.000116,86.0,411
2017-05-12,0.000116,0.000217,0.000111,0.00018,8.0,638
2017-05-13,0.000179,0.000202,0.000115,0.000142,4.0,503
2017-05-14,0.000142,0.000537,0.000107,0.000537,42.0,1905
2017-05-15,0.000537,0.000538,0.000135,0.000258,127.0,916
2017-05-16,0.000258,0.000258,0.000176,0.000184,20.0,654
2017-05-17,0.000184,0.000246,0.000181,0.000188,34.0,667
2017-05-18,0.000188,0.000374,0.000187,0.000207,87.0,735
2017-05-19,0.000207,0.000215,0.000207,0.000211,26.0,749
2017-05-20,0.000211,0.000414,0.000211,0.00035,40.0,1241
2017-05-21,0.00035,0.000626,0.000303,0.000449,353.0,1591
2017-05-22,0.00045,0.001336,0.000416,0.000565,508.0,2004
2017-05-23,0.000564,0.000892,0.000564,0.000878,219.0,3114
2017-05-24,0.000879,0.000967,0.00067,0.00093,363.0,3299
2017-05-25,0.000928,0.001034,0.000746,0.000805,32.0,2854
2017-05-26,0.000827,0.000895,0.000639,0.000715,121.0,2536
2017-05-27,0.000717,0.00074,0.000578,0.000628,393.0,2229
2017-05-28,0.000631,0.000855,0.000486,0.000522,323.0,1853
2017-05-29,0.000521,0.000661,0.000519,0.000586,34.0,2078
2017-05-30,0.000587,0.000622,0.000545,0.000585,51.0,2074
2017-05-31,0.000587,0.000654,0.000565,0.000572,44.0,2030
