Date,Open,High,Low,Close,Volume,Market Cap
2018-09-17,0.035538,0.041521,0.034616,0.041521,1356670,
2018-09-18,0.041462,0.044858,0.035603,0.042171,827318,
2018-09-19,0.04244,0.052617,0.042326,0.046448,1542950,
2018-09-20,0.046338,0.047448,0.040247,0.04389,4509010,
2018-09-21,0.043888,0.047064,0.041552,0.044379,8560130,
2018-09-22,0.044461,0.044461,0.040365,0.040975,8196520,
2018-09-23,0.040998,0.041405,0.030148,0.031604,4106480,
2018-09-24,0.032192,0.038191,0.032161,0.035355,1348030,
2018-09-25,0.035022,0.035224,0.029234,0.031298,2874970,
2018-09-26,0.031299,0.03337,0.028944,0.03045,15470600,
2018-09-27,0.030469,0.031786,0.026964,0.027664,544101,
2018-09-28,0.027792,0.027907,0.025082,0.025855,380640,
2018-09-29,0.025922,0.026819,0.02304,0.023577,465449,
2018-09-30,0.023803,0.026323,0.023042,0.024609,245244,8187295.0
2018-10-01,0.024632,0.026545,0.023496,0.026545,345862,8831603.0
2018-10-02,0.024138,0.026877,0.022715,0.023261,321133,7738814.0
2018-10-03,0.023314,0.023628,0.021885,0.023053,374893,7669646.0
2018-10-04,0.022866,0.028914,0.022638,0.024754,456971,8235570.0
2018-10-05,0.024739,0.026418,0.024172,0.026198,398125,8715989.0
2018-10-06,0.026154,0.027656,0.025496,0.027164,370314,9037611.0
2018-10-07,0.026815,0.027665,0.024577,0.025216,402200,8389311.0
2018-10-08,0.025222,0.031349,0.024073,0.024138,287444,8030792.0
2018-10-09,0.024137,0.02457,0.023735,0.023995,371056,7983150.0
2018-10-10,0.024151,0.024447,0.023369,0.024065,408630,8006372.0
2018-10-11,0.024167,0.024501,0.021496,0.021548,339584,7169098.0
2018-10-12,0.021507,0.022122,0.020763,0.021876,279550,7278224.0
2018-10-13,0.021768,0.022867,0.021654,0.022649,245313,7535235.0
2018-10-14,0.022741,0.023036,0.021873,0.02188,216594,7279455.0
2018-10-15,0.021953,0.025086,0.021555,0.023278,255634,7744570.0
2018-10-16,0.023236,0.023793,0.019368,0.019932,498299,9063477.0
2018-10-17,0.020025,0.020674,0.019559,0.020025,414616,9106150.0
2018-10-18,0.019978,0.020098,0.017987,0.018134,423214,8245970.0
2018-10-19,0.018265,0.018369,0.017107,0.01766,449366,8037905.0
2018-10-20,0.017659,0.018049,0.017227,0.017538,308356,7982287.0
2018-10-21,0.017373,0.017818,0.016421,0.01649,336263,7505304.0
2018-10-22,0.016475,0.016739,0.0161,0.016543,409527,7529380.0
2018-10-23,0.016645,0.017548,0.016441,0.017032,420057,7751760.0
2018-10-24,0.017028,0.017548,0.016587,0.016656,247300,7580538.0
2018-10-25,0.016704,0.017421,0.016255,0.016458,255548,7490648.0
2018-10-26,0.016449,0.016703,0.016196,0.016367,269958,7449367.0
2018-10-27,0.016352,0.016749,0.016352,0.016574,253210,7543308.0
2018-10-28,0.016519,0.016902,0.016386,0.016679,288475,7591052.0
2018-10-29,0.016622,0.016844,0.015753,0.015984,279182,7274913.0
2018-10-30,0.01602,0.016404,0.015703,0.016101,259652,7327937.0
2018-10-31,0.016044,0.016174,0.015844,0.016026,232779,7293983.0
2018-11-01,0.016027,0.018271,0.015852,0.016564,182378,7538847.0
2018-11-02,0.016559,0.016862,0.01598,0.016314,206182,7425291.0
2018-11-03,0.016125,0.016763,0.015892,0.016355,184669,7443997.0
2018-11-04,0.016284,0.016508,0.015499,0.016315,186295,7425473.0
2018-11-05,0.016321,0.016662,0.015962,0.016203,244205,7374679.0
2018-11-06,0.016187,0.016387,0.015415,0.016321,280244,7309413.0
2018-11-07,0.016342,0.016511,0.01544,0.015688,311606,7139965.0
