Date,Open,High,Low,Close,Volume,Market Cap
2018-09-07,0.058177,0.074641,0.053434,0.063808,368952,
2018-09-08,0.063792,0.08124,0.061829,0.081111,216143,
2018-09-09,0.078909,0.086452,0.073921,0.081552,151692,
2018-09-10,0.081599,0.084897,0.076566,0.081658,105634,
2018-09-11,0.081775,0.087757,0.08009,0.082385,109872,
2018-09-12,0.082374,0.10047,0.024213,0.098664,115221,
2018-09-13,0.097859,1.05,0.057179,0.384425,550062,
2018-09-14,0.407269,0.807871,0.03428,0.048458,1342540,
2018-09-15,0.048376,0.048376,0.04249,0.044138,1096620,
2018-09-16,0.043905,0.05342,0.042659,0.045397,974009,
2018-09-17,0.045364,0.055419,0.044152,0.054552,93613,
2018-09-18,0.055438,0.065915,0.046603,0.0568,511384,
2018-09-19,0.056744,0.064412,0.050816,0.059714,1037140,
2018-09-20,0.063139,0.073753,0.049768,0.073616,1543760,
2018-09-21,0.073667,0.073851,0.056056,0.060006,399123,
2018-09-22,0.060247,0.069015,0.056043,0.060786,270441,
2018-09-23,0.060651,0.060968,0.049378,0.059021,439298,
2018-09-24,0.058508,0.058508,0.047076,0.057087,92457,
2018-09-25,0.057093,0.061541,0.03904,0.051697,189175,
2018-09-26,0.052701,0.055822,0.039237,0.046539,71785,
2018-09-27,0.046805,0.068318,0.043488,0.06781,799806,
2018-09-28,0.068386,0.08375,0.058036,0.071167,1211630,
2018-09-29,0.081604,0.112143,0.065314,0.093096,1307710,
2018-09-30,0.106928,0.108606,0.087221,0.091246,1560200,
2018-10-01,0.09352,0.12906,0.091084,0.11871,2006970,
2018-10-02,0.129178,0.162417,0.112476,0.150531,1720320,
2018-10-03,0.15234,0.161991,0.146723,0.150393,1193790,
2018-10-04,0.150072,0.220944,0.149845,0.179755,1620480,
2018-10-05,0.19788,0.205095,0.155957,0.158548,859896,
2018-10-06,0.175871,0.176355,0.11844,0.150014,936577,
2018-10-07,0.158112,0.159219,0.117572,0.147564,892911,
2018-10-08,0.150167,0.168942,0.140635,0.167481,890917,
2018-10-09,0.161447,0.168211,0.146562,0.157259,499284,
2018-10-10,0.157945,0.186536,0.149633,0.169286,516076,
2018-10-11,0.169022,0.169047,0.13925,0.13925,458951,
2018-10-12,0.141633,0.154872,0.136526,0.144979,437043,
2018-10-13,0.14967,0.159142,0.132984,0.156954,520779,
2018-10-14,0.154074,0.169736,0.142646,0.157558,641410,
2018-10-15,0.161205,0.180392,0.144607,0.17534,609389,
2018-10-16,0.175637,0.194265,0.169143,0.185284,458718,
2018-10-17,0.185325,0.237419,0.172742,0.22784,1437020,
2018-10-18,0.227459,0.234946,0.173869,0.195122,475756,
2018-10-19,0.207044,0.207293,0.152305,0.180052,291231,
2018-10-20,0.186376,0.187357,0.174435,0.187357,152959,
2018-10-21,0.187154,0.213434,0.169038,0.186456,288935,
2018-10-22,0.186938,0.224431,0.186938,0.203829,349495,
2018-10-23,0.212376,0.217062,0.188074,0.216783,402650,
2018-10-24,0.216838,0.229504,0.208182,0.221669,309884,
2018-10-25,0.22175,0.240435,0.220425,0.236646,252836,
2018-10-26,0.236649,0.248276,0.235402,0.24453,182429,
2018-10-27,0.24955,0.254916,0.233977,0.248124,114000,
2018-10-28,0.248041,0.254987,0.233543,0.250589,149618,
2018-10-29,0.251038,0.25711,0.240678,0.242699,406120,
2018-10-30,0.242724,0.252734,0.232375,0.249038,129378,
2018-10-31,0.248753,0.265049,0.242341,0.251793,208214,
2018-11-01,0.251793,0.263105,0.246297,0.256533,98370,
2018-11-02,0.257085,0.258402,0.247929,0.252721,122164,
2018-11-03,0.258148,0.258984,0.250734,0.255781,75748,
2018-11-04,0.255781,0.263935,0.247599,0.253569,45644,
2018-11-05,0.248185,0.266725,0.246287,0.263236,53007,
2018-11-06,0.263062,0.274041,0.257043,0.274041,82686,
2018-11-07,0.27455,0.27455,0.254094,0.267087,160440,
2018-11-08,0.266773,0.272748,0.260018,0.268574,162776,
2018-11-09,0.268362,0.272172,0.262811,0.263694,54080,
2018-11-10,0.271538,0.277053,0.264561,0.27035,57594,
2018-11-11,0.270627,0.274345,0.262404,0.270429,32447,
2018-11-12,0.269603,0.275414,0.25916,0.271819,274704,
2018-11-13,0.272031,0.272655,0.254137,0.258107,32266,
2018-11-14,0.257551,0.267701,0.233952,0.252541,149377,
2018-11-15,0.252583,0.267005,0.240307,0.251971,90592,
2018-11-16,0.251944,0.273192,0.240848,0.26561,130085,
2018-11-17,0.266107,0.267325,0.256166,0.257657,19275,
2018-11-18,0.266574,0.273053,0.25931,0.26304,25997,
2018-11-19,0.270017,0.278876,0.250427,0.26162,139358,
2018-11-20,0.260735,0.285179,0.245867,0.248163,87900,
2018-11-21,0.263026,0.273783,0.245548,0.262263,52815,
2018-11-22,0.262352,0.270037,0.248512,0.254278,37968,
2018-11-23,0.250536,0.273382,0.249017,0.258657,31605,
2018-11-24,0.258801,0.270395,0.231011,0.252266,32717,
2018-11-25,0.252319,0.410945,0.074463,0.074974,105434,
2018-11-26,0.074867,0.11826,0.060449,0.094127,108489,
2018-11-27,0.094291,0.114958,0.090075,0.107517,16134,
2018-11-28,0.107575,0.123711,0.09165,0.106292,14911,
2018-11-29,0.106261,0.114432,0.0958,0.097709,10192,
2018-11-30,0.098018,0.102384,0.086063,0.090402,15932,
2018-12-01,0.090507,0.094798,0.08547,0.085942,1958,
2018-12-02,0.085644,0.087943,0.080219,0.080556,8759,
2018-12-03,0.08057,0.086137,0.075103,0.075154,13860,
2018-12-04,0.074901,0.088811,0.070871,0.08452,3007,
2018-12-05,0.084573,0.098988,0.072967,0.074716,27433,
2018-12-06,0.07433,0.08857,0.07433,0.074838,5273,
2018-12-07,0.074217,0.080516,0.062456,0.074074,12660,
2018-12-08,0.074032,0.08179,0.058436,0.062932,4424,
2018-12-09,0.062558,0.066067,0.058989,0.061022,5261,
2018-12-10,0.060781,0.062298,0.040978,0.041336,4346,
2018-12-11,0.041276,0.041576,0.031648,0.031707,4967,
2018-12-12,0.031732,0.036448,0.022249,0.02282,8873,
2018-12-13,0.022816,0.0313,0.021221,0.022126,6787,
2018-12-14,0.021779,0.02478,0.012696,0.013219,6681,
2018-12-15,0.012795,0.013993,0.010373,0.011216,6120,
2018-12-16,0.011236,0.015716,0.010914,0.013732,3265,
2018-12-17,0.013208,0.022565,0.013178,0.022134,9096,
