Date,Open,High,Low,Close,Volume,Market Cap
2018-04-17,0.036966,0.100813,0.036837,0.080334,108048,
2018-04-18,0.080374,0.126355,0.063415,0.093764,646260,
2018-04-19,0.092692,0.105127,0.086641,0.097654,861743,
2018-04-20,0.097521,0.105045,0.09358,0.103913,570841,
2018-04-21,0.103845,0.103919,0.088715,0.094975,483042,
2018-04-22,0.094673,0.097382,0.089925,0.091417,548223,
2018-04-23,0.091078,0.124272,0.085556,0.124272,755586,
2018-04-24,0.124276,0.205373,0.124276,0.205309,1749050,
2018-04-25,0.209177,0.209177,0.150703,0.15398,930920,
2018-04-26,0.155491,0.189288,0.154317,0.184778,869192,
2018-04-27,0.184284,0.192538,0.145718,0.146756,486382,
2018-04-28,0.136956,0.173825,0.135655,0.145069,2032520,
2018-04-29,0.140728,0.146962,0.106719,0.128054,1510930,
2018-04-30,0.124106,0.155849,0.086304,0.107845,2736410,
2018-05-01,0.105582,0.120644,0.096077,0.119856,2730830,
2018-05-02,0.118217,0.177692,0.118066,0.163341,4088720,
2018-05-03,0.162625,0.19559,0.154132,0.183044,4502860,
2018-05-04,0.182643,0.192394,0.139307,0.150754,2708460,
2018-05-05,0.155722,0.169062,0.138694,0.140273,1489980,
2018-05-06,0.13995,0.142447,0.096189,0.113014,2663050,
2018-05-07,0.115203,0.136257,0.101959,0.132408,2197860,
2018-05-08,0.13318,0.200329,0.13318,0.194411,6659490,
2018-05-09,0.193823,0.232601,0.169508,0.223711,9908350,
2018-05-10,0.226594,0.226594,0.169813,0.181763,7087660,
2018-05-11,0.182091,0.182091,0.154156,0.161522,3250100,
2018-05-12,0.16052,0.161976,0.134124,0.151007,2889750,
2018-05-13,0.150614,0.230811,0.150058,0.215055,6385930,
2018-05-14,0.212313,0.27287,0.201682,0.250187,11945400,
2018-05-15,0.24983,0.260594,0.201283,0.218121,6932290,
2018-05-16,0.217584,0.241825,0.185561,0.233961,7030210,
2018-05-17,0.232642,0.245897,0.210365,0.215503,3646250,
2018-05-18,0.215946,0.219306,0.207028,0.217469,2895030,
2018-05-19,0.218262,0.224103,0.210419,0.216577,2032820,
2018-05-20,0.21674,0.226341,0.21051,0.226341,3140830,
2018-05-21,0.226437,0.241926,0.21318,0.214825,3805510,141946731.0
2018-05-22,0.214572,0.219745,0.189104,0.191336,2029070,126426253.0
2018-05-23,0.19038,0.216443,0.16591,0.168749,19658300,111501775.0
2018-05-24,0.167574,0.184705,0.166084,0.173306,5715880,114512837.0
2018-05-25,0.173461,0.180541,0.165352,0.177947,2932290,117579401.0
2018-05-26,0.177773,0.190634,0.170097,0.174607,10347200,115372479.0
2018-05-27,0.174023,0.174023,0.157785,0.161017,4107430,106392816.0
2018-05-28,0.160936,0.164954,0.141549,0.141549,2648490,93529235.0
2018-05-29,0.141067,0.147316,0.132164,0.143743,3625380,94978931.0
2018-05-30,0.143859,0.144517,0.130447,0.134224,4264630,88689203.0
2018-05-31,0.133529,0.154539,0.130993,0.153962,2545670,101731189.0
2018-06-01,0.155558,0.174174,0.149735,0.160271,2093400,105899893.0
2018-06-02,0.161575,0.183974,0.159884,0.17212,1791780,113729181.0
2018-06-03,0.170826,0.172507,0.158896,0.159322,1287520,105272836.0
2018-06-04,0.15954,0.16049,0.146084,0.149694,787307,98911085.0
2018-06-05,0.149324,0.15589,0.139915,0.154023,869728,101771495.0
2018-06-06,0.152459,0.164129,0.143882,0.14678,608561,96985645.0
2018-06-07,0.14656,0.156531,0.145657,0.154371,712140,102001437.0
2018-06-08,0.154531,0.156746,0.142722,0.143172,708285,94601640.0
2018-06-09,0.144164,0.156587,0.143857,0.153755,1933710,101594412.0
2018-06-10,0.154266,0.154266,0.127744,0.132151,1858880,87319457.0
2018-06-11,0.134542,0.134542,0.117582,0.122605,1089000,81011888.0
2018-06-12,0.123106,0.124684,0.116817,0.117383,1202550,77561425.0
2018-06-13,0.117681,0.118967,0.107581,0.115294,1030680,76181107.0
2018-06-14,0.115317,0.151148,0.114641,0.148737,2394000,98278743.0
2018-06-15,0.149412,0.149879,0.136786,0.14045,1582950,92803065.0
2018-06-16,0.139774,0.147885,0.136282,0.14003,1270220,92525547.0
2018-06-17,0.140318,0.145477,0.13886,0.142101,1011300,93893971.0
2018-06-18,0.141965,0.147027,0.139041,0.14448,1217670,95465908.0
2018-06-19,0.144445,0.144627,0.133871,0.138032,1039650,91205359.0
2018-06-20,0.138179,0.138631,0.128708,0.135932,1379190,89817773.0
2018-06-21,0.136008,0.136311,0.126132,0.127556,1062690,84283287.0
2018-06-22,0.127245,0.127764,0.108239,0.10873,968467,71843910.0
2018-06-23,0.109566,0.110955,0.106126,0.108692,739100,71818802.0
2018-06-24,0.108332,0.108612,0.091105,0.099717,885682,65888656.0
2018-06-25,0.098949,0.107203,0.096773,0.104828,913778,69265644.0
2018-06-26,0.104969,0.106287,0.101209,0.101209,848278,66874371.0
2018-06-27,0.101309,0.102242,0.098566,0.101753,793150,67233822.0
2018-06-28,0.101612,0.102511,0.080837,0.080911,709524,53462560.0
2018-06-29,0.080862,0.08316,0.073786,0.081838,570463,54074948.0
2018-06-30,0.082046,0.085875,0.076378,0.080167,305830,52970496.0
2018-07-01,0.080238,0.081331,0.066997,0.075145,605847,49652514.0
2018-07-02,0.075409,0.078526,0.070011,0.074533,372846,49247801.0
2018-07-03,0.074128,0.076269,0.071308,0.072256,360754,47743658.0
2018-07-04,0.071712,0.074816,0.067801,0.069796,233322,46117870.0
2018-07-05,0.070243,0.072075,0.060745,0.066473,349776,43922577.0
2018-07-06,0.06566,0.069584,0.059043,0.069584,488019,45978319.0
2018-07-07,0.069469,0.073857,0.066331,0.069553,310098,45957174.0
2018-07-08,0.069193,0.071066,0.066977,0.069959,224491,46225705.0
2018-07-09,0.070159,0.070589,0.065666,0.065666,177828,43389017.0
2018-07-10,0.066277,0.066277,0.056622,0.056634,261686,37421341.0
2018-07-11,0.056638,0.059745,0.052704,0.05434,310641,35905436.0
2018-07-12,0.054815,0.055634,0.05042,0.051817,164722,34238483.0
2018-07-13,0.051626,0.053105,0.051091,0.05191,151664,34299999.0
2018-07-14,0.051935,0.052903,0.048701,0.050224,117832,33186032.0
2018-07-15,0.050807,0.063468,0.04906,0.057616,450449,38070202.0
2018-07-16,0.057628,0.058176,0.05202,0.05651,387621,37339011.0
2018-07-17,0.056596,0.061757,0.056378,0.061552,222940,40670803.0
2018-07-18,0.061913,0.064988,0.058735,0.059244,326784,39145846.0
2018-07-19,0.059178,0.062703,0.055021,0.057694,288055,38121741.0
2018-07-20,0.057217,0.057616,0.050429,0.050666,172571,33477888.0
2018-07-21,0.050679,0.05206,0.048656,0.051529,116570,34047855.0
