Date,Open,High,Low,Close,Volume,Market Cap
2016-12-07,0.013359,0.038543,0.005392,0.018443,1481.0,17802
2016-12-08,0.018443,0.038705,0.009873,0.037708,423.0,36762
2016-12-09,0.037658,0.07741,0.022392,0.054096,559.0,53197
2016-12-10,0.054112,0.054125,0.03096,0.041056,201.0,40728
2016-12-11,0.041062,0.063071,0.02761,0.042066,3295.0,42112
2016-12-12,0.042083,0.066169,0.024225,0.027629,1635.0,27895
2016-12-13,0.027648,0.029241,0.014507,0.017286,1361.0,17607
2016-12-14,0.017286,0.018694,0.007114,0.011824,209.0,12159
2016-12-15,0.011824,0.013344,0.003958,0.013341,475.0,13860
2016-12-16,0.013356,0.014824,0.004644,0.005071,226.0,5326
2016-12-17,0.005073,0.007589,0.003959,0.004759,58.0,5056
2016-12-18,0.00476,0.00627,0.003947,0.005134,757.0,5513
2016-12-19,0.005135,0.01123,0.003992,0.006699,1612.0,7272
2016-12-20,0.006696,0.008569,0.004754,0.005311,222.0,5825
2016-12-21,0.00531,0.006437,0.004858,0.005021,1290.0,5565
2016-12-22,0.00502,0.005795,0.004512,0.005041,34.0,5647
2016-12-23,0.00504,0.005308,0.002077,0.003294,54.0,3728
2016-12-24,0.003294,0.005063,0.002487,0.00249,1724.0,2848
2016-12-25,0.002493,0.004145,0.002161,0.003945,32.0,4560
2016-12-26,0.003948,0.003975,0.002208,0.002289,17.0,2671
2016-12-27,0.002289,0.002362,0.00176,0.002208,40.0,2604
2016-12-28,0.002212,0.008742,0.002212,0.004629,136.0,5514
2016-12-29,0.004625,0.004792,0.002881,0.003261,36.0,3925
2016-12-30,0.003261,0.00339,0.002634,0.002885,41.0,3508
2016-12-31,0.002884,0.002909,0.002577,0.002592,31.0,3184
2017-01-01,0.002593,0.003569,0.002574,0.002678,17.0,3320
2017-01-02,0.002678,0.003466,0.002156,0.002167,29.0,2713
2017-01-03,0.002167,0.006218,0.002167,0.003666,44.0,4628
2017-01-04,0.003668,0.003668,0.002362,0.002795,72.0,3559
2017-01-05,0.0028,0.00298,0.001625,0.001844,25.0,2369
2017-01-06,0.001846,0.002365,0.001349,0.001422,24.0,1845
2017-01-07,0.001424,0.002213,0.001274,0.001595,20.0,2089
2017-01-08,0.001595,0.001692,0.00118,0.001212,9.0,1601
2017-01-09,0.001212,0.001815,0.00117,0.001618,1.0,2158
2017-01-10,0.001618,0.003349,0.001562,0.002234,8.0,3005
2017-01-11,0.002553,0.002629,0.001245,0.001247,16.0,1693
2017-01-12,0.00125,0.0024,0.001223,0.001963,54.0,2676
2017-01-13,0.001961,0.002092,0.001055,0.001499,31.0,2062
2017-01-14,0.0015,0.00412,0.001029,0.003841,110.0,5324
2017-01-15,0.003837,0.004332,0.001542,0.00387,244.0,5412
2017-01-16,0.003906,0.003954,0.00164,0.00224,50.0,3159
2017-01-17,0.002238,0.002425,0.00176,0.00181,39.0,2575
2017-01-18,0.001813,0.00254,0.001773,0.002322,26.0,3330
2017-01-19,0.002322,0.002351,0.001783,0.001814,21.0,2623
2017-01-20,0.001812,0.001851,0.001681,0.001684,8.0,2456
2017-01-21,0.001684,0.001775,0.001575,0.001582,17.0,2327
2017-01-22,0.001583,0.001901,0.001502,0.001843,19.0,2734
2017-01-23,0.001847,0.001969,0.001533,0.001561,8.0,2335
2017-01-24,0.001543,0.003469,0.001501,0.001562,443.0,2352
2017-01-25,0.00156,0.003457,0.00156,0.002467,129.0,3732
2017-01-26,0.002469,0.002677,0.00188,0.001898,32.0,2894
2017-01-27,0.001898,0.002249,0.001703,0.002152,98.0,3309
2017-01-28,0.002152,0.002154,0.001658,0.001705,6.0,2642
2017-01-29,0.001706,0.001864,0.001638,0.001638,15.0,2553
2017-01-30,0.001639,0.001892,0.001271,0.001327,42.0,2082
2017-01-31,0.001327,0.00176,0.001327,0.001553,0.0,2453
2017-02-01,0.001554,0.002141,0.001505,0.001623,9.0,2586
2017-02-02,0.001625,0.002217,0.001579,0.002216,12.0,3556
2017-02-03,0.002215,0.002276,0.001639,0.002276,20.0,3681
2017-02-04,0.002279,0.002285,0.001649,0.00166,5.0,2701
2017-02-05,0.001661,0.020518,0.001276,0.012817,1268.0,21028
2017-02-06,0.01283,0.012882,0.003286,0.009662,598.0,15969
2017-02-07,0.00968,0.010256,0.005019,0.008743,913.0,14556
2017-02-08,0.008751,0.010699,0.004905,0.004906,62.0,8229
2017-02-09,0.004914,0.009212,0.004543,0.008442,1717.0,14265
2017-02-10,0.008453,0.008481,0.004883,0.00832,3278.0,14162
2017-02-11,0.008302,0.008305,0.005017,0.007613,2474.0,13050
2017-02-12,0.007606,0.008471,0.005549,0.007063,2931.0,12195
2017-02-13,0.007061,0.008381,0.005668,0.007612,4667.0,13237
2017-02-14,0.00762,0.007627,0.004201,0.004336,249.0,7593
2017-02-15,0.004343,0.005061,0.003612,0.003939,94.0,6946
2017-02-16,0.003941,0.00436,0.00374,0.003754,20.0,6666
2017-02-17,0.003749,0.005205,0.003668,0.004512,50.0,8067
2017-02-18,0.004525,0.006155,0.003533,0.00357,32.0,6426
2017-02-19,0.003571,0.003804,0.002195,0.002196,38.0,3978
2017-02-20,0.002197,0.003283,0.002191,0.002682,8.0,4894
2017-02-21,0.002681,0.003567,0.002395,0.002591,16.0,4759
2017-02-22,0.00259,0.002768,0.002053,0.00259,20.0,4789
2017-02-23,0.00259,0.003536,0.002177,0.003513,26.0,6537
2017-02-24,0.003531,0.00469,0.002859,0.003019,52.0,5655
2017-02-25,0.00301,0.00386,0.002353,0.003853,19.0,7265
2017-02-26,0.003855,0.005459,0.002629,0.003164,105.0,6003
2017-02-27,0.00316,0.00356,0.001266,0.001582,165.0,3022
2017-02-28,0.001583,0.004428,0.001583,0.003086,272.0,5932
