Date,Open,High,Low,Close,Volume,Market Cap
2018-10-17,0.022328,0.030765,0.022186,0.027731,15512,
2018-10-18,0.02784,0.02784,0.022163,0.022925,4069,
2018-10-19,0.022922,0.026737,0.022922,0.025665,4669,
2018-10-20,0.025657,0.027831,0.024544,0.026298,4951,
2018-10-21,0.026304,0.027966,0.025567,0.026964,3595,
2018-10-22,0.026572,0.027752,0.021859,0.021859,4748,
2018-10-23,0.021858,0.025698,0.021375,0.021427,2121,
2018-10-24,0.021375,0.023911,0.021115,0.021964,4372,
2018-10-25,0.022108,0.028291,0.021153,0.024898,8100,
2018-10-26,0.02483,0.033739,0.021257,0.021979,7906,
2018-10-27,0.022012,0.024512,0.020952,0.022946,8831,
2018-10-28,0.023212,0.024427,0.017887,0.020485,8370,
2018-10-29,0.02053,0.024847,0.019349,0.019669,8648,
2018-10-30,0.019641,0.022606,0.018991,0.020608,7967,
2018-10-31,0.020557,0.021714,0.019433,0.021381,8072,
2018-11-01,0.021381,0.022156,0.019498,0.021333,10100,
2018-11-02,0.020629,0.044121,0.02043,0.040696,18407,
2018-11-03,0.04071,0.04071,0.025319,0.026145,8537,
2018-11-04,0.025738,0.030897,0.024006,0.027911,9828,
2018-11-05,0.028789,0.032244,0.023577,0.03145,9882,
2018-11-06,0.026056,0.031664,0.023439,0.029283,14784,
2018-11-07,0.02904,0.031462,0.026513,0.028516,16804,
2018-11-08,0.028498,0.032395,0.02614,0.029042,11206,
2018-11-09,0.02913,0.031355,0.026376,0.028058,10190,
2018-11-10,0.02805,0.031281,0.025852,0.027972,14694,
2018-11-11,0.027983,0.029514,0.02481,0.029189,10718,
2018-11-12,0.029252,0.032539,0.024874,0.026513,9570,
2018-11-13,0.026452,0.029864,0.025007,0.026138,10295,
2018-11-14,0.02587,0.03001,0.022914,0.025045,9812,
2018-11-15,0.025265,0.029672,0.02286,0.029672,15609,
2018-11-16,0.029917,0.035923,0.025746,0.028106,9157,
2018-11-17,0.028362,0.03083,0.025009,0.025962,9372,
2018-11-18,0.026028,0.033715,0.02458,0.030204,7356,
2018-11-19,0.02991,0.030345,0.023326,0.025331,7768,
2018-11-20,0.025431,0.02723,0.019813,0.022174,6120,
2018-11-21,0.022426,0.024592,0.019889,0.021718,5287,
2018-11-22,0.0216,0.024826,0.017873,0.017873,5116,
