Date,Open,High,Low,Close,Volume,Market Cap
2018-09-12,0.073878,0.074309,0.073693,0.074102,25114,
2018-09-13,0.074173,0.08549,0.074173,0.075259,12730,
2018-09-14,0.075209,0.080194,0.071878,0.075363,17503,
2018-09-15,0.075256,0.080375,0.061732,0.072591,11952,
2018-09-16,0.07279,0.074714,0.057235,0.062655,12581,
2018-09-17,0.062806,0.077679,0.060662,0.070005,23905,22735.0
2018-09-18,0.070009,0.079317,0.061778,0.079257,34316,25565.0
2018-09-19,0.079259,0.109791,0.066931,0.088842,58744,27577.0
2018-09-20,0.088835,0.103477,0.072367,0.080809,10689,26479.0
2018-09-21,0.085796,0.116716,0.066086,0.106822,55895,35003.0
2018-09-22,0.107322,0.116579,0.078239,0.090516,23203,29660.0
2018-09-23,0.090565,0.102909,0.080676,0.08069,20164,26440.0
2018-09-24,0.080738,0.095169,0.078645,0.082736,24364,27110.0
2018-09-25,0.082697,0.088616,0.073779,0.080806,33535,26442.0
2018-09-26,0.080883,0.084926,0.073362,0.075656,9562,24059.0
2018-09-27,0.075742,0.087148,0.070401,0.086457,9570,27544.0
2018-09-28,0.086476,0.12479,0.071843,0.073739,9243,23603.0
2018-09-29,0.073687,0.091752,0.066551,0.078021,16482,25649.0
2018-09-30,0.077992,0.077992,0.066509,0.070036,12731,23482.0
2018-10-01,0.069837,0.082592,0.067582,0.07431,16588,25085.0
2018-10-02,0.0741,0.091224,0.065133,0.067252,10127,22639.0
2018-10-03,0.067285,0.075647,0.061012,0.070585,10405,23601.0
2018-10-04,0.070668,0.070668,0.057463,0.058347,13354,20441.0
2018-10-05,0.059144,0.072376,0.057098,0.059657,13143,20599.0
2018-10-06,0.059791,0.068246,0.058989,0.061828,13430,21039.0
2018-10-07,0.062057,0.070141,0.054506,0.056808,28478,19947.0
2018-10-08,0.057002,0.058847,0.0445,0.057604,30479,20256.0
2018-10-09,0.057717,0.066231,0.053729,0.058305,12439,21004.0
2018-10-10,0.058077,0.065426,0.027815,0.051558,10264,18550.0
2018-10-11,0.051387,0.057767,0.033404,0.046292,9294,16427.0
2018-10-12,0.046233,0.049574,0.039708,0.045653,10490,16259.0
2018-10-13,0.045653,0.057845,0.04479,0.049405,7640,17302.0
2018-10-14,0.049418,0.056947,0.045517,0.047976,6732,16836.0
2018-10-15,0.048029,0.058198,0.043214,0.043628,9616,15417.0
2018-10-16,0.043588,0.06065,0.039542,0.050055,14730,17487.0
2018-10-17,0.050227,0.117007,0.02938,0.045561,11768,16241.0
2018-10-18,0.045739,0.205635,0.044993,0.152559,10631,55104.0
