Date,Open,High,Low,Close,Volume,Market Cap
2018-08-09,0.019983,0.019994,0.019854,0.019854,1739,
2018-08-10,0.019834,0.023793,0.017945,0.019657,1377,
2018-08-11,0.019638,0.021989,0.017707,0.018202,1415,
2018-08-12,0.018147,0.023384,0.016864,0.021577,4760,
2018-08-13,0.021569,0.023634,0.017415,0.017713,2360,
2018-08-14,0.017696,0.022506,0.017081,0.018057,3477,
2018-08-15,0.018043,0.022376,0.018043,0.019509,5102,
2018-08-16,0.019481,0.025013,0.019127,0.019737,1949,
2018-08-17,0.019739,0.024742,0.019692,0.022669,1630,
2018-08-18,0.022721,0.025986,0.020159,0.022292,3403,
2018-08-19,0.022299,0.024635,0.019735,0.021197,2712,
2018-08-20,0.021163,0.024593,0.020557,0.021144,2062,185308.0
2018-08-21,0.021112,0.030419,0.020905,0.025941,7302,227350.0
2018-08-22,0.025946,0.031495,0.022936,0.023175,3530,203107.0
2018-08-23,0.023196,0.024112,0.021834,0.023153,1311,204723.0
2018-08-24,0.023167,0.028461,0.022357,0.024774,2316,218063.0
2018-08-25,0.02473,0.026996,0.02473,0.025545,1554,226390.0
2018-08-26,0.0256,0.02693,0.024926,0.025301,954,225765.0
2018-08-27,0.02529,0.025599,0.022871,0.023575,1291,212013.0
2018-08-28,0.023536,0.030162,0.023526,0.026989,6753,242739.0
2018-08-29,0.027012,0.028843,0.024923,0.0276,2416,249379.0
2018-08-30,0.027615,0.02898,0.024766,0.02555,1039,230126.0
2018-08-31,0.025574,0.02961,0.025355,0.029543,2468,267704.0
2018-09-01,0.029508,0.031661,0.027002,0.029365,3766,266643.0
2018-09-02,0.029378,0.029657,0.025639,0.02635,3155,242524.0
2018-09-03,0.026348,0.029245,0.025145,0.027815,2149,268638.0
2018-09-04,0.027816,0.029491,0.026524,0.026788,2748,258786.0
2018-09-05,0.026804,0.026891,0.020783,0.023875,2588,227786.0
2018-09-06,0.023916,0.023916,0.019253,0.022876,1354,217891.0
