Date,Open,High,Low,Close,Volume,Market Cap
2017-07-18,0.06865,0.074107,0.052369,0.052369,61497,3492455
2017-07-19,0.0568,0.067199,0.038448,0.062463,69380,4165643
2017-07-20,0.066124,0.066124,0.045523,0.052352,64516,3548405
2017-07-21,0.052881,0.067858,0.047667,0.060989,34470,4133815
2017-07-22,0.060978,0.069637,0.05726,0.059452,23393,4029577
2017-07-23,0.060313,0.062528,0.052156,0.056618,29665,3837518
2017-07-24,0.056603,0.059925,0.035797,0.045921,30338,3112504
2017-07-25,0.045952,0.054723,0.036855,0.049745,12101,3371644
2017-07-26,0.049604,0.050225,0.038214,0.045328,14125,3109968
2017-07-27,0.045467,0.045776,0.034768,0.043226,23320,2965741
2017-07-28,0.042982,0.046113,0.033326,0.03847,23079,2639463
2017-07-29,0.038578,0.045699,0.026914,0.043231,24330,2966139
2017-07-30,0.043219,0.044184,0.025657,0.04228,34094,2900842
2017-07-31,0.042377,0.046791,0.036041,0.037401,21423,2566097
2017-08-01,0.037452,0.049715,0.037452,0.042133,31951,2890791
2017-08-02,0.042149,0.050049,0.040182,0.041851,26129,2871463
2017-08-03,0.041845,0.049467,0.040381,0.043914,35677,3012987
2017-08-04,0.043927,0.048215,0.040936,0.046958,27831,3221824
2017-08-05,0.047872,0.09163,0.046486,0.066891,78172,4589435
2017-08-06,0.067007,0.104315,0.066827,0.100092,110909,8028478
2017-08-07,0.100639,0.233118,0.094772,0.178079,618445,14316837
2017-08-08,0.177745,0.192106,0.151969,0.183122,266988,12916738
2017-08-09,0.184571,0.187091,0.151613,0.170749,222484,12043993
2017-08-10,0.170729,0.245516,0.168322,0.224795,365852,15858443
2017-08-11,0.223574,0.509626,0.223574,0.509626,1337950,35952200
2017-08-12,0.501224,1.09,0.477732,1.01,2246300,71236992
2017-08-13,1.04,1.04,0.383824,0.746028,1902750,52778753
2017-08-14,0.749502,0.884575,0.647929,0.796563,1201880,56353920
2017-08-15,0.80329,0.806128,0.578711,0.725869,975342,51356207
2017-08-16,0.709933,0.973068,0.684649,0.961564,1380050,68046368
2017-08-17,0.940835,1.28,0.933667,1.2,2583040,85225323
2017-08-18,1.17,1.33,1.05,1.16,1942910,81769094
2017-08-19,1.15,1.27,1.14,1.25,993767,88428915
2017-08-20,1.24,1.27,1.13,1.16,856033,82166801
2017-08-21,1.16,1.18,0.911208,1.1,1001250,77594384
2017-08-22,1.1,1.24,0.871194,1.02,955651,72115518
2017-08-23,1.02,1.05,0.913806,0.982799,707674,69550811
2017-08-24,0.984311,1.07,0.78681,1.0,1022480,71091504
2017-08-25,1.06,1.07,0.932204,0.96434,589840,68244503
2017-08-26,0.966211,0.991971,0.924848,0.973087,461536,68863512
2017-08-27,0.973901,0.984116,0.89479,0.942061,493999,66667861
2017-08-28,0.966395,0.967663,0.786959,0.833125,675985,58958668
2017-08-29,0.844955,0.902356,0.706129,0.792298,695080,56069419
2017-08-30,0.792157,0.835583,0.564578,0.792731,592616,56100061
2017-08-31,0.834833,0.887525,0.783914,0.873972,551303,61849332
2017-09-01,0.864964,1.29,0.855174,1.24,1987910,87983522
2017-09-02,1.23,1.24,0.879922,0.949495,1029700,67569793
2017-09-03,0.952727,1.01,0.882399,0.933238,446969,66412881
2017-09-04,0.935202,0.935891,0.696443,0.871871,857825,62045765
2017-09-05,0.877712,0.890317,0.749947,0.870537,418387,61950832
2017-09-06,0.866771,1.31,0.834652,1.06,973324,75371850
2017-09-07,1.06,1.11,1.0,1.09,869586,77291142
2017-09-08,1.08,1.09,0.806096,0.885968,875484,63048962
2017-09-09,0.867639,0.955941,0.840145,0.923485,430423,65718819
2017-09-10,0.923821,0.981008,0.850055,0.908157,686190,64630743
2017-09-11,0.910967,0.979268,0.868171,0.880493,440405,62661981
2017-09-12,0.880389,1.13,0.866645,0.975928,1989700,69453797
2017-09-13,0.9865,1.0,0.809627,0.863829,1044400,61476056
2017-09-14,0.862592,0.885104,0.579479,0.634991,913336,45190358
2017-09-15,0.644431,0.819199,0.510416,0.741192,1742630,52748357
2017-09-16,0.748844,0.829837,0.719739,0.783134,716725,55733241
2017-09-17,0.778149,0.80695,0.72497,0.776492,200397,55260550
