Date,Open,High,Low,Close,Volume,Market Cap
2018-09-18,2e-05,2.1e-05,2e-05,2.1e-05,3669,
2018-09-19,2.1e-05,2.2e-05,1.6e-05,1.6e-05,2390,
2018-09-20,1.6e-05,1.9e-05,1.4e-05,1.8e-05,2280,
2018-09-21,1.8e-05,2.4e-05,1.6e-05,2.2e-05,5109,339236.0
2018-09-22,2.2e-05,2.5e-05,1.9e-05,2.3e-05,1468,359197.0
2018-09-23,2.3e-05,2.7e-05,2.1e-05,2.4e-05,2961,379788.0
2018-09-24,2.4e-05,2.4e-05,1.7e-05,1.9e-05,502,296932.0
2018-09-25,1.9e-05,2e-05,1.5e-05,1.8e-05,1317,283756.0
2018-09-26,1.8e-05,2e-05,1.5e-05,2e-05,2787,302939.0
2018-09-27,1.9e-05,2.4e-05,1.8e-05,2.3e-05,2186,363224.0
2018-09-28,2.3e-05,2.9e-05,2.3e-05,2.8e-05,4374,431847.0
2018-09-29,2.6e-05,3.1e-05,2.5e-05,2.9e-05,3022,452326.0
2018-09-30,2.9e-05,3e-05,2.7e-05,2.8e-05,1866,441607.0
2018-10-01,2.8e-05,3e-05,2.3e-05,2.7e-05,3370,425124.0
2018-10-02,2.7e-05,3e-05,1.2e-05,2.4e-05,1398,368623.0
2018-10-03,2.4e-05,2.5e-05,2e-05,2.4e-05,2467,375489.0
2018-10-04,2.4e-05,2.6e-05,2.2e-05,2.5e-05,1226,387599.0
2018-10-05,2.5e-05,2.6e-05,2e-05,2.4e-05,1434,367349.0
2018-10-06,2.4e-05,2.8e-05,1.8e-05,2.2e-05,1233,347039.0
2018-10-07,2.2e-05,2.4e-05,2.1e-05,2.1e-05,1404,326353.0
2018-10-08,2.1e-05,2.4e-05,1.9e-05,2.4e-05,1544,374629.0
2018-10-09,2.4e-05,2.6e-05,1.9e-05,2.2e-05,2955,342059.0
2018-10-10,2.2e-05,2.5e-05,2.1e-05,2.4e-05,2600,371459.0
2018-10-11,2.4e-05,2.4e-05,1.7e-05,1.7e-05,1061,262963.0
2018-10-12,1.7e-05,1.9e-05,1.5e-05,1.7e-05,3097,257774.0
2018-10-13,1.7e-05,2.1e-05,1.6e-05,2e-05,2420,307729.0
2018-10-14,2e-05,2.2e-05,1.8e-05,2.1e-05,842,321997.0
2018-10-15,2.1e-05,2.4e-05,1.7e-05,1.9e-05,1114,289258.0
2018-10-16,1.9e-05,2e-05,1.6e-05,1.8e-05,1819,279901.0
2018-10-17,1.8e-05,1.8e-05,1.6e-05,1.7e-05,1094,259004.0
2018-10-18,1.7e-05,1.9e-05,1.6e-05,1.9e-05,1479,298344.0
2018-10-19,1.9e-05,2e-05,1.7e-05,1.7e-05,791,261503.0
2018-10-20,1.7e-05,2e-05,1.7e-05,2e-05,2419,313115.0
2018-10-21,2e-05,2e-05,1.6e-05,1.9e-05,822,294419.0
2018-10-22,1.9e-05,2.1e-05,1.7e-05,2.1e-05,1235,323172.0
2018-10-23,2.1e-05,2.1e-05,1.8e-05,1.9e-05,2439,287551.0
2018-10-24,1.9e-05,2.2e-05,1.7e-05,1.7e-05,466,263932.0
2018-10-25,1.7e-05,1.8e-05,1.6e-05,1.8e-05,421,276881.0
2018-10-26,1.8e-05,1.8e-05,1.7e-05,1.7e-05,393,267050.0
2018-10-27,1.7e-05,1.9e-05,1.6e-05,1.7e-05,1512,257443.0
2018-10-28,1.7e-05,1.7e-05,1.6e-05,1.6e-05,773,253664.0
2018-10-29,1.6e-05,1.7e-05,1.5e-05,1.6e-05,1203,250968.0
2018-10-30,1.6e-05,1.8e-05,1.5e-05,1.8e-05,512,282879.0
2018-10-31,1.8e-05,2.1e-05,1.5e-05,1.5e-05,758,231928.0
2018-11-01,1.5e-05,1.7e-05,1.5e-05,1.7e-05,804,259783.0
2018-11-02,1.7e-05,2e-05,1.6e-05,1.7e-05,2115,258138.0
2018-11-03,1.7e-05,4.3e-05,1.7e-05,3e-05,13303,469866.0
2018-11-04,3e-05,3.3e-05,2.6e-05,3.3e-05,4225,509102.0
2018-11-05,3.3e-05,3.6e-05,2.8e-05,3.6e-05,6988,559844.0
2018-11-06,3.6e-05,3.6e-05,2.9e-05,3.6e-05,12012,546142.0
2018-11-07,3.6e-05,3.6e-05,2.6e-05,3.5e-05,3034,544198.0
2018-11-08,3.5e-05,3.7e-05,3e-05,3e-05,2272,466894.0
2018-11-09,3e-05,3.2e-05,2.6e-05,2.9e-05,2852,446072.0
2018-11-10,2.9e-05,3e-05,2.8e-05,2.8e-05,1160,428624.0
2018-11-11,2.8e-05,2.9e-05,2.7e-05,2.8e-05,5733,430778.0
2018-11-12,2.8e-05,3e-05,2.6e-05,2.7e-05,3558,417479.0
2018-11-13,2.7e-05,2.7e-05,2.5e-05,2.6e-05,2251,409111.0
2018-11-14,2.6e-05,2.7e-05,2.2e-05,2.2e-05,2935,345670.0
2018-11-15,2.2e-05,2.6e-05,1.9e-05,2.6e-05,4488,397669.0
2018-11-16,2.6e-05,2.9e-05,2.3e-05,2.9e-05,7604,444739.0
2018-11-17,2.8e-05,2.8e-05,2.2e-05,2.5e-05,4278,387746.0
2018-11-18,2.5e-05,2.8e-05,2.3e-05,2.8e-05,6160,435499.0
2018-11-19,2.5e-05,2.9e-05,2e-05,2e-05,2291,308309.0
2018-11-20,2e-05,2.1e-05,1.4e-05,1.7e-05,1737,263443.0
2018-11-21,1.7e-05,1.8e-05,1.6e-05,1.8e-05,264,285283.0
2018-11-22,1.7e-05,1.9e-05,1.6e-05,1.6e-05,714,248277.0
2018-11-23,1.6e-05,1.8e-05,1.5e-05,1.6e-05,397,242264.0
2018-11-24,1.6e-05,1.8e-05,1.3e-05,1.3e-05,366,209375.0
2018-11-25,1.3e-05,1.4e-05,1.1e-05,1.3e-05,761,201378.0
2018-11-26,1.3e-05,1.5e-05,1.2e-05,1.4e-05,521,217627.0
2018-11-27,1.4e-05,1.7e-05,1.3e-05,1.7e-05,882,257122.0
2018-11-28,1.7e-05,2.1e-05,1.6e-05,1.8e-05,2147,278088.0
2018-11-29,1.8e-05,1.8e-05,1.4e-05,1.8e-05,3232,278492.0
2018-11-30,1.8e-05,1.8e-05,1.4e-05,1.4e-05,1089,215263.0
2018-12-01,1.4e-05,1.7e-05,1.2e-05,1.5e-05,698,225535.0
2018-12-02,1.4e-05,1.6e-05,1.4e-05,1.4e-05,240,214317.0
2018-12-03,1.4e-05,1.5e-05,1.2e-05,1.3e-05,3055,202768.0
2018-12-04,1.3e-05,1.7e-05,1.3e-05,1.5e-05,1636,232223.0
2018-12-05,1.5e-05,1.5e-05,1.3e-05,1.3e-05,475,194256.0
2018-12-06,1.2e-05,1.4e-05,1.1e-05,1.1e-05,378,171263.0
2018-12-07,1.1e-05,1.2e-05,1e-05,1e-05,477,157910.0
2018-12-08,1e-05,1.3e-05,1e-05,1.2e-05,6,189194.0
2018-12-09,1.2e-05,1.3e-05,8e-06,1e-05,336,152215.0
2018-12-10,1e-05,1e-05,9e-06,9e-06,249,145204.0
2018-12-11,9e-06,1.1e-05,9e-06,1e-05,52,147835.0
2018-12-12,1e-05,1e-05,9e-06,9e-06,135,147107.0
2018-12-13,9e-06,1e-05,8e-06,8e-06,251,119784.0
2018-12-14,8e-06,9e-06,7e-06,8e-06,98,127811.0
2018-12-15,8e-06,1e-05,8e-06,8e-06,84,118031.0
2018-12-16,8e-06,1e-05,8e-06,9e-06,53,144750.0
2018-12-17,9e-06,1.2e-05,9e-06,1.1e-05,62,178110.0
2018-12-18,1.1e-05,1.2e-05,1e-05,1.1e-05,9,168479.0
2018-12-19,1.1e-05,1.4e-05,1.1e-05,1.2e-05,198,191623.0
