Date,Open,High,Low,Close,Volume,Market Cap
2017-10-25,2.17,2.33,2.09,2.29,304953,
2017-10-26,2.29,2.59,1.9,2.27,296453,
2017-10-27,2.27,2.49,2.1,2.26,205865,
2017-10-28,2.26,2.39,2.1,2.1,185466,
2017-10-29,2.1,2.33,2.1,2.2,105648,
2017-10-30,2.19,2.37,2.13,2.29,240235,
2017-10-31,2.29,2.43,2.09,2.25,319023,
2017-11-01,2.25,2.84,2.01,2.53,499209,
2017-11-02,2.53,2.69,2.07,2.09,235770,
2017-11-03,2.1,2.28,2.07,2.27,219889,
2017-11-04,2.27,2.34,2.1,2.3,117197,
2017-11-05,2.3,2.33,2.01,2.03,141702,
2017-11-06,2.03,2.37,1.95,2.09,215422,
2017-11-07,2.09,2.18,1.98,2.13,223115,
2017-11-08,2.12,2.37,2.04,2.3,227672,
2017-11-09,2.29,2.35,2.06,2.14,194187,
2017-11-10,2.14,2.49,2.06,2.11,274725,
2017-11-11,2.46,2.46,2.2,2.33,184703,
2017-11-12,2.33,2.33,1.95,2.14,140886,
2017-11-13,2.16,3.15,2.12,2.99,324224,
2017-11-14,2.66,3.36,2.66,2.99,303585,
2017-11-15,2.99,3.37,2.99,3.11,328776,
2017-11-16,3.12,3.55,2.89,3.23,403579,
2017-11-17,3.23,3.29,2.9,2.98,274761,
2017-11-18,2.97,3.06,2.79,3.02,181506,
2017-11-19,3.01,3.1,2.79,3.02,207837,
2017-11-20,3.01,3.21,2.8,2.93,336954,
2017-11-21,2.93,3.27,2.74,2.85,313349,
2017-11-22,2.85,8.08,2.84,6.72,838655,
2017-11-23,6.83,6.86,5.51,5.82,397164,
2017-11-24,5.81,14.18,5.44,7.29,4244840,180803164.0
2017-11-25,7.28,8.01,6.98,8.01,3079690,198690597.0
2017-11-26,8.01,8.7,7.61,8.24,2590430,204455018.0
2017-11-27,8.25,10.01,7.78,8.93,2799430,221372580.0
2017-11-28,9.52,9.95,8.12,9.17,3404190,227396145.0
2017-11-29,9.16,9.72,7.91,7.99,2429480,198215457.0
2017-11-30,8.61,8.77,7.35,8.05,1769440,199649805.0
2017-12-01,8.01,9.12,7.92,9.02,1757890,223746544.0
2017-12-02,9.01,9.05,7.27,7.32,2303460,181452142.0
2017-12-03,7.31,7.81,6.67,6.89,1389250,170872342.0
2017-12-04,6.83,7.33,6.45,7.1,1389070,176153686.0
2017-12-05,7.12,7.81,6.7,7.49,1397810,185717242.0
2017-12-06,7.47,8.05,6.81,7.34,1289950,182069377.0
2017-12-07,7.32,7.32,6.47,7.12,1038980,176529880.0
2017-12-08,7.08,7.48,6.12,6.5,846270,161203640.0
2017-12-09,6.5,7.31,6.39,6.85,607189,169764591.0
2017-12-10,6.87,8.2,6.15,7.29,1255790,180900622.0
2017-12-11,7.26,7.49,6.66,6.89,678028,170909043.0
2017-12-12,6.91,7.33,6.31,7.1,892902,14193160.0
2017-12-13,7.11,11.51,6.68,9.89,2155880,19786660.0
2017-12-14,9.88,14.04,9.13,12.84,2704270,25675400.0
2017-12-15,12.85,13.02,11.68,11.83,3197290,23667400.0
2017-12-16,11.85,12.7,11.83,12.28,1310230,24569200.0
2017-12-17,12.29,12.53,11.92,12.24,1070440,24484800.0
2017-12-18,12.23,16.92,11.6,16.79,5641620,33582200.0
2017-12-19,16.79,17.54,15.15,15.46,3646870,30921800.0
2017-12-20,15.45,15.55,13.06,13.1,3431190,26209800.0
2017-12-21,13.35,13.63,10.85,11.47,1581270,22930000.0
2017-12-22,11.48,11.78,7.62,7.66,1098220,15317420.0
2017-12-23,7.71,10.4,7.71,8.91,6810110,17825560.0
2017-12-24,8.86,9.91,8.59,9.52,2190820,19032640.0
2017-12-25,9.59,9.62,9.04,9.43,1221060,18868380.0
2017-12-26,9.43,10.11,9.28,9.96,1840880,19929780.0
2017-12-27,10.02,10.77,9.76,10.37,2020400,20742600.0
2017-12-28,10.35,10.36,8.18,8.73,1114910,17466580.0
2017-12-29,8.79,9.23,8.59,8.69,975036,17388320.0
2017-12-30,8.78,8.91,8.16,8.44,680288,16882140.0
2017-12-31,8.16,9.07,8.11,8.89,507108,17777120.0
2018-01-01,8.88,9.23,8.81,9.02,792076,18036200.0
2018-01-02,9.02,9.68,9.02,9.48,1313810,18951100.0
2018-01-03,9.46,10.03,9.46,9.92,1148150,19842120.0
2018-01-04,9.95,10.77,9.64,10.47,2043790,20934200.0
2018-01-05,10.46,12.0,10.35,11.3,1870900,22601200.0
2018-01-06,11.03,11.73,11.03,11.36,518416,22714200.0
2018-01-07,11.49,11.53,10.79,11.17,776752,22338600.0
2018-01-08,11.22,11.7,9.79,10.22,2684700,20434600.0
2018-01-09,10.21,10.55,9.89,10.2,863635,20401600.0
2018-01-10,10.21,10.22,9.53,10.11,822417,20228600.0
2018-01-11,10.11,10.13,8.93,9.46,1061870,18920080.0
2018-01-12,9.48,10.81,9.4,10.03,692549,20062000.0
2018-01-13,10.03,10.47,9.99,10.29,217074,20575000.0
2018-01-14,10.29,10.49,10.08,10.39,750542,20788400.0
2018-01-15,10.37,10.64,9.47,9.47,508292,18947600.0
2018-01-16,9.42,9.42,6.66,7.21,628945,14428640.0
2018-01-17,7.34,7.86,6.31,6.93,875759,13853060.0
2018-01-18,6.93,7.49,6.34,6.65,1315890,13299100.0
